㣧國之君受王命往征之㣧國名
㣧征	奉辭罰罪曰征
惟仲康肇位四海	羿廢太康而立其弟仲康爲天子肇音兆下同
㣧侯命掌六師	仲康命㣧侯掌王六師爲大司馬
〇重意	掌六師周官篇統六師
羲和廢厥職酒荒于厥邑	舎其職官還其私邑以酒迷亂不修其業舎音捨
㣧后承王命徂征	徂徃也就其私邑往討之
告于衆曰嗟予有衆	誓勑之
聖有謨訓明徴定保	徴證也保安也聖人所謀之教訓爲丗明證所以定國安家
先王克謹天戒臣人克有常憲	言君能慎戒臣能奉有常法
百官修輔厥后惟明明	修職輔君君臣俱明
重意	厥后惟明明太甲下惟明明后
毎歲孟春遒人以木鐸徇于路	道人宣令之官木鐸金鈴木舌所以振文教遒在由反鐸待洛反鈴音令
官師相規工執藝事以諌	官衆衆官更相規闕百工各執其所治技藝以諌諌失常藝本又作蓺更音庚技其綺反甚干犯也
政典曰先時者殺無赦	政典夏后爲政之典籍若周官六卿之治典先時謂曆象之法四時節氣弦望晦朔先天時則罪死無赦先悉薦反又如字注先時先天同赦時夜反治直吏反
不及時者殺無赦	不及謂曆象後天時雖治其官苟有先後之差則無赦况廢官乎後胡豆反
今予以爾有衆奉將天罰	將行也奉王命行王誅謂殺湎淫之身立其賢子弟
重意	今予以爾有衆奉將天罰湯誓爾尚輔予一人致天之罰泰誓上以爾有衆底天之罰泰誓下奉予一人恭行天罰
爾衆士同力王室尚弼予欽承天子威命	以天子威命督其士衆使用命
重言	爾衆士三本篇二泰誓下一
火炎崐岡玉石俱焚	山脊曰岡崐山出玉言火逸而害玉崐音昆
天吏逸德烈于猛火	逸過也天王之吏爲過惡之德其傷害天下甚於火之害玉猛火烈矣又烈於火
殱厥渠魁脅從罔治	殱滅渠大魁帥也指謂羲和罪人之身其脅從距王師者皆無治殱子廉反魁苦回反脅虚業反帥色類反
舊染汙俗咸與惟新	言其餘人乆染汙俗本無惡心皆與更新一無所問汙烏故反汙辱之汙又音烏涴泥著物也一音烏卧反
嗚呼威克厥愛允濟	歎能以威勝所愛則必有成功
愛克厥威允罔功	以愛勝威無以濟衆信無功
其爾衆士懋戒哉	言當勉以用命戒以辟戮懋音茂辟音避
重意	懋戒哉大禹謨戒哉太甲嗣王戒哉
自契至于成湯八遷	十四丗凢八徙國都契悉列反殷之始祖八遷八遷之書史唯見四
湯始居亳從先王居	契父帝嚳都亳湯自商丘遷焉故曰從先王居
作帝告釐沃	告來居治沃土二篇皆亡告工毒反沃徐烏酷反此五亡篇舊解是夏書馬鄭之徒以爲商書兩義俱通
湯征諸侯	爲夏方伯得專征伐
葛伯不祀湯始征之	葛國伯爵也廢其土地山川及宗廟神祇皆不祀湯始伐之伐始於葛祇巨支反
作湯征	述始征之義也亡
伊尹去亳適夏	伊尹字氏湯進於桀
旣醜有夏復歸于亳	醜惡其政不能用賢故退還復扶又反
重言	復歸于亳三後見湯誥太甲上
入自北門乃遇汝鳩汝方	鳩方二人湯之賢臣不期而會曰遇
作汝鳩汝方	言所以醜夏而還之意二篇皆亡
