仲虺之誥第二商書孔氏傳湯歸自夏至于大坰	自三朡而還大坰地名坰故螢反徐欽螢反又古螢反
仲虺作誥	爲湯左相奚仲之後虺許鬼反誥故報反相息亮反
仲虺之誥	仲虺臣名以諸侯相天子㑹同曰誥
成湯放桀于南巢惟有慙德	湯伐桀武功成故以爲號南巢地名有慙徳慙德不及古湯伐桀武功成故號成湯一云成謚也
曰予恐來丗以台爲口實	恐來丗論道我放天子常不去口
仲虺乃作誥	陳義告湯可無慙
曰嗚呼惟天生民有欲無主乃亂	民無君主則恣情欲必致禍亂
惟天生聦明時乂	言天生聦明是治民亂
有夏昬德民墜塗炭	夏桀昬亂不恤下民民之危險若䧟泥墜火無救之者
天乃錫王勇智表正萬邦纉禹舊服	言天與王勇智應爲民主儀表天下法正萬國繼禹之功統其故服纉子管反應應對之應
○重意	纉禹舊服君牙纉乃舊服
兹率厥典奉若天命	天意如此但當循其典法奉順天命而巳無所慙
重意	奉若天命說命奉若天道
夏王有罪矯誣上天以布命于下	言託天以行虐於民乃桀之大罪矯居表反誣音無
帝用不臧式商受命用爽厥師	天用桀無道故不善之式用爽明也用商受王命用明其衆言爲主也臧作郎反
重言	式商受命重見立政
簡賢附勢寔繁有徒	簡略也賢而無勢則略之不賢有勢則附之若是者繁多有徒衆無道之丗所常繁音煩
肇我邦于有夏若苗之有莠若粟之有秕	始我商家國於夏丗欲見翦除若莠生苗若秕在粟恐𬒳鋤治簸颺莠羊九反秕悲里反徐甫里反又必履反鋤仕魚反簸波我反颺音揚
小大戰戰罔不懼于非辜矧予之德言足聽聞	言商家小大憂危恐其非罪見滅矧况也况我之道德善言足聽聞乎無道之惡有道自然理惡烏路反
惟王不邇聲色不殖貨利	邇近也不近聲樂言清簡不近女色言貞固殖生也不生資貨財利言不貪也旣有聖德兼有此行近附近之近行下孟反
德懋懋官功懋懋賞用人惟己改過不吝	勉於德者則勉之以官勉於功者則勉之以賞用人之言若自己出有過則改無所吝惜所以能成王業
克寛克仁彰信兆民	言湯寛仁之德明信於天下
乃葛伯仇餉𥘉征自葛東征西夷怨南征北狄怨	葛伯遊行見農民之餉於田者殺其人奪其餉故謂之仇餉仇怨也湯爲是以不祀之罪伐之從此後遂征無道西夷北狄舉逺以言則近者著矣仇音求餉式亮反
曰奚獨後予	怨者辭也
攸徂之民室家相慶曰徯予后后來其蘇	湯所往之民皆喜曰待我君來其可蘇息徯胡啓反蘇字亦作穌
重意	徯予后后來其蘇太甲中徯我后后來其無罰
民之戴商厥惟舊哉	舊謂𥘉征目葛時
佑賢輔德顯忠遂良	賢則助之德則輔之忠則顯之良則進之明王之道
兼弱攻昧取亂侮亡	弱則兼之闇則攻之亂則取之有亡形則侮之言正義
推亡固存邦乃其昌	有亡道則推而亡之有存道則輔而固之王者如此國乃昌盛推土雷反
重意	邦乃其昌洪範而邦其昌
互註	左襄十四年晉侯問衛故於中行獻子對曰不如因而定之衛有君矣仲虺有言曰亡者侮之亂者取之推亡固存國之道也又襄三十年亂者取之亡者侮之推亡固存國之利也
德日新萬邦惟懷志自滿九族乃離	日新不懈怠自滿志盈溢懈工債反
重意	德日新咸有一德時乃日新
王懋昭大德建中于民以義制事以禮制心垂𥙿後昆	欲王自勉明大德立大中之道於民率義奉禮垂優足之道示後丗中如字本或作忠非𥙿徐以樹反
重意	建中于民舜典允執厥中〇垂𥙿後昆微子之命德垂後裔
予聞曰能自得師者王	求賢聖而事之王徐于况反又如字
謂人莫已若者亡	自多足人莫之益亡之道
好問則𥙿自用則小	問則有得所以足不問專固所以小好呼報反
嗚呼愼厥終惟其始	靡不有𥘉鮮克有終故戒愼終如其始鮮息淺反
殖有禮覆昬暴	有禮者封殖之昬暴者覆亡之覆芳服反暴蒲報反字或作虣
欽崇天道永保天命	王者如此上事則敬天安命之道
重意	欽崇天道說命奉若天道
