伊訓第四商書孔氏傳成湯旣没太甲元年	太甲太丁子湯孫也太丁未立而卒及湯没而太甲立稱元年
伊尹作伊訓肆命徂后	凡三篇其二亡
伊訓	作訓以教導太甲
惟元祀十有二月乙丑伊尹祠于先王	此湯崩踰月太甲即位奠殯而告祀年也夏曰歳商曰祀周曰年唐虞曰載祠音辭祭也
奉嗣王祗見厥祖	居位主䘮見賢遍反
侯甸羣后咸在	在位次甸徒遍反
百官緫已以聽冡宰	伊尹制百官以三公攝冡宰緫音揔
伊尹乃明言烈祖之成德以訓于王	湯有功烈之祖故稱焉
曰嗚呼古有夏先后方懋厥德罔有天災	先后稱禹以下少康以上賢王言能以德禳災少詩照反上時掌反禳如羊反
山川鬼神亦莫不寜	莫無也言皆安之
曁鳥獸魚鼈咸若	雖微物皆順之明其餘無不順曁其器反鼈必滅反
重意	曁鳥獸魚鼈咸若舜典疇若予上下草木鳥獸
于其子孫弗率皇天降災假手于我有命	言桀不循其祖道故天下禍災借手於我有命商主誅討之
造攻自鳴條朕哉自亳	造哉皆始也始攻桀伐無道由我始修德于亳亳旁各反徐扶各反
惟我商王布昭聖武代虐以寛兆民允懷	言湯布明武德以寛政代桀虐政兆民以此皆信懷我商王之德
重意	兆民允懷前篇兆民允殖
今王嗣厥德罔不在𥘉	言善惡之由無不在𥘉欲其愼始
立愛惟親立敬惟長始于家邦終于四海	言立愛敬之道始於親長則家國並化終治四海長丁丈反
嗚呼先王肇修人紀從諫弗咈先民時若	言湯始修爲人綱紀有過則改從諌如流必先民之言是順咈扶弗反
居上克明	言理恕
爲下克忠	事上竭誠
與人不求備檢身若不及	使人必器之常如不及恐有過
重意	與人不求備君陳無求備于一人
以至于有萬邦兹惟艱哉	言湯操心常危懼動而無過以至爲天子此自立之難操七曹反又七報反
重意	兹惟艱哉君牙厥惟艱哉秦誓是惟艱哉
敷求哲人俾輔于爾後嗣	布求賢智使師輔於爾嗣王言仁及後丗哲本又作喆俾必爾反
制官刑儆于有位	言湯制治官刑法以儆戒百官儆居領反
曰敢有恒舞于宫酣歌于室時謂巫風	常舞則荒淫樂酒曰酣酣歌則廢德事鬼神曰巫言無政酣戸甘反巫音無樂音洛
敢有殉于貨色恒于遊畋時謂淫風	殉求也敢求財貨美色常遊戲畋獵是淫過之風俗殉辭俊反徐辭荀反畋音田
敢有侮聖言逆忠直逺耆德比頑童時謂亂風	狎侮聖人之言而不行拒逆忠直之規而不納耆年有德踈逺之童稚頑嚚親比之是荒亂之風俗逺于萬反注同耆巨夷反比毗志反徐扶至反稚直利反嚚魚巾反
惟兹三風十愆卿士有一于身家必䘮	有一過則德義廢失位亡家之道愆去乾反䘮如字又息浪反
邦君有一于身國必亡	諸侯犯此國亡之道
臣下不匡其刑墨具訓于蒙士	邦君卿士則以爭臣自匡正臣不正君服墨刑鑿其額涅以墨蒙士例謂下士士以爭友僕隷自匡正爭諫爭之爭鑿在洛反頟魚白反涅乃結反隷郎計反
嗚呼嗣王祗厥身念哉	言當敬身念祖德
重言	念哉二本篇益稷
聖謨洋洋嘉言孔彰	洋洋美善言甚明可法洋音羊徐音翔
惟上帝不常作善降之百祥作不善降之百殃	祥善也天之禍福惟善惡所在不常在一家
重意	作善降之百祥作不善降之百殃湯誥天道福善禍淫
爾惟德罔小萬邦惟慶	修德無小則天下賚慶賚力代反
爾惟不德罔大墜厥宗	苟爲不德無大言惡有類以類相致必墜失宗廟此伊尹至忠之訓
肆命	陳天命以戒太甲亡
徂后	陳往古明君以戒亡
