太甲上第五商書孔氏傳太甲旣立不明	不用伊尹之訓不明居䘮之禮
伊尹放諸桐	湯葬地也不知朝政故曰放朝直遥反
三年復歸于亳思庸	念常道
重言	復歸于亳三前見嗣征湯誥
伊尹作太甲三篇太甲	戒太甲故以名篇
惟嗣王不惠于阿衡	阿倚衡平言不順伊尹之訓倚於綺反
伊尹作書曰先王顧諟天之明命以承上下神祇	顧謂常目在之諟是也言敬奉天命以承順天地顧音故諟音是說文理也祇臣支反
社稷宗廟罔不祗肅	肅嚴也言能嚴敬鬼神而逺之逺于萬反
天監厥德用集大命撫綏萬方	監視也天視湯德集王命於其身撫安天下監工暫反
重意	撫綏萬方泰誓寵綏四方
惟尹躬克左右厥辟宅師	伊尹言能助其君居業天下之衆辟必亦反徐甫亦反
重意	惟尹躬克左右厥辟畢命惟周公左右先王
肆嗣王丕承基緒	肆故也言先祖勤德致有天下故子孫得大承基業冝念祖修德丕普悲反徐甫眉反
惟尹躬先見于西邑夏自周有終相亦惟終	周忠信也言身先見夏君臣用忠信有終夏都在亳西先見並如字注同相息亮反
其後嗣王罔克有終相亦罔終	言桀君臣滅先人之道德不能終其業以取亡
嗣王戒哉祗爾厥辟辟不辟忝厥祖	以不終爲戒愼之至敬其君道則能終忝辱也爲君不君則辱其祖
重意	嗣王戒哉大禹謨戒哉嗣征懋戒哉
互註	記坊記子云父子不同位以厚敬也書云祗爾厥辟不辟忝厥祖注云君父之道冝尊嚴
王惟庸罔念聞	言太甲守常不改無念聞伊尹之戒
伊尹乃言曰先王昧爽丕顯坐以待旦	爽顯皆明也言先王昧明思大明其德坐以待旦而行之昧音妹
旁求俊彦啓迪後人	旁非一方美士曰彦開道後人言訓戒俊本亦作峻迪大歷反
重意	旁求俊彦說命下旁招俊乂〇啓迪後人君陳啓佑我後人
無越厥命以自覆	越墜失也無失亡祖命而不勤德以自顚覆越于月反本又作粤覆芳服反注同
愼乃儉德惟懷永圖	言當以儉爲德思長丗之謀
若虞機張往省括于度則釋	機弩牙也虞度也度機機有度以凖望言修德夙夜思之明旦行之如射先省矢括于度釋則中省息井反括故活反度如字虞度待洛反中丁仲反
互註	記緇衣夫民閉於人而有鄙心可敬不可慢易以溺人故君子不可以不愼也太甲曰母越厥命以自覆也若虞機張往省括于度則釋注云虞人之射禽弩巳張從機間視括與所射參相得乃後釋弦發矢爲政亦當以己心參於羣臣及萬民可乃後施也
欽厥止率乃祖攸行	止謂行所安止君止於仁子止於孝
重意	欽厥止益稷安汝止〇率乃祖攸行君牙率乃祖考之攸行
惟朕以懌萬丗有辭	言能循汝祖所行則我喜恱王亦見歎美無窮懌音亦
王未克變	未能變不用訓太甲性輕脫伊尹至忠所以不巳輕遣政反
伊尹曰兹乃不義習與性成	言習行不義將成其性義本亦作誼
予弗狎于弗順營于桐宫密邇先王其訓無俾丗迷	狎近也經營桐墓立宫令太甲居之近先王則訓於義無成其過不使丗人迷惑怪之俾必爾反後篇同近附近之近令力呈反
王徂桐宫居憂	往入桐宫居憂位
克終允德	言能思念其祖終其信德
