太甲中第六商書孔氏傳惟三祀十有二月朔	湯以元年十一月崩至此二十六月三年服闋闋苦穴反
伊尹以冕服奉嗣王歸于亳	冕冠也踰月即吉服冕音免
作書曰民非后罔克胥匡以生	無能相匡故須君以生胥息餘反
后非民罔以辟四方	須民以君四方
重意	民非后罔克胥匡以生后非民罔以辟四方見舜典咸有一德
皇天眷佑有商俾嗣王克終厥德實萬丗無疆之休	言王能終其德乃天之顧佑商家是商家萬丗無窮之美疆居良反
重意	皇天眷佑有商微子之命皇天眷佑大禹謨皇天眷命〇實萬世無疆之休召誥君奭受命無疆惟休
王拜手稽首曰予小子不明于德自底不類	君而稽首於臣謝前過類善也闇於德故自致不善底之履反
重言	王拜手稽首二後見洛誥
欲敗度縱敗禮以速戾于厥躬	速召也言己放縱情欲毀敗禮儀法度以召罪於其身敗必邁反徐甫邁反縱子用反戾郎計反
天作孽猶可違自作孽不可逭	孽災逭逃也言天災可避自作災不可逃孽魚列反逭胡亂反
旣往背師保之訓弗克于厥𥘉尚頼匡救之德圖惟厥終	言己巳往之前不能修德於其𥘉今庶幾頼教訓之德謀終於善悔過之辭背音佩徐扶代反
伊尹拜手稽首	拜手首至手
曰修厥身允德協于下惟明后	言修其身使信德合於羣下惟乃明君
先王子惠困窮民服厥命罔有不恱	言湯子愛困窮之人使皆得其所故民心服其教令無有不忻喜
並其有邦厥鄰乃曰徯我后后來無罰	湯俱與鄰並有國鄰國人乃曰待我君來言忻戴君來無罰言仁惠徯胡啓反
重意	徯我后后來無罰仲虺之誥徯予后后來其蘇
王懋乃德視乃厥祖無時豫怠	言當勉修其德法視其祖而行之無爲是逸豫怠惰懋音茂
奉先思孝接下思恭	以念祖德爲孝以不驕慢爲恭
視逺惟明聽德惟聦	言當以明視逺以聦聽德
重意	視逺惟明聽德惟聦舜典明四目逹四聦
朕承王之休無斁	王所行如此則我承王之美無厭斁音亦厭於豔反
