太甲下第七商書孔氏傳伊尹申誥于王曰嗚呼惟天無親克敬惟親	言天於人無有親䟽惟親能敬身者
民罔常懷懷于有仁	民所歸無常以仁政爲常
重意	皇天無親克敬惟親民罔常懷懷于有仁蔡仲之命皇天無親惟德是輔民心無常惟惠之懷
鬼神無常享享于克誠	言鬼神不保一人能誠信者則享其祀
天位艱哉	言居天子之位難以此三者
德惟治否德亂	爲政以德則治不以德則亂治直吏反注及下同
與治同道罔不興與亂同事罔不亡	言安危在所任治亂在所法
重意	與治同道罔不興二句詳見蔡仲之命
終始愼厥與惟明明后	明愼其所與治亂之幾則爲明王明君
先王惟時懋敬厥德克配上帝	言湯惟是終始所與之難勉修其德能配天而行之
今王嗣有令緒尚監兹哉	令善也繼祖善業當夙夜庶幾視祖此配天之德而法之
若升髙必自下若陟遐必自邇	言善政有漸如登髙升逺必用下近爲始然後終致髙逺
無輕民事惟難	無輕爲力役之事必重難之乃可
無安厥位惟危	言當常自危懼以保其位
愼終于始	於始慮終於終思始
有言逆于汝心必求諸道	人以言咈違汝心必以道義求其意勿拒逆之咈扶弗反
有言遜于汝志必求諸非道	遜順也言順汝心必以非道察之勿以自臧
嗚呼弗慮胡獲弗爲胡成一人元良萬邦以貞	胡何貞正也言常念慮道德則得道德念爲善政則成善政一人天子天子有大善則天下得其正
君罔以辯言亂舊政	利口覆國家故特愼焉覆芳服反
臣罔以寵利居成功	成功不退其志無限故爲極以安之
邦其永孚于休	言君臣各以其道則國長信保於美
