咸有一德第八商書孔氏傳伊尹作咸有一德	言君臣皆有純一之德以戒太甲
咸有一德	即政之後恐其不一故以戒之
伊尹旣復政厥辟	還政太甲
將告歸乃陳戒于德	告老歸邑陳德以戒
曰嗚呼天難諶命靡常	以其無常故難信諶徐市林反
重言	天難諶二後見君奭
常厥德保厥位厥德匪常九有以亡	人能常其德則安其位九有諸侯桀不能常其德湯伐而兼之
夏王弗克庸德慢神虐民	言桀不能常其德不敬神明不恤下民
皇天弗保監于萬方啓迪有命	言天不安桀所爲廣視萬方有天命者開道之
眷求一德俾作神主	天求一德使代桀爲天地神祇之主
惟尹躬曁湯咸有一德克享天心受天明命	享當也所征無敵謂之受天命
互註	記緇衣子曰爲上可望而知也爲下可𫐠而志也則君不疑於其臣則臣不惑於其君矣尹告曰惟尹躬及湯咸有一德注二君臣皆有一德不貳則無疑惑也
以有	下篇同相息亮反下同
使百工營求諸野得諸傳巖	使百官以所夢之形象經營求之於外野得之於傳巖之谿
作說命三篇	命說爲相使攝政
說命	始求得而命之
王宅憂亮隂三祀	隂黙也居憂信黙三年不言亮本又作諒如字又力章反
旣免䘮其惟弗言	除䘮猶不言政
互註	記䘮服四制書曰髙宗諒䦣三年不言善之也王者莫不行此禮何以獨善之也曰髙宗者武丁武丁者殷之賢王也繼丗即位而慈良於䘮當此之時殷衰而復興禮廢而復起故善之善之故載之書中而髙之故謂之髙宗三年之䘮君不言書云髙宗諒闇三年不言此之謂也
羣臣咸諫于王曰嗚呼知之曰明哲明哲實作則	知事則爲明智明智則能制作法則哲本又作喆
天子惟君萬邦百官承式	天下待令百官仰法
重意	天子惟君萬邦五子之歌萬邦之君
王言惟作命不言臣下罔攸禀令	禀受令亦命也
王庸作書以誥曰以台正于四方台恐德弗類兹故弗言	因臣下怪之故作誥類善也我正四方恐德不善此故不言誥故報反台音怡
恭黙思道夢帝賚予良弼其代予言	夢天與我輔弼良佐將代我言政教賚力代反徐音來
乃審厥象俾以形旁求于天下	審所夢之人刻其形象以四方旁求之於民間俾必爾反
說築傳巖之野惟肖	傳氏之巖在虞􁄹之界通道所經有澗水壞道常使胥靡刑人築護此道說賢而隱代胥靡築之以供食肖似似所夢之形肖音笑􁄹寡白反壞音怪供音恭
爰立作相王置諸其左右	於是禮命立以爲相使在左右
命之曰朝夕納誨以輔台德	言當納諌誨直辭以輔我德朝張遥反
重意	朝夕納誨舜典夙夜出納朕命
若金用汝作礪	鐵須礪以成利器礪力丗反
若濟巨川用汝作舟楫	渡大水待舟楫楫音接徐音集
若歳大旱用汝作霖雨	霖三日雨霖以救旱
啓乃心沃朕心若藥弗瞑功	上有狹人之心則下無所自盡矣言先盡其心然後乃能盡其力人君所以成功狹戸夾反盡徐子忍反注同
沃丁旣葬伊尹于亳	沃丁太甲子伊尹旣致仕老終以三公禮葬沃烏毒反徐於毒反
咎單遂訓伊尹事	訓暢其所行功德之事
作沃丁	咎單忠臣名作此篇以戒也亡
伊陟相太戊	伊陟伊尹子太戊沃丁弟之子陟張力反相息亮反太戊馬云太甲子
亳有祥桑榖共生于朝	祥妖怪二木台生七日大拱不恭之罰桑蘇臧反榖工木反楮也朝直遥反
伊陟贊于巫咸作咸乂四篇	贊告也巫咸臣名皆亡巫咸馬云巫男巫也名咸殷之巫也
太戊贊于伊陟	告以改過自新
作伊陟原命	原臣名原命伊陟二篇皆亡
仲丁遷于嚻	太戊子去亳嚻地名嚻五羔反
作仲丁	陳遷都之義亡
河亶甲居相	仲丁弟相地名在河北亶丁但反相息亮反今魏郡有相縣
作河亶甲	亡
祖乙圯于耿	亶甲子圯於相遷於耿河水所毀曰圯圯備美反徐扶鄙反馬云毀也
作祖乙	亡
