說命上第十二商書孔氏傳髙宗夢得說	盤庚弟小乙子名武丁德髙可尊故號髙宗夢得賢相其名曰說說本又作兊音恱注及
九有之師爰革夏正	爰於也於得九有之衆遂伐夏勝之改其正
非天私我有商惟天佑于一德	非天私商而王之佑助一德所以王而王于况反下同或如字
非商求于下民惟民歸于一德	非商以力求民民自歸于一德
德惟一動罔不吉德二三動罔不凶	二三言不一
惟吉凶不僭在人惟天降災祥在德	行善則吉行惡則凶是不差德一天降之善不一天降之災是在德僭子念反
今嗣王新服厥命惟新厥德	其命王命新其德戒勿怠
終始惟一時乃日新	言德行終始不衰殺是乃日新之義行下孟反殺色界反衰微也殺害也言小小害也
重意	時乃日新仲虺之誥德日新
任官惟賢材左右惟其人	官賢材而任之非賢材不可任選左右必忠良不忠良非其人
重意	任官惟賢材武成建官惟賢〇左右惟其人周官官不必備惟其人
臣爲上爲德爲下爲民	言臣奉上布德順下訓民不可官所私任非其人爲上于僞反下爲民同爲德如字下爲下同徐皆于僞反
其難其愼惟和惟一	其難無以爲易其愼無以輕之羣臣當和一心以事君政乃善易以䜴反
重意	惟和惟一禹謨惟精惟一
德無常師主善爲師	德非一方以善爲主乃可師
善無常主協于克一	言以合於能一爲常德
俾萬姓咸曰大哉王言	一德之言故曰大
又曰一哉王心	能一德則一心
克綏先王之禄永底烝民之生	言爲王而令萬姓如此則能保安先王之寵禄長致衆民所以自生之道是明王之事烝之承反
嗚呼七丗之廟可以觀德	天子立七廟有德之王則爲祖宗其廟不毀故可觀德
萬夫之長可以觀政	能整齊萬夫其政可知長丁丈反
后非民罔使民非后罔事	君以使民自尊民以事君自生
重意	后非民罔使民非后罔事見大禹謨太甲
無自廣以狹人匹夫匹婦不獲自盡民主罔與成厥眩厥疾弗瘳	開汝心以沃我心如服藥必瞑眩極其病乃除欲其出切言以自警瞑莫遍反眩玄遍反徐又呼縣反瞑眩困極也廖勑留反警音景
若跣弗視地厥足用傷	跣必視地足乃無害言欲使爲己視聽跣先典反徐七顯反爲于僞反
惟曁乃僚罔不同心以匡乃辟	與汝並官皆當倡率無不同心以匡正汝君辟必亦反
俾率先王迪我髙后以康兆民	言匡正汝君使循先王之道蹈成湯之蹤以安天下
重意	以康兆民武成以濟兆民
嗚呼欽予時命其惟有終	敬我是命修其職使有終
說復于王曰惟木從繩則正后從諫則聖	言木以繩直君以諌明
后克聖臣不命其承	君能受諌則臣不待命其承意而諌之
疇敢不祗若王之休命	言王如此誰敢不敬順王之美命而諌者乎
重意	疇敢不祗若王之休命下篇對揚天子之休命
