說命下第十四商書孔氏傳王曰來汝說台小子舊學于甘盤	學先王之道甘盤殷賢臣有道德者台音怡
旣乃遯于荒野入宅于河	旣學而中廢業遯居田野河洲也其父欲使髙宗知民之艱苦故使居民間遯徒頓反
自河徂亳曁厥終罔顯	自河往居亳與今其終故遂無顯明之德
爾惟訓于朕志	言汝當教訓於我使我志通逹
若作酒醴爾惟麴糵	酒醴須麴糵以成亦言我須汝以成麴起六反糵魚列反
若作和羹爾惟鹽梅	鹽鹹梅醋羹須鹹醋以和之羹音庚一音衡鹽余廉反梅亦作禖醋七故反和如字又胡卧反
爾交修予罔予棄予惟克邁乃訓	交非一之義邁行也言我能行汝教
說曰王人求多聞時惟建事學于古訓乃有獲	王者求多聞以立事學於古訓乃有所得
事不師古以克永丗匪說攸聞	事不法古訓而以能長丗非說所聞言無是道
惟學遜志務時敏厥修乃來	學以順志務是敏疾其德之修乃來
互註	記學記夫然故安其學而親其師樂其友而信其道是以雖離師輔而不反也兊命曰敬孫務時敏厥修乃來其此之謂乎
允懷于兹道積于厥躬	信懷此學志則道積於其身
惟斆學半念終始典于學厥德修罔覺	斆教也教然後知所困是學之半終始常念學則其德之修無能自覺斆戸教反
互註	記檀弓古之君子舉大事必愼其終始而衆安得不喻焉兊命曰念終始典于學又學記古之王者建國君民教學爲先兊命曰念终始典于學其此之謂乎又學然後知不足教然後知困知不足然後能自反也知困然後能自強也故曰教學相長也兊命曰學學半其此之謂乎
監于先王成憲其永無愆	愆過也視先王成法其長無過其惟學乎愆起䖍反
惟說式克欽承旁招俊乂列于庶位	言王能志學說亦用能敬承王志廣招俊乂使列衆官俊本又作畯
重意	旁招俊乂太甲上旁求俊彦
王曰嗚呼說四海之内咸仰朕德時乃風	風教也使天下皆仰我德是汝教仰如字徐五亮反
股肱惟人良臣惟聖	手足具乃成人有良臣乃成聖
昔先正保衡作我先王	保衡伊尹也作起正長也言先丗長官之臣長丁丈反下同
乃曰予弗克俾厥后惟堯舜其心愧恥若撻于市	言伊尹不能使其君如堯舜則恥之若見撻于市故成其能俾必爾反撻他逹反
一夫不獲則曰時予之辜	伊尹見一夫不得其所則以爲己罪
佑我烈祖格于皇天	言以此道左右成湯功至于天無能及者
重言	格于皇天二本篇君奭
爾尚明保予罔俾阿衡專美有商	汝庶幾明安我事則與伊尹同美阿烏何反
惟后非賢不乂惟賢非后不食	言君須賢治賢須君食治直吏反
重意	惟后非賢不乂惟賢非后不食太甲中民非后罔克胥匡以生后非民罔以辟四方
其爾克紹乃辟于先王永綏民	能繼汝君於先王長安民則汝亦有保衡之功辟必亦反
說拜稽首曰敢對揚天子之休命	對荅也荅受美命而稱揚之
重言	說拜稽首二前篇本篇
重意	敢對揚天子之休命上篇敢不祗若王之休命
