西伯戡黎第十六商書孔氏傳殷始咎周	咎惡咎其九反馬云咎周者爲周所咎
周人乗黎	乗勝也所以見惡黎力兮反國名尚書大傳作耆
祖伊恐	祖已後賢臣
奔告于受	受紂也告相亂帝乙之子嗣立暴虐無道受如字傳云受紂也又馬本云受當讀曰紂或曰受婦人之言故號曰受也
作西伯戡黎	戡亦勝也伯亦作柏戡音堪說文作云殺也以此戡訓刺音竹甚反勝詩證反
西伯戡黎西伯旣戡黎	近王圻之諸侯在上黨東北近附近之近圻巨依反
祖伊恐奔告于王曰天子天旣訖我殷命	文王率諸侯以事紂貌雖事紂内秉王心布德行威有將王之意紂不能制日益強大今又克有黎國迫近王圻似有天助之力故知天已畢訖殷之王命言殷祚至此而畢將欲化爲周王心于况反下注冝王者同
格人元龜罔敢知吉	至人以人事觀殷大龜以神靈考之皆無知吉
非先王不相我後人惟王淫戲用自絶	非先祖不助子孫以王淫過戲怠用自絶於先王相息亮反
故天棄我不有康食不虞天性不迪率典	以紂自絶於先王故天亦棄之宗廟不有安食於天下而王不度知天性命所在而所行不蹈循常法言多罪度待洛反
今我民罔弗欲䘮曰天曷不降威大命不摯今王其如台	摯至也民無不欲王之亡言天何不下罪誅之有大命冝王者何以不至王之凶害其如我所言摯音至本又作贄
重言	今我民二盤庚下本篇〇其如台二盤庚上髙宗肜日
王曰嗚呼我生不有命在天	言我生有壽命在天民之所言豈能害我遂惡之辭
祖伊反曰嗚呼乃罪多參在上乃能責命于天	反報紂也言汝罪惡衆多參列於上天天誅罰汝汝能責命于天拒天誅乎參七南反馬云參字累在上
殷之即䘮指乃功不無戮于爾邦	言殷之就亡指汝功事所致汝不得無死戮於殷國必將滅亡立可待
重意	不無戮于爾邦牧誓其于爾躬有戮
