微子第十七商書孔氏傳殷旣錯天命	錯亂也錯七各反馬云廢也
微子作誥父師少師	告二師而去紂少詩照反
微子	微圻内國名子爵爲紂卿士去無道
微子若曰父師少師	父師太師三公箕子也少師孤卿比干微子以紂距諫知其必亡順其事而言之
殷其弗或亂正四方	或有也言殷其不有治正四方之事將必亡治直吏反
我祖底遂陳于上	言湯致遂其功陳列於上丗
我用沈酗于酒用亂敗厥德于下	我紂也沈湎酗醟敗亂湯德於後丗沈徐直金反没也酗况具反以酒爲凶曰酗說文作䣱云酒醟湎面善反醟音詠說文于命反䣱酒也
重意	沈酗于酒二並本篇無逸酗于酒德哉
殷罔不小大好草竊姦宄	草野竊盗又爲姦宄於内外好呼報反宄音軌
重意	好草竊姦宄舜典宼賊姦宄
卿士師師非度凡有辜罪乃罔恒獲	六卿典士相師效爲非法度皆有辜罪無秉常得中者度如字
小民方興相爲敵讎	卿士旣亂而小人各起一方共爲敵讎言不和同讎市周反
今殷其淪䘮若渉大水其無津涯	淪没也言殷將没亡如渉大水無涯際無所依就淪音倫徐力允反䘮息浪反涯五佳反又宜佳反
重意	若渉大水大誥若渉淵水君奭若渉大川
殷遂䘮越至于今	言遂䘮亡於是至於今到不待乆
曰父師少師我其發出狂吾家耄遜于荒	我念殷亡發疾生狂在家耄亂故欲遯出於荒野言愁悶出尺遂反耄一又作旄莫報反注同遯徒悶反徐徒頓反一音都困反
今爾無指告予顛隮若之何其	汝無指意告我殷邦顛隕隮墜如之何其救之隮子細反玉篇子兮反切韻祖稽反隕于敏反
父師若曰王子	比干不見明心同省文微子帝乙元子故曰王子見賢遍反省所景反
天毒降災荒殷邦方興沈酗于酒	天生紂爲亂是天毒下災四方化紂沈湎不可如何
乃罔畏畏咈其耇長舊有位人	言起沈湎上不畏天災下不畏賢人違戾耇老之長致仕之賢不用其教法紂故咈扶勿反耇工口反長丁丈反注同
今殷民乃攘竊神祇之犧牷牲用以容將食無災	自來而取曰攘色純曰犧體完曰牷牛羊豕曰牲器實曰用盗天地宗廟牲用相容行食之無災罪之者言政亂攘如羊反因來而取曰攘竊馬云往盗曰竊神祇天曰神地曰祇犧許冝反牷音全
降監殷民用乂讎歛召敵讎不怠	下視殷民所用治者皆重賦傷民歛聚怨讎之道而又亟行暴虐自召敵讎不懈怠讎如字下同徐云鄭音疇馬本作稠云數也歛力檢反馬鄭力豔反謂賦歛也徐云鄭力劒反治直吏反亟欺忌反數也又紀力反本又作極如字至也懈佳賣反
罪合于一多瘠罔詔	言殷民上下有罪皆合於一法紂故使民多瘠病而無詔救之者瘠在益反
商今其有災我興受其敗	災滅在近我起受其敗言宗室大臣義不忍去
商其淪䘮我罔爲臣僕詔王子出迪	商其没亡我二人無所爲臣僕欲以死諫紂我教王子出合於道臣僕一本無臣字
我舊云刻子王子弗出我乃顛隮	刻病也我乆知子賢言於帝乙欲立子帝乙不肯病子不得立則冝爲殷後者子今若不出逃難我殷家宗廟乃隕墜無主舊云馬云言也刻音克馬云侵刻也難乃旦反
自靖人自獻于先王	各自謀行其志人人自獻逹干先王以不失道靖馬本作清謂潔也
我不顧行遯	言將與紂俱死所執各異皆歸於仁明君子之道出處語黙非一途顧音故徐音鼓
