泰誓中第二周書孔氏傳惟戊午王次于河朔	次止也戊午渡河而誓旣誓而止於河之北
羣后以師畢會	諸侯盡會次也
王乃徇師而誓曰嗚呼西土有衆咸聽朕言	徇循也武王在西故稱西土徇似俊反字詁云徇廵也
重意	咸聽朕言大禹謨咸聽朕命湯誓悉聽朕言盤庚明聽朕言吕刑皆聽朕言
我聞吉人爲善惟日不足凶人爲不善亦惟日不足	言吉人渴日以爲善凶人亦渴日以行惡湯苦曷反又苦蓋反
今商王受力行無度	行無法度渴日不足故曰力行
重言	今商王受五上篇本篇下篇牧誓武成
播棄犂老昵比罪人	鮐背之耇稱犂老布棄不禮敬昵近罪人謂天下逋逃之小人犂力私反又力兮反昵女乙反比毗志反鮐他來反又音怡魚名逋布呉反
淫酗肆虐臣下化之	過酗縱虐以酒成惡臣下化之言罪同酗况付反
朋家作仇脅權相滅無辜籲天穢德彰聞	臣下朋黨自爲仇怨脅上權命以相誅滅籲呼也民皆呼天告冤無辜紂之穢德彰聞天地言罪惡深脅虚業反籲音喻穢於廢反
惟天惠民惟辟奉天	言君天下者當奉天以愛民辟必亦反
有夏桀弗克若天流毒下國	桀不能順天流毒虐於下國萬民言凶害
天乃佑命成湯降黜夏命	言天助湯命使下退桀命
惟受罪浮于桀	浮過
剥䘮元良賊虐諫輔	剥傷害也賊殺也元善之長良善以諫輔紂紂反殺之䘮息浪反長丁丈反
謂已有天命謂敬不足行謂祭無益謂暴無傷	言紂所以罪過於桀已音紀
厥監惟不逺在彼夏王	其視紂罪與桀同辜言必誅之
天其以予乂民	用我治民當除惡
朕夢協朕卜襲于休祥戎商必克	言我夢與卜俱合於美善以兵誅紂必克之占
受有億兆夷人離心離德	夷平凡人也雖多而執心用德不同
予有亂臣十人同心同德	我治理之臣雖少而心德同十人周公旦召公奭太公望畢公榮公太顚閎夭散冝生南宫适及文田治直吏反
互註	左成二年君子曰衆之不可以巳也大夫爲政猶以衆克况明君而善用其衆乎泰誓所謂商兆民離周十人同者衆也〇又昭二十四年召簡公南宫嚚以甘桓公見王子朝劉子謂萇弘曰甘氏又往矣對曰何害同德度義泰誓曰紂有億兆夷人亦有離德余有亂臣十人同心同德此周所以興也君其務德無患無人
雖有周親不如仁人	周至也言紂至親雖多不如周家之少仁人
天視自我民視天聽自我民聽	言天因民以視聽民所惡者天誅之惡烏路反一音如字
重意	天視自我民視天聽自我民聽皐陶謨天聦明自我民聦明
百姓有過在予一人	己能無惡于民民之有過在我教不至
重意	百姓有過在予一人湯誥萬方有罪在予一人
今朕必往我武惟揚侵于之疆	揚舉也言我舉武事侵入紂郊疆伐之疆居良反
重言	今朕必往二湯誓一
取彼凶殘我伐用張于湯有光	桀流毒天下湯黜其命紂行凶殘之德我以兵取之伐惡之道張設比於湯又有光明
勗哉夫子罔或無畏寜執非敵	勗勉也夫子謂將士無敢有無畏之心寜執非敵之志伐之則克矣勗許玉反下同將子匠反下篇註同
重言	勗哉夫子三本篇一牧誓二
百姓懔懔若崩厥角	言民畏紂之虐危懼不安若崩摧其角無所容頭懔力甚反
嗚呼乃一德一心立定厥功惟克永丗	汝同心立功則能長丗以安民
重言	惟克永丗說命以克永丗
