金縢第八周書孔氏傳武王有疾周公作金縢	爲請命之書藏之於匱緘之以金不欲人開之縢徒登反緘工咸反
金縢	遂以所藏爲篇名
旣克商二年王有疾弗豫	伐紂明年武王有疾不恱豫豫本又作忬
二公曰我其爲王穆卜周公曰未可以戚我先王	穆敬戚近也召公太公言王疾當敬卜吉凶周公言未可以死近我先王相順之辭爲于僞反戚千歷反
公乃自以爲功	周公乃自以請命爲己事
爲三壇同墠	因大王王季文王請命於天故爲三壇壇築土墠除地大除地於中爲三壇璮徒丹反築土也馬云土堂墠音善
爲壇於南方北面周公立焉	立壇上對三王
植璧秉珪乃告太王王季文王	璧以禮神植置也置於三王之坐周公秉桓珪以爲贄告謂祝辭植時職反徐音置贄音至祝如字或之又反下同
史乃冊祝曰惟爾元孫某遘厲虐疾	史爲冊書祝辭也元孫武王某名臣諱君故曰某厲危虐暴也遘工豆反遇也
若爾三王是有丕子之責于天以旦代某之身	太子之責謂疾不可救於天則當以旦代之死牛有命不可請代聖人叙臣子之心以垂丗教丕普悲反馬同徐甫眉反鄭音不
予仁若考能多材多藝能事鬼神	我周公仁能順父又多材多藝能事鬼神言可以代武王之意
乃元孫不若旦多材多藝不能事鬼神乃命于帝庭敷佑四方	汝元孫受命於天庭爲天子布其德教以佑助四方言不可以死
用能定爾子孫于下地四方之民罔不祗畏	言武王用受命帝庭之故能定先人子孫於天下四方之民無不敬畏
嗚呼無墜天之降寳命我先王亦永有依歸	歎惜武王言不救則墜天之寳命救之則先王長有依歸
今我即命于元龜	就受三王之命於大龜卜知吉凶
爾之許我我其以璧與珪歸俟爾命	許謂疾瘳特命當以事神瘳勑留反下同
爾不許我我乃屏璧與珪	不許謂不愈也屏藏也言不得事神
乃卜三龜一習吉	習因也以三王之龜卜一相因而吉
啓籥見書乃并是吉	三兆旣同吉開籥見占兆書乃亦并是吉箚茅若反徐以略反馬云藏卜兆書管并必政反
公曰體王其罔害	公視兆曰如此兆體王其無害言必愈
予小子新命于三王惟永終是圖	周公言我小子新受三王之命武王惟長終是謀周之道
兹攸俟能念予一人	言武王愈此所以待能念我天子事成周道
公歸乃納冊于金縢之匱中王翼日乃瘳	從壇歸翼明瘳差也差𥘉賣反
武王旣䘮管叔及其羣弟乃流言於國	武王死周公攝政其弟管叔及蔡叔霍叔乃放言於國以誣周公以惑成王䘮息浪反
曰公將不利於孺子	三叔以周公大聖有次立之勢遂生流言孺稚也稚子成王孺如樹反
周公乃告二公曰我之弗辟我無以告我先王	辟法也告召公太公言我不以法法三叔則我無以成周道告我先王辟扶亦反治也說文作璧音必亦反法也馬鄭音避謂避居東都
周公居東二年則罪人斯得	周公旣告二公遂東征之二年之中罪人此得
于後公乃爲詩以貽王名之曰鴟鴞王亦未敢誚公	成王信流言而疑周公故周公旣誅三監而作詩解所以冝誅之意以遺王王猶未悟故欲讓公而未敢貽羊支反名如字徐亡政反鴟尺夷反鴞吁嬌反誚在笑反以遺唯季反
秋大熟未穫天大雷電以風	二年秋也蒙恒風若雷以威之故有風雷之異穫戸郭反
禾盡偃大木斯拔邦人大恐	風災所及邦人皆大恐拔皮八反
王與大夫盡弁以啓金縢之書	皮弁質服以應天弁皮彦反徐扶變反應應對之應
乃得周公所自以爲功代武王之說	所藏請命冊書本說如字徐始銳反
二公及王乃問諸史與百執事	二公倡王啓之故先見書史百執事皆從周公請命倡昌亮反皆從才用反又如字
對曰信噫公命我勿敢言	史百執事言信有此事周公使我勿道今言之則負周公噫恨辭噫於其反馬本作懿猶憶也
王執書以泣曰其勿穆卜	本欲敬卜吉凶今天意可知故止之
昔公勤勞王家惟予冲人弗及知	言巳幼童不及知周公昔日忠勤冲直中反
重意	昔公勤勞王家武成王季其勤王家〇惟予冲人弗及知大誥肆予冲人永思艱
今天動威以彰周公之德	發雷風之威以明周公之聖德
惟朕小子其新逆我國家禮亦冝之	周公以成王未寤故留東未還改過自新遣使者迎之亦國家禮有德之冝新逆馬本作親迎遣使所吏反
王出郊天乃雨反風禾則盡起	郊以玉幣謝天天即反風起禾明郊之是
重意	天乃雨反風舜典烈風雷雨弗迷
二公命邦人凡大木所偃盡起而築之歳則大熟	木有偃拔起而立之築有其根桑果無虧百榖豐熟周公之德此巳上大誥後因武王䘮并見之築音竹本亦作筑謂筑其根馬云築拾也見賢遍反
