微子之命第十周書孔氏傳成王旣黜殷命殺武庚	一名禄父
命微子啓代殷後	啓知紂必亡而奔周命爲宋公爲湯後
作微子之命	封命之書
微子之命	稱其本爵以名篇
王若曰猷殷王元子	微子帝乙元子故順道本而稱之
惟稽古崇德象賢	惟考古典有尊德象賢之義言今法之
重意	惟稽古見堯典崇德象賢武成崇德報功
統承先王修其禮物	言二王之後各修其典禮正朔服色與時王並通三統正音政
作賔于王家與國咸休永丗無窮	爲時王賔客與時皆美長丗無竟
嗚呼乃祖成湯克齊聖廣淵	言汝祖成湯能齊德聖逹廣大深逺澤流後世
〇重意	克齊聖廣淵冏命聦明齊聖
皇天眷佑誕受厥命	大天眷顧湯佑助之大受其命謂天命
重言	皇天眷佑二泰誓中本篇大禹謨皇天眷命〇誕受厥命重見康誥
撫民以寛除其邪虐	撫民以寛政放桀邪虐湯之德
功加于時德垂後裔	言湯立功加於當時德澤垂及後世裔末也裔以制反
重意	德垂後裔仲虺垂𥙿後昆
爾惟踐修厥猷舊有令聞	汝微子言能踐湯德乆有善譽昭聞逺近令聞如字又音問
恪愼克孝肅恭神人予嘉乃德曰篤不忘	言微子敬愼能孝嚴恭神人故我善汝德謂厚不可忘篤本又作笁東谷反
上帝時歆下民祗協庸建爾于上公尹兹東夏	孝恭之人祭祀則神歆享施令則人敬和用是封立汝於上公之位正此東方華夏之國宋在京師東歆許今反
重意	尹兹東夏君奭尹兹東郊
欽哉往敷乃訓愼乃服命率由典常以蕃王室	敬哉敬其爲君之德往臨人布汝教訓愼汝祖服命數循用舊典無失其常以蕃屏周室戒之蕃方元反本又作藩
重言	欽哉八堯典禹謨本篇景命各一舜典益稷二〇以蕃王室二本篇蔡仲之命
弘乃烈祖律乃有民永綏厥位毗予一人	大汝烈祖成湯之道以法度齊汝所有之人則長安其位以輔我一人言上下同榮慶毗房脂反
重意	永綏厥位文侯之命永綏在位毗予一人泰誓周官弼予一人
丗丗享德萬邦作式	言微子累丗享德不忝厥祖雖同公侯而特爲萬國法式
俾我有周無斁	汝丗丗享德則使我有周好汝無厭俾必爾反斁音亦好呼報反厭於豔反
嗚呼往哉惟休無替朕命	歎其德遣往之國言當惟爲美政無廢我命
重言	往哉七舜典二盤庚本篇康誥畢命文侯之命各一
唐叔得禾異畒同頴	唐叔成王母弟食邑内得異禾也畒壟頴穗也禾各生一壟而合爲一穗頴役領反穗似醉反本亦作遂
獻諸天子	拔而貢之
王命唐叔歸周公于東	異畒同頴天下和同之象周公之德所致周公東征未還故命唐叔以禾歸周公唐叔後封晉
作歸禾	亡
周公旣得命禾旅天子之命	巳得唐叔之禾遂陳成王歸禾之命而推美成王善則稱君
作嘉禾	天下和同政之善者故周公作書以嘉禾名篇告天下亡
