康誥第十一周書孔氏傳成王旣伐管叔蔡叔	滅三監
以殷餘民封康叔	以三監之民國康叔爲衛侯周公懲其數叛故使賢母弟主之數叛上所角反下亦作畔
作康誥酒誥梓材康誥	命康叔之誥康圻内國名叔封字梓音子圻具依反
惟三月哉生魄	周公攝政七年三月始生魄月十六日明消而魄生魄字又作魄普白反馬云魄朏也謂月三日始生兆朏名曰魄
重意	惟三月哉生魄武成厥四月哉生明顧命惟四月哉生魄
周公𥘉基作新大邑于東國洛四方民大和會	𥘉造基建作王城大都邑於東國洛汭居天下土中四方之民大和恱而集㑹汭如銳反
侯甸男邦采衛百工播民和見士于周	此五服諸侯服五百里侯服去王城千里甸服千五百里男服去王城二千里采服二千五百里衛服三千里與禹貢異制五服之百官播率其民和恱並見即事于周見賢遍反
重意	侯甸邦男采衛酒誥侯甸男衛康王之誥庶邦侯甸男衛
周公咸勤乃洪大誥治	周公皆勞勉五服之人遂乃因大封命大誥以治道陸云乃洪大誥治直吏反注及下其治民安治用安治同一本作周公廼洪大誥治勞力報反
王若曰孟侯朕其弟小子封	周公稱成王命順康叔之德命爲孟侯孟長也五侯之長謂方伯使康叔爲之言王使我命其弟封封康叔名稱小子明當受教誨長丁丈反下同
惟乃丕顯考文王克明德愼罰	惟汝大明父文王能顯用俊德愼去刑罰以爲教首去羌吕反下欲去去疾同
互註	左成二年周書曰明德愼罰文王所以造周也明德務崇之之謂也愼罰務去之之謂也
不敢侮鰥寡庸庸祗祗威威顯民	惠恤窮民不慢鰥夫寡婦用可用敬可敬刑可刑明此道以示民
重言	不敢侮鰥寡二本篇無逸
互註	左宣十五年晉侯賞桓子狄臣千室亦賞士伯以瓜衍之縣曰吾獲狄土子之功也微子吾䘮伯氏矣羊舌職說是賞也曰周書所謂庸庸祗祗者謂此物也夫
用肇造我區夏越我一二邦以修	用此明德愼罰之道始爲政於我區域諸夏故於我一二邦皆以修治
我西土惟時怙冒聞于上帝帝休	我西土𡵨周惟是怙恃文王之道故其政教冒𬒳四表上聞于天天美其治怙音戸冒莫報反覆也聞如字徐又音問
重言	聞于上帝二重見君奭
天乃大命文王殪戎殷誕受厥命	天羙文王乃大命之殺兵殷大受其王命謂三分天下有其二以授武王殪於計反
重言	誕受厥命二一見微子
互註	左宣六年赤狄伐晉圍懷及邢丘晉侯欲伐之中行桓子曰使疾其民以盈其貫將可殪也周書曰殪戎殷此類之謂也
越厥邦厥民惟時叙	於其國於其民惟是次叙皆文王教
乃寡兄勗肆汝小子封在兹東土	汝寡有之兄武王勉行文王之道故汝小子封得在此東土爲諸侯勗許玉反
王曰嗚呼封汝念哉	念我所以告汝之言
重言	汝念哉見篇末
今民將在祗遹乃文考紹聞衣德言	今治民將在敬循汝文德之父繼其所聞服行其德言以爲政教遹音聿又音述馬云述也衣如字徐於旣反
往敷求于殷先哲王用保乂民	汝往之國當布求殷先智王之道用安治民
汝丕逺惟商耇成人宅心知訓	汝當大逺求商家耇老成人之道常以居心則知訓民耇音苟
别求聞由古先哲王用康保民	又當别求所聞父兄用古先智王之道用其安者以安民
弘于天若德𥙿乃身不廢在王命	大于天爲順德則不見廢常在王命
王曰嗚呼小子封恫􁄺乃身敬哉	恫痛􁄺病治民務除惡政當如痛病在汝身欲去之敬行我言恫音通又勑動反􁄺古頑反
重言	敬哉五本篇二洛誥蔡仲之命君奭各一
天畏棐忱民情大可見小人難保	天德可畏以其輔誠人情大可見以小人難安棐音匪又芳鬼反忱市林反
重意	天畏棐忱大誥越天棐忱君奭若天棐忱
往盡乃心無康好逸豫乃其乂民	往當盡汝心爲政無自安好逸豫寛身其乃治民盡徐子忍反好呼報反
我聞曰怨不在大亦不在小惠不惠懋不懋	不在大起於小不在小小至於大言怨不可爲故當使不順者順不勉者勉懋音茂
互註	左昭八年周書曰惠不惠茂不茂康叔所以服弘大也
巳汝惟小子乃服惟弘王應保殷民	巳乎汝惟小子乃當服行德政惟弘大王道上以應天下以安我所受殷之民衆應應對之應注同徐於甑反
重言	巳汝惟小子二並本篇大誥巳予惟小子二洛誥巳汝惟冲子
亦惟助王宅天命作新民	弘王道安殷民亦所以惟助王者居順天命爲民日新之教
互註	記大學康誥曰作新民詩曰周雖舊邦其命惟新是故君子無所不用其極
王曰嗚呼封敬明乃罰	歎而勑之凡行刑罰汝必敬明之欲其重愼
人有小罪非眚乃惟終自作不典式爾	小罪非過失乃惟終自行之自爲不常用犯汝眚所領反本亦作省
有厥罪小乃不可不殺乃有大罪非終乃惟眚災適爾旣道極厥辜時乃不可殺	汝盡聽訟之理以極其罪是人所犯亦不可殺當以罰宥論之宥于救反
王曰嗚呼封有叙時乃大明服	歎政教有次叙是乃治理大明則民服
惟民其勑懋和	民旣服化乃其自勑正勉爲和
若有疾惟民其畢棄咎	化惡爲善如欲去疾治之以理則惟民其盡棄惡修善咎其乆反
重言	若有疾二前見大誥
若保赤子惟民其康乂	愛養人如安孩兒赤子不失其欲惟民其皆安治孩亥才反
互註	記大學慈者所以使衆也康誥日如保赤子心誠求之雖不中不逺矣
非汝封刑人殺人	言得刑殺罪人
無或刑人殺人	無以得刑殺人而有妄刑殺非辜者
非汝封又曰劓刵人	劓截鼻刵截耳刑之輕者亦言所得行劓魚器反刵如志反
無或劓刵人	所以舉輕以戒爲人輕行之
王曰外事汝陳時臬司師兹殷罰有倫	言外土諸侯奉王事汝當布陳是法司牧其衆及此殷家刑罰有倫理者兼用之臬魚列反
又曰要囚服念五六日至于旬時丕蔽要囚	要用謂察其要辭以斷獄旣得其辭服膺思念五六日至於十日至于三月乃大斷之言必反覆思念重刑之至也要於霄反蔽必丗反斷丁亂反下及篇末同覆芳服反
王曰汝陳時臬事罰蔽殷彞	陳是法事其刑罰斷獄用殷家常法謂典刑故事彞以支反
用其義刑義殺勿庸以次汝封	義冝也用舊法典刑冝於時丗者以刑殺勿用以就汝封之心所安
乃汝盡遜曰時叙惟曰未有遜事	乃使汝所行盡順曰是有次序惟當自謂未有順事君子將興自以爲不足
巳汝惟小子未其有若汝封之心朕心朕德惟乃知	巳乎他人未其有若汝封之心言汝心最善我心我德惟汝所知欲其明成王所以命已之欵心欵苦管反
重言	汝惟小子二又大誥汝作予
凡民自得罪寇攘姦宄殺越人于貨	凡民用得罪爲寇盗攘竊姦宄殺人顚越人於是以取貨利攘如羊反宄音軌
重言	寇攘姦宄舜典寇賊姦宄
暋不畏死罔弗憝	暋強也自強爲惡而不畏死人無不惡之者言當消絶之暋音敏憝徒對反徐徒猥反強其丈反無不惡烏路反下所大惡疾惡亦惡音同
王曰封元惡大憝矧惟不孝不友	大惡之人猶爲人所大惡况不善父母不友兄弟者乎言人之罪惡莫大於不孝不友
子弗祗服厥父事大傷厥考心	爲人子不能敬身服行父道而怠忽其業大傷其父心是不孝
于父不能字厥子乃疾厥子	於爲人父不能字愛其子乃疾惡其子是不慈
于弟弗念天顯乃弗克恭厥兄	於爲人弟不念天之明道乃不能恭事其兄是不恭
兄亦不念鞠子哀大不友于弟	爲人兄亦不念稚子之可哀大不篤友于弟是不友鞠居六反
互註	左僖三十三年𥘉臼季使過冀見冀缺耨其妻饁之敬相待如賔與之歸言諸文公曰請用之公曰其父有罪可乎對曰舜之罪也殛鯀其舉也興禹管敬仲桓之賊也實相以濟康誥曰父不慈子不祗兄不友弟不恭不相及也
