無逸第十七周書孔氏傳周公作無逸	中人之性好逸豫故戒以無逸好呼報反
無逸	成王即政恐其逸豫故以所戒名篇
周公曰嗚呼君子所其無逸	歎美君子之道所在念德其無逸豫君子且猶然况王者乎
先知稼穡之艱難乃逸則知小人之依	稼穡農夫之艱難事先知之乃謀逸豫則知小人之所依怙怙音戸
相小人厥父母勤勞稼穡厥子乃不知稼穡之艱難	視小人不孝者其父母躬勤艱難而子乃不知其勞相息亮反
重意	厥父母止艱難見大誥
乃逸乃諺旣誕否則侮厥父母曰昔之人無聞知	小人之子旣不知父母之勞乃爲逸豫遊戲乃叛諺不恭巳欺誕父母不欺則輕侮其父母曰古老之人無所聞知諺音彦
周公曰嗚呼我聞曰昔在殷王中宗	太戊也殷家中丗尊其德故稱宗
嚴恭寅畏天命自度	言太戊嚴洛恭敬畏天命用法度嚴如字又魚檢反注同馬作儼
治民祗懼不敢荒寜	爲政敬身畏懼不敢荒怠自安治直吏反
重言	不敢荒寜重見下文
肆中宗之享國七十有五年	以敬畏之故得壽考之福
其在髙宗時舊勞于外爰曁小人	武丁其父小乙使之乆居民間勞是稼穡與小人出入同事
作其即位乃或亮隂三年不言	武丁起其即王位小乙死乃有信黙三年不言言孝行著行下孟反
重言	作其即位二重見下文
其惟不言言乃雍不敢荒寜	在䘮則其惟不言䘮畢發言則天下和亦法中宗不敢荒怠自安
互註	記檀弓子張問曰書云髙宗三年不言言乃讙有諸仲尼曰胡爲其不然也古者天子崩王丗子聽於冡宰三年
嘉靖殷邦至于小大無時或怨	善謀殷國至于小大之政人無是有怨者言無非
肆髙宗之享國五十有九年	髙宗爲政小大無怨故亦享國永年
其在祖甲不義惟王舊爲小人	湯孫太甲爲王不義乆爲小人之行伊尹放之桐
作其即位爰知小人之依能保惠于庶民不敢侮鰥寡	在桐三年思集用光起就王位於是知小人之所依依仁政故能安順於衆民不敢侮慢惸獨惸求營反字又作焭
重言	不敢侮鰥寡三康誥一
肆祖甲之享國三十有三年	太甲亦以知小人之依故得乆年此以德優劣立年多少爲先後故祖甲在下殷家亦祖其功故稱祖
自時厥後立王生則逸	從是三三各承其後而立者生則逸豫無度
重言	自時厥後二重見下文
生則逸不知稼穡之艱難	言與小人之子同其敝
不聞小人之勞惟耽樂之從	過樂謂之耽惟樂之從言荒淫耽丁南反注下同樂音洛注下同
自時厥後亦罔或克壽	以耽樂之故從是其後亦無有能壽考
或十年或七八年或五六年或四三年	髙者十年下者三年言逸樂之損壽
周公曰嗚呼厥亦惟我周太王王季克自抑畏	大王周公曾祖王季即祖言皆能以義自抑畏敬天命將說文王故本其父祖
文王卑服即康功田功	文王節儉卑其衣服以就其安人之功以就田功以知稼穡之艱難卑服如字馬本作俾使也
徽柔懿恭懷保小民惠鮮鰥寡	以羙道和民故民懷之以美政恭民故民安之又加惠鮮乏鰥寡之人鮮息淺反注同
自朝至于日中􁀈不遑暇食用咸和萬民	從朝至日昳不暇食思慮政事用皆和萬民􁀈音側本又作仄昳田節反
文王不敢盤于遊田以庻邦惟正之供	文王不敢樂於遊逸田獵以衆國所取法則當以正道供待之故供音恭
文王受命惟中身厥享國五十年	文王九十七而終中身即位時年四十七言中身舉全數
周公曰嗚呼繼自今嗣王	繼從今巳往嗣丗之王皆戒之
則其無淫于觀于逸于遊于田以萬民惟正之供	所以無敢過於觀遊逸豫田獵者用萬民當惟正身以供待之故
無皇曰今日耽樂乃非民攸訓非天攸若時人丕則有愆	無敢自暇曰惟今日樂後日止夫耽樂者乃非所以教民非所以順天是人則大有過矣愆起䖍反夫音扶
無若殷王受之迷亂酗于酒德哉	以酒爲凶謂之酗言紂心迷政亂以酗酒爲德戒嗣王無如之酗况付反
周公曰嗚呼我聞曰古之人猶胥訓告胥保惠胥教誨	歎古之君臣雖君明臣良猶相道告相安順相教誨以義方
民無或胥譸張爲幻	譸張誑也君臣以道相正故下民無有相欺誑幻感也譸竹求反馬本作輈爾雅及詩作侜同侜張誑也勾音患誑九况反
此厥不聽人乃訓之乃變亂先王之正刑至于小大	此其不聽中正之君人乃教之以非法乃變亂先王之正法至于小大無不變亂言己有以致之
重言	此厥不聽二重見下文
民否則厥心違怨否則厥口詛祝	以君變亂正法故民否則其心違怨否則其口詛祝言皆患其上詛側助反祝之又反
周公曰嗚呼自殷王中宗及髙宗及祖甲及我周文王兹四人迪哲	言此四人皆蹈智明德以臨下
厥或告之曰小人怨汝詈汝則皇自敬德	其有告之言小人怨詈汝者則大自敬德増修善政詈力致反
厥愆曰朕之愆允若時不啻不敢含怒	其人有過則曰我過百姓有過在予一人信如是怨詈則四王不啻不敢含怒以罪之言常和恱
此厥不聽人乃或譸張爲幻曰小人怨汝詈汝則信之	此其不聽中正之君有人誑惑之言小人怨憾詛詈汝則信受之憾胡暗反
重言	此厥不聽二重見上文
則若時不永念厥辟不寛綽厥心	則如是信讒者不長念其爲君之道不寛緩其心言含怒
亂罰無罪殺無辜怨有同是叢于厥身	信讒含怒罰殺無罪則天下同怨讎之叢聚於其身叢才工反
周公曰嗚呼嗣王其監于兹	視此亂罰之禍以爲戒
重意	嗣王其監于兹太甲上嗣王戒哉
