周官第二十二周書孔氏傳成王旣黜殷命滅淮夷	黜殷在周公東征時滅淮夷在成王即政後事相因故連言之
還歸在豐作周官	成王雖作洛邑猶還西周還音旋徐音全
周官	言周家設官分職用人之法
惟周王撫萬邦廵侯甸	即政撫萬國廵行天下侯服甸服行下孟反
四征弗庭綏厥兆民	四面征討諸侯之不直者所以安其兆民十億曰兆言多
六服羣辟罔不承德歸于宗周董正治官	六服諸侯奉承周德言恊服還歸於豐督正治理職司之百官辟必亦反治直吏反下至冡宰經注同
王曰若昔大猷制治于未亂保邦于未危	言當順古大道制治安國必于未亂未危之前思患預防之
曰唐虞稽古建官惟百内有百揆四岳外有州牧侯伯	道堯舜考古以建百官内置百揆四岳象天之有五行外置州牧十二及五國之長上下相維外内咸治言有法長丁丈反下官長助長君長同
重意	唐虞稽古見堯典舜典大禹皐陶若稽古
庶政惟和萬國咸寜	官職有序故衆政惟和萬國皆安所以爲至治
重意	萬國咸寜大禹謨萬邦咸寜洛誥冏命萬邦咸休
夏商官倍亦克用乂	禹湯建官二百亦能用治言不及唐虞之清要
明王立政不惟其官惟其人	言聖帝明王立政修教不惟多其官惟在得其人
○重意	不惟其官惟其人咸有一德左右惟其人又下文官不必備惟其人
今予小子祗勤于德夙夜不逮	今我小子敬勤於德雖夙夜匪懈不能及古人言自有極逮音代又大計反懈佳賣反
重言	今予小子二君奭本篇
仰惟前代時若訓迪厥官	言仰惟先代之法是順訓蹈其所建官而則之不敢自同堯舜之官準擬夏殷而蹈之
立太師太傅太保兹惟三公論道經邦爕理隂陽	師天子所師法傳傳相天子保保安天子於德義者此惟三公之任佐王論道以經緯國事和理隂陽言有德乃堪之爕素協反相息亮反
官不必備惟其人	三公之官不必備貟惟其人有德乃處之處昌慮反
少師少傅少保曰三孤	此三官名曰三孤孤特也言卑於公尊於卿特置此三者少詩照反下同
貳公弘化寅亮天地弼予一人	副貳三公弘大道化敬信天地之教以輔我一人之治
重言	弼予一人二前見泰誓又奉予一人湯誓予一人微子之命毗予一人
冡宰掌邦治統百官均四海	天官卿稱太宰主國政治統理百官均平四海之内邦國言任大
重意	統百官說命緫百官
