吕刑第二十九周書孔氏傳吕命	吕侯見命爲天子司寇
穆王訓夏贖刑	吕侯以穆王命作書訓暢夏禹贖刑之法更從輕以布告天下贖音蜀注下同
作吕刑吕刑	後爲甫侯故或稱甫刑
惟吕命王享國百年耄荒	言吕侯見命爲卿時穆王以享國百年耄亂荒忽穆王即位過四十矣言百年大期雖老而能用賢以揚名耄本亦作毛報反切韻莫報反
度作刑以詰四方	度時丗所冝訓作贖刑以治天下四方之民度待洛反注同馬如字云法度也詰起一反
王曰若古有訓蚩尤惟始作亂延及于平民	順古有遺訓言蚩尤造始作亂惡化相易延及於平善之人九黎之君號曰蚩尤蚩尺之反尤有牛反馬云少昊之末九黎君名
罔不寇賊鴟義姦宄奪攘矯䖍	平民化之無不相寇賊爲鴟䲷之義以相奪讓矯稱上命若固有之亂之甚鴟尺之反鴟梟惡鳥馬云鴟輕也義本亦作誼攘如羊反矯居表反䖍其然反
苗民弗用靈制以刑惟作五虐之刑曰法	三苗之君習蚩尤之惡不用善化民而制以重刑惟爲五虐之刑自謂得法蚩尤黄帝所滅三苗帝堯所誅言異丗而同惡
互註	記緇衣君民者子以愛之則民親之信以法之則民不倍恭以涖之則民有孫心甫刑曰苗民匪用命制以刑惟作五虐之刑曰法是以民有惡德而遂絶其丗也
殺戮無辜爰始淫爲劓刵椓黥	三苗之主頑凶若民敢行虐刑以殺戮無罪於是始大爲截人耳鼻㭬隂黥面以加無辜故曰五虐劓魚器反刵徐如志反椓丁角反黥其京反
越兹麗刑并制罔差有辭	苗民於此施刑并制無罪無差有直辭者言淫濫麗力馳反并必政反
民興胥漸泯泯棼棼罔中于信以覆詛盟	三苗之民瀆於亂政起相漸化泯泯爲亂棼棼同惡皆無中于信義以反背詛盟之約泯靣忍反徐音民棼扶云反徐扶文反覆芳服反徐敷目反詛側助反背音佩約如字又於妙反
虐威庶戮方告無辜于上上帝監民罔有馨香德刑發聞惟腥	三苗虐政作威衆𬒳戮者方方各告無罪於天天視苗民無有馨香之行其所以爲德刑發聞惟乃腥臭聞音問又如字注同腥音星行下孟反
重意	罔有馨香德刑發聞惟腥酒誥弗惟德馨香祀登聞于天君陳至治馨香感于神明
皇帝哀矜庶戮之不辜報虐以威遏絶苗民無丗在下	皇帝帝堯也哀矜衆𬒳戮者之不辜乃報爲虐者以威誅遏絶苗民使無丗位在下國也君帝君冝作皇字帝堯也遏於葛反
乃命重黎絶地天通罔有降格	重即羲黎即和堯命羲和丗掌天地四時之言使人神不擾各得其序是謂絶地天通言天神無有降地地祇不至於天明不相干重直龍反注同黎力兮反
羣后之逮在下明明棐常鰥寡無蓋	羣后諸侯之逮在下國皆以明明大道輔行常法故使鰥寡得所無有掩蓋裴音匪又芳鬼反鰥居頑反
皇帝清問下民鰥寡有辭于苗	帝堯詳問民患皆有辭怨於苗民清問馬云清訊也
德威惟畏德明惟明	言堯監苗民之見怨則又増修其德行威則民畏服明賢則德明人所以無能名焉
互註	記表記後丗雖有作者虞舜弗可及也巳矣君天下生無私死不厚其子子民如父母有憯怛之愛有忠利之教親而尊安而敬威而愛冨而有禮惠而能散其君子尊仁畏義恥費輕實忠而不犯義而順文而静寛而有辨甫刑曰德威惟威德明惟明非虞帝其孰能如此乎
乃命三后恤功于民伯夷降典折民惟刑禹平水土主名山川稷降播種農殖嘉榖	伯夷卜典禮教民而斷以法禹治洪水山川無名者主名之后稷下教民播種農畒生善榖所謂堯命三君憂功於民折之設反下同馬鄭王皆音悊馬云智也種章用反殖承力反斷丁亂反
〇重意	禹平水土舜典咨禹汝平水土〇稷降播種農殖嘉榖舜典汝后稷播時百榖
三后成功惟殷于民	各成其功惟所以殷盛於民言禮教備衣食足
士制百姓于刑之中以教祗德	言伯夷道民典禮斷之以法皐陶作土制百官於刑之中助成道化以教民爲敬德祇止而反
〇重意	士制百姓于刑之中大禹謨民恊于中君陳惟厥中下文故乃明于刑之中
穆穆在上明明在下灼于四方罔不惟德之勤	堯躬行敬敬在上三后之徒秉明德明君道於下灼然彰著四方故天下之士無不惟德之勤
重意	灼于四方堯典光𬒳四表泰誓光于四方
故乃明于刑之中率乂于民棐彞	天下皆勤立德故乃能明於用刑之中正循道以冶於民輔成常教治直吏反
典獄非訖于威惟訖于冨	言堯時主獄有威有德有恕非絶於威惟絶於富丗治貨賂不行賂來故反
敬忌罔有擇言在身	堯時典獄皆能敬其職忌其過故無有可擇之言在其身
互註	記表記子曰君子不失口於人是故君子言足信也甫刑曰敬忌而罔有擇言在躬
惟克天德自作元命配享在下	凡明於刑之中無擇言在身必是惟能天德自爲大命配享天意在於天下
王曰嗟四方司政典獄非爾惟作天牧	主政典獄謂諸侯也非汝惟爲天牧民乎言任重是汝爲于僞反任重上而鴆反下輕重之重
今爾何監非時伯夷播刑之迪	言當視是伯夷布刑之道而法之
其今爾何懲惟時苗民匪察于獄之麗	其今汝何懲戒乎所懲戒惟是苗民非察於獄之施刑以取滅亡麗力馳反
罔擇吉人觀于五刑之中惟時庶威奪貨	言苗民無肯選擇善人使觀視五刑之中正惟是衆爲威虐者任之以奪取人貨所以爲亂
斷制五刑以亂無辜上帝不蠲降咎于苗	苗民任奪貨姦人斷制五刑以亂加無罪天不㓗其所爲故下咎罪謂誅之蠲吉縁反咎其九反
苗民無辭于罰乃絶厥丗	言罪重無以辭於天罰故堯絶其丗申言之爲至戒
王曰嗚呼念之哉	念以伯夷爲法苗民爲戒
重意	念之哉益稷伊訓念哉
伯父伯兄仲叔季弟㓜子童孫皆聽朕言庶有格命	皆王同姓有父兄弟子孫列者伯仲叔季順少長也舉同姓包異姓言不殊也聽從我言庶幾有至命聽如字又他經反少詩照反長丁丈反
重意	皆聽朕言湯誥悉聽朕言盤庚明聽朕言泰誓咸聽朕言舜典咸聽朕命
今爾罔不由慰日勤爾罔或戒不勤	今汝無不用安自居日當勤之汝無有徒念戒而不勤日勤上人實反一音曰
天齊于民俾我一日非終惟終在人	天整齊於下民使我爲之一日所行非爲天所終惟爲天所終在人所行天齊于民絶句馬云齊中也俾我絶句上必爾反馬本作矜矜哀也
爾尚敬逆天命以奉我一人雖畏勿畏雖休勿休	汝當庶幾敬逆天命以奉我一人之戒行事雖見畏勿自謂可敬畏雖見美勿自謂有德羙
重意	以奉我一人泰誓奉予一人
惟敬五刑以成三德一人有慶兆民頼之其寜惟永	先戒以勞謙之德次教以惟敬五刑所以成剛柔正直之三德也天予有善則兆民頼之其乃安寜長乆之道
重意	一人有慶㤗誓亦尚一人之慶
互註	左襄十三年譲禮之主也范宣子讓其下皆讓欒黶爲汰弗敢違也晉國以乎數丗頼之刑善也夫一人刑善百姓休和可不務乎書曰一人有慶兆民頼之其寜惟永其是之謂乎
王曰吁來有邦有土告爾祥刑	吁歎也有國土諸侯告汝以善用刑之道吁况于反馬作于于於也
在今爾安百姓何擇非人何敬非刑何度非及	在今爾安百姓兆民之道當何所擇非惟吉人乎當何所敬非惟五刑乎當何所度非惟及丗輕重所冝乎度待洛反注同馬云謀造也
兩造具備師聽五辭	兩謂囚證造至也兩至具備則衆獄官共聽其入五刑之辭造七報反注同
五辭簡孚正于五刑	五辭簡核信有罪驗則正之於五刑
五刑不簡正于五罰	不簡核謂不應五刑當正五罰出金贖罪核幸格反
五罰不服正于五過	不服不應罰也正於五過從赦免應應對之應下同
五過之疵惟官惟反惟内惟貨惟來	五過之所病或甞同官位或詐反囚辭或内親用事或行貨枉法或舊相往來皆病所在疵才斯反來馬本作求云有求請賕也
其罪惟鈞其審克之	以病所在出入人罪使在五過罪與犯法者同其當清察能使之不行
重言	其克審之四下文三
五刑之疑有赦五罰之疑有赦其審克之	刑疑赦從罰罰疑赦從免其當清察能得其理
重意	五罰之疑有赦大禹罪疑惟輕
簡孚有衆惟貌有稽	簡核誠信有合衆心惟察其貌有所考合重刑之至
無簡不聽具嚴天威	無簡核誠信不聽理其獄皆當嚴敬天威無輕用刑
墨辟疑赦其罰百鍰閱實其罪	刻其顙而涅之曰墨刑疑則赦從罰六兩曰鍰鍰黄鐵也閱實其罪使與罰各相當辟婢亦反鍰徐戸關反六兩也鄭及爾雅同說文云六鋝也鋝十一銖二十五分銖之十三也馬同又云賈逵說俗儒以鋝重六兩周官劒重九鋝俗儒近是閱音恱顙素黨反涅乃結反
重言	閱實其罪五連見下文四
劓辟疑赦其罰惟倍閱實其罪	截鼻曰劓刑倍百爲二百鍰
剕辟疑赦其罰倍差閱實其罪	刖足曰剕倍差謂倍之又半爲五百鍰剕扶謂反倍差測加反傳云五百鍰也馬云倍二百爲四百差者又加四百之三分之一凡五百三十三鍰三分鍰之一也刖音月又五罰反絶也
宫辟疑赦其罰六百鍰閱實其罪	宫淫刑也男子割勢婦人幽閉次死之刑序五刑先輕轉至重者事之冝
大辟疑赦其罰千鍰閱實其罪	死刑也五刑疑各入罰不降相因古之制也
墨罰之屬千劓罰之屬千剕罰之屬五百宫罰之屬三百大辟之罰其屬二百五刑之屬三千	别言罰屬合言刑屬明刑罰同屬互見其義以相備見賢遍反
上下比罪無僭亂辭勿用不行	上下比方其罪無聽僭亂之辭以自疑勿用折獄不可行僭子念反
惟察惟法其審克之	惟當清察罪人之辭刑以法理其當詳審能之
上刑適輕下服	重刑有可以虧减則之輕服下罪
下刑適重上服輕重諸罰有權	一人有二罪則之重而輕并數輕重諸刑罰各有權冝并必政反數色住反
刑罰丗輕丗重惟齊非齊有倫有要	言刑罰隨丗輕重也刑新國用輕典刑亂國用重典刑平國用中典凡刑所以齊非齊各有倫理有要義
罰懲非死人極于病	刑罰所以懲過非殺人欲使惡人極於病苦莫敢犯者
非佞折獄惟良折獄罔非在中	非口才可以斷獄惟平良可以斷獄無不在中正
重意	罔非在中君陳爾惟勿宥惟厥中
察辭于差非從惟從	察囚辭其難在於差錯非從其爲辭惟從其本情
哀敬折獄明啓刑書胥占咸庶中正	當憐下人之犯法敬斷獄之害人明開刑書相與占之使刑當其罪皆庶幾必得中正之道當丁浪反
其刑其罰其審克之	其所刑其所罰其當詳審能行之無失中正
重言	其審克之四上文二
獄成而孚輸而孚	斷獄成辭而信當輸汝信於王謂上其鞠劾文辭上時掌反下注同鞠九六反劾亥代反玉篇胡得反
其刑上備有并兩刑	其斷刑文書上王府皆當備具有并兩刑亦具上之
王曰嗚呼敬之哉官伯族姓朕言多懼	敬之哉告使敬刑官長諸侯族同族姓異姓也我言多可戒懼以儆之儆音景
重言	敬之哉二前見康王之誥
朕敬于刑有德惟刑	我敬於刑當使有德者惟典刑
今天相民作配在下明清于單辭	今天治民人君爲配天在下當承天意聽訟當清審單辭單辭特難聽故言之相如字馬悉亮反助也治直吏反
民之亂罔不中聽獄之兩辭	民之所以治由典獄之無不以中正聽獄之兩辭兩辭棄虚從實刑獄清則民治
無或私家于獄之兩辭	典獄無敢有受貨聽詐成私家於獄之兩辭
獄貨非寳惟府辜功報以庶尤	受獄貨非家寳也惟聚罪之事其報則以衆人見罪
永畏惟罰非天不中惟人在命	當長畏懼惟爲天所罰非天道不中惟人在教命使不中不中則天罰之
天罰不極庶民罔有令政在于天下	天道罰不中令衆民無有善政在於天下由人主不中將亦罰之令力呈反
王曰嗚呼嗣孫今往何監非德于民之中尚明聽之哉	嗣孫諸侯嗣丗子孫非一丗自今巳往當何監視非當立德於民爲之中正乎庶幾明聽我言而行之哉
哲人惟刑無疆之辭屬于五極咸中有慶	言智人惟用刑乃有無窮之善辭名聞於後丗以其折獄屬五常之中正皆中有善所以然也屬音燭
受王嘉師監于兹祥刑	有邦有土受王之善衆而治之者視於此善刑欲其勤而法之爲無疆之辭
