費誓第三十一周書孔氏傳魯侯伯禽宅曲阜	始封之國居曲阜伯禽魯侯名
徐戎並興東郊不開	徐戎淮夷並起爲冦於魯故東郊不開開舊讀皆作開馬本作闢
作費誓	魯侯征之於費地而誓衆也諸侯之事而連帝王孔子序書以魯有治戎征討之備秦有悔過自誓之戒足爲丗法故録以備王事猶詩録商魯之頌費音秘
費誓	費魯東郊之地名
公曰嗟人無譁聽命	伯禽爲方伯監七百里内之諸侯帥之以征歎而勑之使無諠譁欲其静聽誓命譁戸瓜反監工銜反
重意	嗟人無譁聽命詳見秦誓篇
徂兹淮夷徐戎並興	今往征此淮浦之夷徐州之戎並起爲寇此戎夷帝王所羈縻統緒故錯居九州之内秦始皇逐出之
善􁀠乃甲胄敿乃干無敢不弔	言當善簡汝甲鎧胄兠鍪施汝楯紛無敢不令至攻堅使可用􁀠了彫反敿居表反弔音的鎧苦代反兠丁侯反鍪音矛楯常凖反又音允紛芳云反
備乃弓矢鍜乃戈矛礪乃鋒刃無敢不善	備汝弓矢弓調矢利鍜鍊戈矛磨礪鋒刃皆使無敢不功善鍜丁亂反礪力丗反鍊來見反
今惟淫舎牿牛馬	今軍人惟大放舎牿牢之牛馬言軍所在必放牧也牿工毒反
杜乃擭敜乃穽無敢傷牿牿之傷汝則有常刑	擭捕獸機檻當杜塞之穽穿地䧟獸當以工窒敜之無敢令傷所放牿牢之牛馬牛馬之傷汝則有殘人畜之常刑杜本又作􁄽穫華化反徐戸覆反敜徐乃協反又乃結反穽在性反檻戸减反窒珍栗反畜許六反又丑六反
重言	汝則有常刑三下文二又嗣征篇邦有常刑
馬牛其風臣妾逋逃勿敢越逐	馬牛其有風佚臣妾逋亡勿敢棄越壘伍而求逐之役人賤者男曰臣女曰妾逋布呉反佚音逸
祗復之我商賚汝	衆人其有得佚馬牛逃臣妾皆敬還復之我則商度汝功賜與汝商如字徐音章賚力代反又音來度待洛反
乃越逐不復汝則有常刑	越逐爲失伍不還爲攘盗汝則有此常刑
無敢寇攘踰垣牆	軍人無敢暴刧人踰越人垣牆物有自來者無敢取之攘如羊反垣音袁
重意	無敢寇攘康誥寇攘姦宄
竊馬牛誘臣妾汝則有常刑	軍人盗竊馬牛誘偷奴婢汝則有犯軍令之常刑
甲戌我惟征徐戎	誓後甲戌之日我惟征之
峙乃糗糧無敢不逮汝則有大刑	皆當儲峙汝糗糒之糧使足食無敢不相逮及汝則有乏軍興之死刑峙直里反爾雅云具也糗去九反一音昌紹反糧音良糒音備
重言	汝則有大刑二並見本篇
魯人三郊三遂峙乃楨榦甲戌我惟築	揔諸國之兵而但稱魯人峙具楨榦道近也題曰楨旁曰榦言三郊三遂明東郊距守不峙甲戌日當築攻敵壘距堙之屬楨音貞榦工翰反築陟六反守手又反堙音因
重言	魯人三郊三遂二見下文
無敢不供汝則有無餘刑非殺	峙具楨榦無敢不供不供汝則有無餘之刑刑者非一也然亦非殺汝供音恭
魯人三郊三遂峙乃芻茭無敢不多汝則有大刑	郊遂多積芻茭供軍牛馬不多汝則亦有乏軍興之大刑芻𥘉俱反茭音交
重言	汝則有大刑見上文
