秦誓第三十二周書孔氏傳秦穆公伐鄭	遣三帥帥師往伐之陸云事見魯僖公三十三年三帥色類反下注同謂孟明視西乞術白乙丙
晉襄公帥師敗諸崤	崤晉要塞也以其不假道伐而敗之囚其三帥崤戸交反塞悉代反假工下反
還歸作秦誓	晉舎三帥還歸秦穆公悔過作誓
秦誓	貪鄭取敗悔而自誓
公曰嗟我士聽無譁	誓其羣臣通稱士也
重意	嗟我士聽無譁費誓嗟人無譁聽命
予誓告汝羣言之首	衆言之本要
古人有言曰民訖自若是多盤	言民之行巳盡用順道是多樂稱古人言悔前不順忠臣樂音洛
重言	古人有言曰四秦誓酒誥牧誓本篇
責人斯無難惟受責俾如流是惟艱哉	人之有非以義責之此無難也若巳有非惟受人責即改之如水流下是惟難哉俾必爾反下同
重意	是惟艱哉伊訓兹惟艱哉君牙厥惟艱哉
我心之憂日月逾邁若弗云來	言我心之憂欲改過自新如日月並行過如不復云來雖欲改悔恐死及之無所益復扶又反
惟古之謀人則曰未就予忌	惟爲我執古義之謀人謂忠賢蹇叔等也則曰未成我所欲反忌之耳爲于僞反下爲我謀同
惟今之謀人姑將以爲親	惟指今事爲我所謀之人我且將以爲親而用之悔前違古從今以取破敗
雖則云然尚猷詢兹黃髮則罔所愆	言前雖則有云然之過今我庶幾以道謀此黄髮賢老則行事無所過矣
畨畨良士旅力旣愆我尚有之	勇武畨畨之良士雖衆力巳過老我今庶幾欲得此人而用之畨音波
仡仡勇夫射御不違我尚不欲	仡仡壯勇之夫雖射御不違我庻幾不欲用自悔之至仡許訖反又魚乞反馬本作訖訖無所省録之貌徐云強狀射神夜反
惟截截善諞言俾君子易辭我皇多有之昧昧我思之	惟察察便巧善爲辨侫之言使君子回心易辭我前多有之以我昧昧思之不明故也截才節反馬云辭語截剥省要也諞音辨徐扶連反又甫淺反馬本作偏云少也辭約損明大辨佞之人易羊石反昧音妹
如有一介臣斷斷猗無他技其心休休焉其如有容	如有束脩一介臣斷斷猗然專一之臣雖無他技藝其心休休然樂善其如是則能有所容言將任之介音界馬本作介云一介耿介一心端慤者字又作个音工佐反斷丁亂反又音短猗於綺反又於冝反技其綺反本亦作伎他本亦作它吐何反樂音洛
人之有技若已有之人之彦聖其心好之不啻如自其口出是能容之	人之有技若已有之樂善之至也人之美聖其心好之不啻如自其口出心好之至也是人必能容之好呼報反啻失䜴反
重言	人之有技二下文一〇人之彦聖二下文一
以保我子孫黎民亦職有利哉	用此好技聖之人安我子孫衆人亦主有利哉言能興國
人之有技冒疾以惡之人之彦聖而違之俾不逹	見人之有技藝蔽冐疾害以惡之人之美聖而違背壅塞之使不得上通冐莫報反惡烏路反背音佩壅於勇反塞先得反
是不能容以不能保我子孫黎民亦曰殆哉	冐疾之人是不能容人用之不能安我子孫衆人亦曰危殆哉殆唐在反
邦之杌􁄾曰由一人	杌陧不安言危也一人所任用國之傾危曰由所任不用賢杌五骨反隉五結反徐語折反
邦之榮懷亦尚一人之慶	國之光榮爲民所歸亦庻幾其所任用賢之善也穆公陳戒背賢則危用賢則榮自誓改前過之意
〇重意	亦尚一人之慶吕刑一人有慶
