少牢饋食禮第十六儀禮鄭氏注少牢饋食之禮	禮將祭祀必先擇牲繫于牢而芻之羊豕曰少牢諸侯之卿大夫祭宗庿之牲
日用丁巳	内事用柔日必丁巳者取其令名自丁寧自變改皆爲謹敬必先諏此日明日乃筮
筮旬有一日	旬十日也以先月下旬之巳筮來月上旬之巳
筮於庿門之外主人朝服西面于門東史朝服左執筮右抽上韇兼與筮執之東面受命于主人	史家臣主筮事者
主人曰孝孫某來日丁亥用薦歲事于皇祖伯某以某妃配某氏尚饗	丁未必亥也直舉一日以言之耳禘于大庿禮曰日用丁亥不得丁亥則己亥辛亥亦用之無則苟有亥焉可也薦進也進歲時之祭事也皇君也伯某且字也大夫或因字爲謚春秋傳曰魯無駭卒請謚與族公命之以字爲展氏是也某仲叔季亦曰仲某叔某季某某妃某妻也合食曰配某氏若言姜氏子氏也尚庶幾饗歆也
史曰諾西面于門西抽下韇左執筮右兼執韇以擊筮	將問吉凶焉故擊之以動其神易曰蓍之德圜而神
遂述命曰假爾大筮有常孝孫某來日丁亥用薦歲事于皇祖伯某以某妃配某氏尚饗	𫐠循也重以主人辭告筮也假借也言因蓍之靈以問之常吉凶之占繇
乃釋韇立筮	卿大夫之著長五尺立筮由便
卦者在左坐卦以木卒筮乃書卦于木示主人乃退占	卦者史之屬也卦以木者每一爻畫地以識之交爻備書於板史受以示主人退占東面旅占之
吉則史韇筮史兼執筮與卦以吿于主人占曰從	從者求吉得吉之言
乃官戒宗人命滌宰命爲酒乃退	官戒戒諸官也當共祭祀事者使之具其物且齊也滌漑濯祭噐埽除宗庿
若不吉則及逺日又筮日如初	及至也逺日後丁若後巳
宿	宿讀爲肅肅進也大夫尊儀益多筮日旣戒諸官以齊戒矣至前祭一日又戒以進之使知祭日當來古文宿皆作羞
前宿一日宿戒尸	皆肅諸官之日又先肅尸者重所用爲尸者又爲將筮
明日朝筮尸如筮日之禮命曰孝孫某來日丁亥用薦歲事于皇祖伯某以某妃配某氏以某之某爲尸尚饗筮卦占如初	某之某者字尸父而名尸也字尸父尊鬼神也不前期三日筮尸者大夫下人君祭之朝乃視濯與士異
吉則乃遂宿尸祝擯	筮吉又遂肅尸重尸也旣肅尸乃肅諸官及執事者祝爲擯者尸神象
主人再拜稽首祝吿曰孝孫某來日丁亥用薦歲事于皇祖伯某以某妃配某氏敢宿	告尸以主人爲此事來肅
尸拜許諾主人又再拜稽首主人退尸送揖不拜	尸不拜者尸尊
若不吉則遂改筮尸	卽改筮之不及逺日
旣宿尸反爲期于庿門之外	爲期肅諸官而皆至定祭早晏之期爲期亦夕時也言旣肅尸反爲期明大夫尊肅尸而巳其爲賔及執事者使人肅之
主人門東南面宗人朝服北面曰請祭期主人曰比於子	比次早晏在於子也主人不西面者大夫尊於諸官有君道也爲期亦唯尸不來也
宗人曰旦明行事主人曰諾乃退	旦明旦日質明
明日主人朝服即位于庿門之外東方南面宰宗人西面北上牲北首東上司馬刲羊司士擊豕宗人告備乃退	刲擊皆謂殺之此實旣省吿備乃殺之文互者省也尚書傳曰羊屬火豕屬水
雍人摡鼎匕俎于雍爨雍爨在門東南北上	雍人掌割亨之事者爨竈也在門東南統於主人北上羊豕魚腊皆有竈竈西有鑊凡摡者皆陳之而後吿絜
廩人摡甑甗匕與敦于廩爨廩爨在雍爨之北	廩人掌米入之藏者甗如甑一孔匕所以上黍稷者也古文甑爲烝
司宫摡豆籩勺爵􁈉觶凡洗篚于東堂下勺爵觚觶實于篚卒摡饌豆籩與篚于房中放于西方設洗于阼階東南當東榮	放猶依也大夫攝官司宫兼掌祭噐也
羹定雍人陳鼎五三鼎在羊鑊之西二鼎在豕鑊之西	魚腊從羊膚從豕統於牲
司馬升羊右胖髀不升肩臂臑膞骼正脊一脡脊一橫脊一短脅一正脅一代脅一皆二骨以並腸三胃三舉肺一祭肺三實于一鼎	升猶上也上右胖周所貴也髀不升近竅賤也肩臂臑肱骨也膞骼股骨脊從前爲正脅旁中爲正脊先前脅先後屈而反猶噐之䋫也並併也脊脅骨多六體各取二骨併之以多爲貴舉肺一尸食所弁舉也祭肺三爲尸主人主婦古文胖皆作辯髀皆作脾今文並皆爲併
司士升豕右胖髀不升肩臂臑膞骼正脊一脡脊一橫脊一短脅一正脅一代脅一皆二骨以並舉肺一祭肺三實于一鼎	豕無腸胃君子不食溷腴
雍人倫膚九實于一鼎	倫擇也膚脅革肉擇之取美者
司士又升魚腊魚十有五而鼎腊一純而鼎腊用麋	司士又升副倅者合升左右胖曰純純猶全也
卒脀皆設扃鼏乃舉陳鼎于庿門之外東方北面北上	北面北上鄉内相隨古文鼏皆爲密
司宫尊兩甒于房戸之間同棜皆有幂甒有玄酒	房戸之間房西室戸東也棜無足禁者酒戒也大夫去足改名優尊者若不爲之戒然古文甒皆作廡今文鼏作幂
司宫設罍水于洗東有枓設篚于洗西南肆	枓㪺水噐也凡設水用罍沃盥用枓禮在此也
改饌豆籩于房中南面如饋之設實豆籩之實	改更也爲實之更之威儀多也如饋之設如其陳之左右也饋設東面
小祝設槃匜與簞巾于西階東	爲尸將盥
主人朝服即位于阼階東西面	爲將祭也
司宫筵于奥祝設几于筵上右之	布陳神坐也室中西南隅謂之奥席東面近南爲右
主人出迎鼎除鼏士盥舉鼎主人先入	道之也主人不盥不舉
司宫取二勺于篚洗之兼執以升乃啓二尊之蓋幂奠于棜上加二勺于尊覆之南柄	二尊兩甒也今文啓爲開古文柄皆爲枋
鼎序入雍正執一七以從雍府執四七以從司士合執二俎以從司士賛者二人皆合執二俎以相從入	相助
陳鼎于東方當序南于洗西皆西面北上膚爲下七皆加于鼎東枋	膚爲下以其加也南于洗西陳於洗西南
俎皆設于鼎西西肆肵俎在羊俎之北亦西肆	肵俎在北將先載也異其設文不當鼎
宗人遣賔就主人皆盥于洗長朼	長朼者長賔先次賔後也主人不朼言就主人者明親臨之古文朼作匕
