䷁	坤下坤上
坤元亨利牝馬之貞	坤貞之所利利於牝馬也馬在下而行者也而又牝焉順之至也至順而後乃亨故唯利於牝馬之貞
君子有攸往先迷後得主利西南得朋東北䘮朋安貞吉	西南致養之地與坤同道者也故曰得朋東北反西南者也故曰喪朋隂之爲物必離其黨之於反類而後獲安貞吉
彖曰至哉坤元萬物資生乃順承天坤厚載物德合无疆含弘光大品物咸亨牝馬地類行地无疆	地之所以得无疆者以卑順行之故也乾以龍御天坤以馬行地
柔順利貞君子攸行先迷失道後順得常西南得朋乃與類行東北䘮朋乃終有慶安貞之吉應地无疆	地也者形之名也坤也者用地者也夫兩雄必爭二主必危有地之形與剛健爲耦而能永保无疆用之者不亦至順乎若夫行之不以牝馬利之不以永貞方而又剛柔而又圎求安難矣
象曰地勢坤	地形不順其勢順
君子以厚德載物初六履霜堅冰至	始於履霜至于堅冰所謂至柔而動也剛隂之爲道本於卑弱而後積著者也故取履霜以明其始陽之爲物非基於始以至於著者也故以出處明之則以初爲濳
象曰履霜堅冰隂始凝也馴致其道至堅冰也六二直方大不習无不利	居中得正極於地質任其自然而物自生不假脩營而功自成故不習焉而无不利
象曰六二之動直以方也	動而直方任其質也
不習无不利地道光也六三含章可貞或從王事无成有終	三處下卦之極而不疑於陽應斯義者也不爲事始湏唱乃應待命乃發含美而可正者也故曰含章可貞也有事則從不敢爲首故曰或從王事也不爲事主順命而終故曰无成有終也
象曰含章可貞以時發也或從王事知光大也	知慮光大故不擅其美
六四括囊无咎无譽	處隂之卦以隂居隂履非中位无直方之質不造陽事无含章之美括結否閉賢人乃隱施愼則可非泰之道
象曰括囊无咎愼不害也六五黃裳元吉	黃中之色也裳下之飾也坤爲臣道美盡於下夫體无剛健而能極物之情通理者也以柔順之德處於盛位任夫文理者也垂黃裳以獲元吉非用武者也極隂之盛不至疑陽以文在中美之至也
象曰黃裳元吉文在中也	用黃裳而獲元吉以文在中也
上六龍戰于野其血玄黃	隂之爲道卑順不盈乃全其美盛而不巳固陽之地陽所不堪故戰于野
象曰龍戰于野其道窮也用六利永貞	用六之利利永貞也
象曰用六永貞以大終也	能以永貞大終者也
文言曰坤至柔而動也剛至静而德方	動之方正不爲邪也柔而又圎消之道也其德至静德必方也
後得主而有常含萬物而化光坤道其順乎承天而時行積善之家必有餘慶積不善之家必有餘殃臣弑其君子弑其父非一朝一夕之故其所由來者漸矣由辯之不早辯也易曰履霜堅冰至蓋言順也直其正也方其義也君子敬以直内義以方外敬義立而德不孤直方大不習无不利則不疑其所行也隂雖有美含之以從王事弗敢成也地道也妻道也臣道也地道无成而代有終也天地變化草木蕃天地閉賢人隱易曰括囊无咎无譽蓋言謹也君子黃中通理正位居體美在其中而暢於四支發於事業美之至也隂疑於陽必戰	辯之不早疑盛乃動故必戰
爲其嫌於无陽也	爲其嫌於非陽而戰
故稱龍焉猶未離其類也	猶未失其隂類爲陽所滅
故稱血焉	猶與陽戰而相傷故稱血
夫	_
玄	_
黃	_
者	_
天	_
地	_
之	_
雜	_
也	_
天	_
玄	_
而	_
地	_
黃	_
