䷂	震下坎上
屯元亨利貞	剛柔始交是以屯也不交則否故屯乃大亨也大亨則无險故利貞
勿用有攸往	往益屯也
利建侯	得主則定
彖曰屯剛柔始交而難生動乎險中大亨貞	始於險難至於大亨而後全正故曰屯元亨利貞
雷雨之動滿盈	雷雨之動乃得滿盈皆剛柔始交之所爲
天造草昧宜建侯而不寧	屯體不寧故利建侯也屯者天地造始之時也造物之始始於冥昧故曰草昧也處造始之時所宜之善莫善建侯也
象曰雲雷屯君子以經綸	君子經綸之時
初九磐桓利居貞利建侯	處屯之初動則難生不可以進故磐桓也處此時也其利安在不唯居貞建侯乎夫息亂以靜守靜以侯安民在正弘正在謙屯難之丗隂求於陽弱求於強民思其主之時也初處其首而又下焉爻備斯義宜其得民也
象曰雖磐桓志行正也	不可以進故磐恒也非爲宴安棄成務也故雖磐桓志行正也
以貴下賤大得民也	陽貴而隂賤也
六二屯如邅如乗馬班如匪宼㛰媾女子貞不字十年乃字	志在乎五不從於初屯難之時正道未行與初相近而不相得困於侵害故屯邅也時方屯難正道未通渉逺而行難可以進故曰乗馬班如也宼謂初也无初之難則與五㛰矣故曰匪宼㛰媾也志在於五不從於初故曰女子貞不字也屯難之丗勢不過十年者也十年則反常反常則本志斯獲矣故曰十年乃字
象曰六二之難乗剛也十年乃字反常也六三即鹿无虞惟入于林中君子幾不如舎往吝	三旣近五而无宼難四雖比五其志在初不妨巳路可以進而无屯邅也見路之易不揆其志五應在二往必不納何異无虞以從禽乎雖見其禽而无其虞徒入于林中其可獲乎幾辭也夫君子之動豈取恨辱哉故不如舎往吝窮也
象曰即鹿无虞以從禽也君子舎之往吝窮也六四乗馬班如求㛰媾往吉无不利	二雖比初執貞不從不害巳志者也求與合好往必見納矣故曰往吉无不利
象曰求而往明也	見彼之情狀也
九五屯其膏小貞吉大貞凶	處屯難之時居尊位之上不能恢弘博施无物不與拯濟微滯亨于羣小而繫應在二屯難其膏非能光其施者也固志同好不容他間小貞之吉大貞之凶
象曰屯其膏施未光也上六乗馬班如泣血漣如	處險難之極下无應援進无所適雖比於五五屯其膏不與相得居不獲安行无所適窮困闉厄无所委仰故泣血漣如
象	_
曰	_
泣	_
血	_
漣	_
如	_
何	_
可	_
長	_
也	_
