䷃	坎下艮上
蒙亨匪我求童蒙童蒙求我初筮告再三瀆瀆則不告	筮者決疑之物也童蒙之來求我欲決所惑也決之不一不知所從則復惑也故初筮則告再三則瀆瀆蒙也能爲初筮其唯二乎以剛處中能斷夫疑者也
利貞	蒙之所利乃利正也夫明莫若聖昧莫若蒙蒙以養正乃聖功也然則養正以明失其道矣
彖曰蒙山下有險險而止蒙	退則困險進則閡山不知所適蒙之義也
蒙亨以亨行時中也	時之所願唯願亨也以亨行之得時中也
匪我求童蒙童蒙求我志應也	我謂非童蒙者也非童蒙者即陽也凡不識者求問識者識者不求所告闇者求明明者不諮於闇故蒙之爲義匪我求童蒙童蒙求我也童蒙之來求我志應故也
初筮告以剛中也	謂二也二爲衆隂之主也无剛決中何由得初筮之告乎
再三瀆瀆則不告瀆蒙也蒙以養正聖功也象曰山下出泉蒙	山下出泉未知所適蒙之象也
君子以果行育德	果行者初筮之義也育德者養正之功也
初六發蒙利用刑人用說桎梏以往吝	處蒙之初二照其上故蒙發也蒙發疑明刑說當也以往吝刑不可長
象曰利用刑人以正法也	刑人之道道所惡也以正法制故刑人也
九二包蒙吉納婦吉子克家	以剛居中童蒙所歸包而不距則逺近咸至故包蒙吉也婦者配己而成德者也體陽而能包蒙以剛而能居中以此納配物莫不應故納婦吉也處于卦内以剛接柔親而得中能幹其任施之於子克家之義
象曰子克家剛柔接也六三勿用取女見金夫不有躬无攸利	童蒙之時隂求於陽晦求於明各求發其昧者也六三在下卦之上上九在上卦之上男女之義也上不求三而三求上女先求男者也女之爲體正行以待命者也見剛夫而求之故曰不有躬也施之於女行在不順故勿用取女而无攸利
象曰勿用取女行不順也六四困蒙吝	獨逺於陽處兩隂之中闇莫之發故曰困蒙也困於蒙昧不能比賢以發其志亦以鄙矣故曰吝也
象曰困蒙之吝獨逺實也	陽稱實也
六五童蒙吉	以夫隂質居於尊位不自任察而委於二付物以能不勞聦明功斯克矣故曰童蒙吉
象曰童蒙之吉順以巽也	委物以能不先不爲順以巽也
上九擊蒙不利爲宼利禦宼	處蒙之終以剛居上能擊去童蒙以發其昧者也故曰擊蒙也童蒙願發而己能擊去之合上下之願故莫不順也爲之扞禦則物咸附之若欲取之則物咸叛矣故不利爲宼利禦宼也
象	_
曰	_
利	_
用	_
禦	_
宼	_
上	_
下	_
順	_
也	_
