䷅	坎下乾上
訟有孚窒惕中吉	窒謂窒塞也皆惕然後可以獲中吉
終凶利見大人不利渉大川彖曰訟上剛下險險而健訟訟有孚窒惕中吉剛來而得中也終凶訟不可成也利見大人尚中正也不利渉大川入于淵也	凡不和而訟无施而可渉難特甚焉唯有信而見塞懼者乃可以得吉也猶復不可終中乃吉也不閉其源使訟不至雖每不枉而訟至終竟此亦凶矣故雖復有信而見塞懼猶不可以爲終也故曰訟有孚窒惕中吉終凶也无善聽者雖有其實何由得明而令有信塞懼者得其中吉必有善聽之主焉其在二乎以剛而來正夫羣小斷不失中應斯任也
象曰天與水違行訟君子以作事謀始	聽訟吾猶人也必也使无訟乎无訟在於謀始謀始在於作制契之不明訟之所以生也物有其分職不相濫爭何由興訟之所以起契之過也故有德司契而不責於人
初六不永所事小有言終吉	處訟之始訟不可終故不永所事然後乃吉凡陽唱而隂和隂非先唱者也四召而應見犯乃訟處訟之始不爲訟先雖不能不訟而了訟必辯明也
象曰不永所事訟不可長也雖小有言其辯明也九二不克訟歸而逋其邑人三百户无眚	以剛處訟不能下物自下訟上冝其不克若能以懼歸竄其邑乃可以免災邑過三百非爲竄也竄而據強災未免也
象曰不克訟歸逋竄也自下訟上患至掇也六三食舊德貞厲終吉或從王事无成	體夫柔弱以順於上不爲九二自下訟上不見侵奪保全其有故得食其舊德而不失也居爭訟之時處兩剛之間而皆近不相得故曰貞厲柔體不爭繫應在上衆莫能傾故曰終吉上壯爭勝難可忤也故或從王事不敢成也
象曰食舊德從上吉也九四不克訟	初辯明也
復即命渝安貞吉	處上訟下可以改變者也故其咎不大若能反從本理變前之命安貞不犯不失其道爲仁由己故吉從之
象曰復即命渝安貞不失也九五訟元吉	處得尊位爲訟之主用其中正以㫁枉直中則不過正則不邪剛无所溺公无所偏故訟元吉
象曰訟元吉以中正也上九或錫之鞶帶終朝三褫之	處訟之極以剛居上訟而得勝者也以訟受錫榮何可保故終朝之間褫帶者三也
象	_
曰	_
以	_
訟	_
受	_
服	_
亦	_
不	_
足	_
敬	_
也	_
