䷇	坤下坎上
比吉原筮元永貞无咎不寧方來後夫凶彖曰比吉也比輔也下順從也原筮元永貞无咎以剛中也	處比之時將原筮以求无咎其唯元永貞乎夫羣黨相比而不以元永貞則凶邪之道也若不遇其主則雖永貞而猶未足免於咎也使永貞而无咎者其唯九五乎
不寧方來上下應也	上下无陽以分其民五獨處尊莫不歸之上下應之旣親且安安則不安者託焉故不寧方所以來上下應故也夫无者求有有者不求所與危者求安安者不求所保火有其炎寒者附之故己苟安焉則不寧方來矣
後夫凶其道窮也	將合和親而獨在後親成則誅是以凶也
象曰地上有水比先王以建萬國親諸侯	萬國以比建諸侯以比親
初六有孚比之无咎有孚盈缶終來有它吉	處比之始爲比之首者也夫以不信爲比之首則禍莫大焉故必有孚盈缶然後乃得免比之咎故曰有孚比之无咎也處比之首應不在一心无私吝則莫不比之著信立誠盈溢乎質素之器則物終來无衰竭也親乎天下著信盈缶應者豈一道而來故必有它吉也
象曰比之初六有它吉也六二比之自内貞吉	處比之時居中得位而繫應在五不能來它故得其自内貞吉而巳
象曰比之自内不自失也六三比之匪人	四自外比二爲五貞近不相得遠則无應所與比者皆非己親故曰比之匪人
象曰比之匪人不亦傷乎六四外比之貞吉	外比於五履得其位比不失賢處不失位故貞吉也
象曰外比於賢以從上也九五顯比王用三驅失前禽邑人不誡吉	爲比之主而有應在二顯比者也比而顯之則所親者狹矣夫无私於物唯賢是與則去之與來皆无失也夫三驅之禮禽逆來趣己則舎之背己而走則射之愛於來而惡於去也故其所施常失前禽也以顯比而居王位用三驅之道者也故曰王用三驅失前禽也用其中正征討有常伐不加邑動必討叛邑人无虞故不誡也雖不得乎大人之吉是顯比之吉也此可以爲上之使非爲上之道
象曰顯比之吉位正中也舎逆取順失前禽也邑人不誡上使中也上六比之无首凶	无首後也處卦之終是後夫也親道巳成无所與終爲時所棄宜其凶也
象	_
曰	_
比	_
之	_
无	_
首	_
无	_
所	_
終	_
也	_
