䷍	乾下離上
大有元亨	不大通何由得大有乎大有則必元亨矣
彖曰大有柔得尊位大中而上下應之曰大有	處尊以柔居中以大體无二隂以分其應上下應之靡所不納大有之義也
其德剛健而文明應乎天而時行是以元亨	德應於天則行不失時矣剛健不滯文明不犯應天則大時行无違是以元亨
象曰火在天上大有君子以遏惡揚善順天休命	大有包容之象也故遏惡揚善成物之美順夫天德休物之命
初九无交害匪咎艱則无咎	以夫剛健爲大有之始不能履中滿而不溢術斯以往後害必至其欲匪咎艱則无咎也
象曰大有初九无交害也九二大車以載	任重而不危
有攸往无咎	健不違中爲五所任任重不危致逺不泥故可以往而无咎也
象曰大車以載積中不敗也九三公用亨于天子小人弗克	處大有之時居下體之極乗剛健之上而履得其位與五同功威權之盛莫此過焉公用斯位乃得通乎天子之道也小人不克害可待也
象曰公用亨于天子小人害也九四匪其彭无咎	旣失其位而上近至尊之威下比分權之臣其爲懼也可謂危矣唯夫有聖知者乃能免斯咎也三雖至盛五不可舎能辯斯数專心承五常匪其旁則无咎矣旁謂三也
象曰匪其彭无咎明辯晢也	明猶才也
六五厥孚交如威如吉	居尊以柔處大以中无私於物上下應之信以發志故其孚交如也夫不私於物物亦公焉不疑於物物亦誠焉旣公且信何難何備不言而教行何爲而不威如爲大有之主而不以此道吉可得乎
象曰厥孚交如信以發志也威如之吉易而无備也上九自天祐之吉无不利	大有豐富之丗也處大有之上而不累於位志尚乎賢者也餘爻皆乗剛而已獨乗柔順也五爲信德而巳履焉履信之謂也雖不能體柔而以剛乗柔思順之義也居豐有之丗而不以物累其心髙尚其志尚賢者也爻有三德盡夫助道故繫辭具焉
象	_
曰	_
大	_
有	_
上	_
吉	_
自	_
天	_
祐	_
也	_
