䷏	坤下震上
豫利建侯行師彖曰豫剛應而志行順以動豫豫順以動故天地如之而況建侯行師乎天地以順動故日月不過而四時不忒聖人以順動則刑罰清而民服豫之時義大矣哉象曰雷出地奮豫先王以作樂崇德殷薦之上帝以配祖考初六鳴豫凶	處豫之初而特得志於上樂過則淫志窮則凶豫何可鳴
象曰初六鳴豫志窮凶也六二介于石不終日貞吉	處豫之時得位履中安夫貞正不求苟豫者也順不苟從豫不違中是以上交不諂下交不瀆明禍福之所生故不苟說辯必然之理故不改其操介如石焉不終日明矣
象曰不終日貞吉以中正也六三盱豫悔遟有悔	居下體之極處兩卦之際履非其位承動豫之主若其睢盱而豫悔亦主焉遟而不從豫之所疾位非所據而以從豫進退離悔冝其然矣
象曰盱豫有悔位不當也九四由豫大有得勿疑朋盍簪	處豫之時居動之始獨體陽爻衆隂所從莫不由之以得其豫故曰由豫大有得也夫不信於物物亦疑焉故勿疑則朋合疾也盍合也簪疾也
象曰由豫大有得志大行也六五貞疾恒不死	四以剛動爲豫之主專權執制非己所乗故不敢與四爭權而又居中處尊未可得亡是以必常至于貞疾恒不死而巳
象曰六五貞疾乗剛也恒不死中未亡也上六冥豫成有渝无咎	處動豫之極極豫盡樂故至于㝠豫成也過豫不巳何可長乎故必渝變然後无咎
象	_
曰	_
冥	_
豫	_
在	_
上	_
何	_
可	_
長	_
也	_
