䷑	巽下艮上
蠱元亨利渉大川先甲三日後甲三日彖曰蠱剛上而柔下	上剛可以斷制下柔可以施令
巽而止蠱	旣巽又止不競爭也有事而无競爭之患故可以有爲也
蠱元亨而天下治也	有爲而大亨非天下治而何也
利渉大川往有事也先甲三日後甲三日終則有始天行也	蠱者有事而待能之時也可以有爲其在此時矣物巳說隨則待夫作制以定其事也進德脩業往則亨矣故元亨利渉大川也甲者創制之令也創制不可責之以舊故先之三日後之三日使令洽而後乃誅也因事申令終則復始若天之行用四時也
象曰山下有風蠱君子以振民育德	蠱者有事而待能之時也故君子以濟民養德也
初六幹父之蠱有子考无咎厲終吉	處事之首始見任者也以柔巽之質幹父之事能承先軌堪其任者也故曰有子也任爲事首能堪其事考乃无咎也故曰有子考无咎也當事之首是以危也能堪其事故終吉也
象曰幹父之蠱意承考也	幹事之首時有損益不可盡承故意承而巳
九二幹母之蠱不可貞	居於内中冝幹母事故曰幹母之蠱也婦人之性難可全正冝屈巳剛旣幹且順故曰不可貞也幹不失中得中道也
象曰幹母之蠱得中道也九三幹父之蠱小有悔无大咎	以剛幹事而无其應故有悔也履得其位以正幹父雖小有悔終无大咎
象曰幹父之蠱終无咎也六四𥙿父之蠱往見吝	體柔當位幹不以剛而以柔和能𥙿先事者也然无其應往必不合故曰往見吝
象曰裕父之蠱往未得也六五幹父之蠱用譽	以柔處尊用中而應承先以斯用譽之道也
象曰幹父用譽承以德也	以柔處中不任威力也
上九不事王侯髙尚其事	最處事上而不累於位不事王侯髙尚其事也
象	_
曰	_
不	_
事	_
王	_
侯	_
志	_
可	_
則	_
也	_
