䷓	坤下巽上
觀盥而不薦有孚顒若	王道之可觀者莫盛乎宗廟宗廟之可觀者莫盛於盥也至薦簡略不足復觀故觀盥而不觀薦也孔子曰禘自旣灌而往者吾不欲觀之矣盡夫觀盛則下觀而化矣故觀至盥則有孚顒若也
彖曰大觀在上	下賤而上貴也
順而巽中正以觀天下觀盥而不薦有孚顒若下觀而化也觀天之神道而四時不忒聖人以神道設敎而天下服矣	統說觀之爲道不以刑制使物而以觀感化物者也神則无形者也不見天之使四時而四時不忒不見聖人使百姓而百姓自服也
象曰風行地上觀先王以省方觀民設敎初六童觀小人无咎君子吝	處於觀時而最逺朝美體於隂柔不能自進无所鑒見故曰童觀趣順而巳无所能爲小人之道也故曰小人无咎君子處大觀之時而爲童觀不亦鄙乎
象曰初六童觀小人道也六二闚觀利女貞	處在於内寡所鑒見體於柔弱從順而巳猶有應焉不爲全蒙所見者狹故曰闚觀居内得位柔順寡見故曰利女貞婦人之道也處大觀之時居中得位不能大觀廣鑒闚觀而已誠可醜也
象曰闚觀女貞亦可醜也六三觀我生進退	居下體之極處二卦之際近不比尊逺不童觀觀風者也居此時也可以觀我生進退也
象曰觀我生進退未失道也	處進退之時以觀進退之幾未失道也
六四觀國之光利用賔于王	居觀之時最近至尊觀國之光者也居近得位明習國儀者也故曰利用賔于王也
象曰觀國之光尚賔也九五觀我生君子无咎	居於尊位爲觀之主宣弘大化光于四表觀之極者也上之化下猶風之靡草故觀民之俗以察已道百姓有罪在予一人君子風著已乃无咎上爲化主將欲自觀乃觀民也
象曰觀我生觀民也上九觀其生君子无咎	觀我生自觀其道者也觀其生爲民所觀者也不在於位最處上極高尚其志爲天下所觀者也處天下所觀之地可不愼乎故君子德見乃得无咎生猶動出也
象曰觀其生志未平也	特處異地爲衆所觀不爲平易和光流通志未平也
