䷜	坎上坎下
習坎	坎險陷之名也習謂便習之
有孚維心亨	剛正在内有孚者也陽不外發而在乎内心亨者也
行有尚	内亨外闇内剛外順以此行險行有尚也
彖曰習坎重險也	坎以險爲用故特名曰重險言習坎者習乎重險也
水流而不盈行險而不失其信	險陗之極故水流而不能盈也處至險而不失剛中行險而不失其信者習險之謂也
維心亨乃以剛中也行有尚往有功也	便習於坎而之坎地盡坎之冝故往必有功也
天險不可升也	不可得升故得保其威尊
地險山川丘陵也	有山川丘陵故物得以保全也
王公設險以守其國	國之爲衞恃於險也言自天地以下莫不須險也
險之時用大矣哉	非用之常用有時也
象曰水洊至習坎	重險縣絶故水洊至也不以坎爲隔絶相仍而至習乎坎也
君子以常德行習敎事	至險未夷敎不可廢故以常德行而習敎事也習於坎然後乃能不以險難爲困而德行不失常也故則夫習坎以常德行而習敎事也
初六習坎入于坎窞凶	習坎者習爲險難之事也最處坎底入坎窞者也處重險而復入坎底其道凶也行險而不能自濟習坎而入坎窞失道而窮在坎底上无應援可以自濟是以凶也
象曰習坎入坎失道凶也九二坎有險求小得	履失其位故曰坎上无應援故曰有險坎而有險未能出險之中也處中而與初三相得故可以求小得也初三未足以爲授故曰小得也
象曰求小得未出中也六三來之坎坎險且枕入于坎窞勿用	旣履非其位而又處兩坎之間出則之坎居則亦坎故曰來之坎坎也枕者枝而不安之謂也出則无之處則无安故曰險且枕也來之皆坎无所用之徒勞而巳
象曰來之坎坎終无功也六四樽酒簋貳用缶納約自牖終无咎	處重險而履正以柔居柔履得其位以承於五五亦得位剛柔各得其所不相犯位皆无餘應以相承比明信顯著不存外飾處坎以斯雖復一樽之酒二簋之食瓦缶之器納此至約自進於牖乃可羞之於王公薦之於宗廟故終无咎也
象曰樽酒簋貳剛柔際也	剛柔相比而相親焉際之謂也
九五坎不盈祇旣平无咎	爲坎之主而无應輔可以自佐未能盈坎者也坎之不盈則險不盡矣祇辭也爲坎之主盡平乃无咎故曰祇旣平无咎也說旣平乃无咎明九五未免於咎也
象曰坎不盈中未大也上六係用徽纆寘于叢棘三歳不得凶	險陗之極不可升也嚴法峻整難可犯也冝其囚執寘于思過之地三歳險道之夷也險終乃反故三歳不得自脩三歳乃可以求復故曰三歳不得凶也
象	_
曰	_
上	_
六	_
失	_
道	_
凶	_
三	_
歲	_
也	_
