䷞	艮下兊上
咸亨利貞取女吉彖曰咸感也柔上而剛下二氣感應以相與	是以亨也
止而說	故利貞也
男下女	取女吉也
是以亨利貞取女吉也天地感而萬物化生	二氣相與乃化生也
聖人感人心而天下和平觀其所感而天地萬物之情可見矣	天地萬物之情見於所感也凡感之爲道不能感非類者也故引取女以明同類之義也同類而不相感應以其各亢所處也故女雖應男之物必下之而後取女乃吉也
象曰山上有澤咸君子以虚受人	以虚受人物乃感應
初六咸其拇	處咸之初爲感之始所感在末故有志而巳如其本實未至傷靜
象曰咸其拇志在外也	四屬外卦
六二咸其腓凶居吉	咸道轉進離拇升腓腓體動躁者也感物以躁凶之道也由躁故凶居則吉矣處不乗剛故可以居而獲吉
象曰雖凶居吉順不害也	隂而爲居順之道也不躁而居順不害也
九三咸其股執其隨往吝	股之爲物隨足者也進不能制動退不能靜處所感在股志在隨人者也志在隨人所執亦以賤矣用斯以往吝其宜也
象曰咸其股亦不處也志在隨人所執下也九四貞吉悔亡憧憧往來朋從爾思	處上卦之初應下卦之始居體之中在股之上二體始相交感以通其志心神始感者也凡物始感而不以之於正則至於害故必貞然後乃吉吉然後乃得亡其悔也始在於感未盡感極不能至於无思以得其黨故有憧憧往來然後朋從其思也
象曰貞吉悔亡未感害也	未感於害故可正之得悔亡也
憧憧往來未光大也九五咸其脢无悔	脢者心之上口之下進不能大感退亦不爲无志其志淺末故无悔而巳
象曰咸其脢志末也上六咸其輔頰舌	咸道轉末故在口舌言語而巳
象曰咸其輔頰舌滕口說也	輔頰舌者所以爲語之具也咸其輔頰舌則滕口說也憧憧往來猶未光大況在滕口薄可知也
