䷡	乾下震上
大壯利貞彖曰大壯大者壯也	大者謂陽爻小道將滅大者獲正故利貞也
剛以動故壯大壯利貞大者正也正大而天地之情可見矣	天地之情正大而巳矣弘正極大則天地之情可見矣
象曰雷在天上大壯	剛以動也
君子以非禮弗履	壯而違禮則凶凶則失壯也故君子以大壯而順禮也
初九壯于趾征凶有孚	夫得大壯者必能自終成也未有陵犯於物而得終其壯者在下而壯故曰壯于趾也居下而用剛壯以斯而進窮凶可必也故曰征凶有孚
象曰壯于趾其孚窮也	言其信窮
九二貞吉	居得中位以陽居隂履謙不亢是以貞吉
象曰九二貞吉以中也九三小人用壯君子用罔貞厲羝羊觸藩羸其角	處健之極以陽處陽用其壯者也故小人用之以爲壯君子用之以爲羅已者也貞厲以壯雖復羝羊以之觸藩能无羸乎
象曰小人用壯君子罔也九四貞吉悔亡藩決不羸壯于大輿之輹	下剛而進將有憂虞而以陽處隂行不違謙不失其壯故得貞吉而悔亡也己得其壯而上隂不罔己路故藩決不羸也壯于大輿之輹无有能說其輹者可以往也
象曰藩決不羸尚往也六五喪羊于易无悔	居於大壯以陽處陽猶不免咎而況以隂處陽以柔乗剛者乎羊壯也必喪其羊失其所居也能喪壯于易不于險難故得无悔二履貞吉能幹其任而巳委焉則得无悔委之則難不至居之則敵宼來故曰喪羊于易
象曰喪羊于易位不當也上六羝羊觸藩不能退不能遂无攸利艱則吉	有應於三故不能退懼於剛長故不能遂持疑猶豫志无所定以斯決事未見所利雖處剛長剛不害正苟定其分固志在一以斯自處則憂患消亡故曰艱則吉也
象	_
曰	_
不	_
能	_
退	_
不	_
能	_
遂	_
不	_
詳	_
也	_
艱	_
則	_
吉	_
咎	_
不	_
長	_
也	_
