䷦	艮下坎上
蹇利西南不利東北	西南地也東北山也以難之平則難解以難之山則道窮
利見大人	往則濟也
貞吉	爻皆當位各履其正居難履正正邦之道也正道未否難由正濟故貞吉也遇難失正吉可得乎
彖曰蹇難也險在前也見險而能止知矣哉蹇利西南往得中也不利東北其道窮也利見大人往有功也當位貞吉以正邦也蹇之時用大矣哉	蹇難之時非小人之所能用也
象曰山上有水蹇	山上有水蹇難之象
君子以反身脩德	險難莫若反身脩德
初六往蹇來譽	處難之始居止之初獨見前識覩險而止以待其時知矣哉故往則遇蹇來則得譽
象曰往蹇來譽冝待也六二王臣蹇蹇匪躬之故	處難之時履當其位居不失中以應於五不以五在難中私身逺害執心不回志匡王室者也故曰王臣蹇蹇匪躬之故履中行義以存其上處蹇以此未見其尢也
象曰王臣蹇蹇終无尤也九三往蹇來反	進則入險來則得位故曰往蹇來反爲下卦之主是内之所恃也
象曰往蹇來反内喜之也六四往蹇來連	往則无應來則乗剛往來皆難故曰往蹇來連得位履正當其本實雖遇於難非妄所招也
象曰往蹇來連當位實也九五大蹇朋來	處難之時獨在險中難之大者也故曰大蹇然居不失正履不失中執德之長不改其節如此則同志者集而至矣故曰朋來也
象曰大蹇朋來以中節也上六往蹇來碩吉利見大人	往則長難來則難終難終則衆難皆濟志大得矣故曰往蹇來碩吉險夷難解大道可興故曰利見大人也
象曰往蹇來碩志在内也	有應在内往則失之來則志獲志在内也
利	_
見	_
大	_
人	_
以	_
從	_
貴	_
也	_
