䷨	兊下艮上
損有孚元吉无咎可貞利有攸往曷之用二簋可用享彖曰損損下益上其道上行	艮爲陽兊爲隂凡隂順於陽者也陽止於上隂說而順損下益上上行之義也
損而有孚元吉无咎可貞利有攸往	損之爲道損下益上損剛益柔也損下益上非補不足也損剛益柔非長君子之道也爲損而可以獲吉其唯有孚乎損而有孚則元吉无咎而可正利有攸往矣損剛益柔不以消剛損下益上不以盈上損剛而不爲邪益上而不爲謟則何咎而可正雖不能拯濟大難以斯有往物无距也
曷之用	曷辭也曷之用言何用豐爲也
二簋可用享	二簋質薄之器也行損以信雖二簋而可用享
二簋應有時	至約之道不可常也
損剛益柔有時	下不敢剛貴於上行損剛益柔之謂也剛爲德長損之不可以爲常也
損益盈虚與時偕行	自然之質各定其分短者不爲不足長者不爲有餘損益將何加焉非道之常故必與時偕行也
象曰山下有澤損	山下有澤損之象也
君子以懲忿窒欲	可損之善莫善忿欲也
初九巳事遄往无咎酌損之	損之爲道損下益上損剛益柔以應其時者也居於下極損剛奉柔則不可以逸處損之始則不可以盈事巳則往不敢宴安乃獲无咎也剛以奉柔雖免乎咎猶未親也故旣獲无咎復自酌損乃得合志也遄速也
象曰巳事遄往尚合志也	尚合於志故速往也
九二利貞征凶弗損益之	柔不可全益剛不可全削下不可以无正初九巳損剛以順柔九二履中而復損己以益柔則剥道成焉故不可遄往而利貞也進之乎柔則凶矣故曰征凶也故九二不損而務益以中爲志也
象曰九二利貞中以爲志也六三三人行則損一人一人行則得其友	損之爲道損下益上其道上行三人謂自六三巳上三隂也三隂並行以承於上則上失其友内无其主名之曰益其實乃損故天地相應乃得化淳男女匹配乃得化生隂陽不對生可得乎故六三獨行乃得其友三隂俱行則必疑也
象曰一人行三則疑也六四損其疾使遄有喜无咎	履得其位以柔納剛能損其疾也疾何可乆故速乃有喜損疾以離其咎有喜乃免故使速乃有喜有喜乃无咎也
象曰損其疾亦可喜也六五或益之十朋之龜弗克違元吉	以柔居尊而爲損道江海處下百谷歸之履尊以損則或益之矣朋黨也龜者決疑之物也隂非先唱柔非自任尊以自居損以守之故人用其力事竭其功知者慮能明者慮策弗能違也則衆才之用盡矣獲益而得十朋之龜足以盡天人之助也
象曰六五元吉自上祐也上九弗損益之无咎貞吉利有攸往得臣无家	處損之終上无所奉損終反益剛德不損乃反益之而不憂於咎用正而吉不制於柔剛德遂長故曰弗損益之无咎貞吉利有攸往也居上乗柔處損之極尚夫剛德爲物所歸故曰得臣得臣則天下爲一故无家也
象	_
曰	_
弗	_
損	_
益	_
之	_
大	_
得	_
志	_
也	_
