䷮	坎下兊上
困亨	窮必通也處窮而不能自通者小人也
貞大人吉无咎	處困而得无咎吉乃免也
有言不信彖曰困剛揜也	剛見揜於柔也
險以說困而不失其所亨	處險而不改其說困而不失其所亨也
其唯君子乎貞大人吉以剛中也	處困而用剛不失其中履正而能體大者也能正而不能大博未能濟困者也故曰貞大人吉也
有言不信尚口乃窮也	處困而言不見信之時也非行言之時而欲用言以免必窮者也其吉在於貞大人口何爲乎
象曰澤无水困君子以致命遂志	澤无水則水在澤下水在澤下困之象也處困而屈其志者小人也君子固窮道可忘乎
初六臀困于株木入于幽谷三歳不覿	最處底下沈滯卑困居无所安故曰臀困于株木也欲之其應二隔其路居則困于株木進不獲拯必隱遯者也故曰入于幽谷也困之爲道不過數歳者也以困而藏困解乃出故曰三歳不覿也
象曰入于幽谷幽不明也	言幽者不明之辭也入于不明以自藏也
九二困于酒食朱紱方來利用享祀征凶无咎	以陽居隂尚謙者也居困之時處得其中體夫剛質而用中履謙應不在一心无所私盛莫先焉夫謙以待物物之所歸剛以處險難之所濟履中則不失其宜无應則心无私恃以斯處困物莫不至不勝豐衍故曰困于酒食美之至矣坎北方之卦也朱紱南方之物也處困以斯能招異方者也故曰朱紱方來也豐衍盈盛故利用享祀盈而又進傾之道也以此而往凶誰咎乎故曰征凶无咎
象曰困于酒食中有慶也六三困于石據于蒺蔾入于其宫不見其妻凶	石之爲物堅而不納者也謂四也三以隂居陽志武者也四自納初不受巳者二非所據剛非所乗上比困石下據蒺蔾无應而入焉得配耦在困處斯凶其宜也
象曰據于蒺蔾乗剛也入于其宫不見其妻不祥也九四來徐徐困于金車吝有終	金車謂二也二剛以載者也故謂之金車徐徐者疑懼之辭也志在於初而隔於二履不當位威命不行棄之則不能欲往則畏二故曰來徐徐困于金車也有應而不能濟之故曰吝也然以陽居隂履謙之道量力而處不與二爭雖不當位物終與之故曰有終也
象曰來徐徐志在下也	下謂初也
雖不當位有與也九五劓刖困于赤紱乃徐有說利用祭祀	以陽居陽任其壯者也不能以謙致物物則不附忿物不附而用其壯猛行其威刑異方愈乖遐邇愈叛刑之欲以得乃益所以失也故曰劓刖困于赤紱也二以謙得之五以剛失之體在中直能不遂迷困而後能用其道者也致物之功不在於暴故曰徐也困而後乃徐徐則有說矣故曰困于赤紱乃徐有說也祭祀所以受福也履夫尊位困而能改不遂其迷以斯祭祀必得福焉故曰利用祭祀也
象曰劓刖志未得也乃徐有說以中直也利用祭祀受福也上六困于葛藟于臲卼曰動悔有悔征吉	居困之極而乗於剛下无其應行則愈繞者也行則纏繞居不獲安故曰困于葛藟于臲卼也下句无困困於上也處困之極行无通路居无所安困之至也凡物窮則思變困則謀通處至困之地用謀之時也曰者思謀之辭也謀之所行有隙則獲言將何以通至困乎曰動悔令生有悔以征則濟矣故曰動悔有悔征吉也
象曰困于葛藟未當也	所處未當故致此困也
動	_
悔	_
有	_
悔	_
吉	_
行	_
也	_
