䷰	離下兊上
革巳日乃孚元亨利貞悔亡	夫民可與習常難與適變可與樂成難與慮始故革之爲道即日不孚巳日乃孚也孚然後乃得元亨利貞悔亡也巳日而不孚革不當也悔吝之所生生乎變動者也革而當其悔乃亡也
彖曰革水火相息二女同居其志不相得曰革	凡不合而後乃變生變之所生生於不合者也故取不合之象以爲革也息者生變之謂也火欲上而澤欲下水火相戰而後生變者也二女同居而有水火之性近而不相得也
巳日乃孚革而信之文明以說大亨以正革而當其悔乃亡	夫所以得革而信者文明以說也文明以說履正而行以斯爲革應天順民大亨以正者也革而大亨以正非當如何
天地革而四時成湯武革命順乎天而應乎人革之時大矣哉象曰澤中有火革君子以治歷明時	歷數時㑹存乎變也
初九鞏用黃牛之革	在革之始革道未成固夫常中未能應變者也此可以守成不可以有爲也鞏固也黃中也牛之革堅仞不可變也固之所用常中堅仞不肯變也
象曰鞏用黃牛不可以有爲也六二巳日乃革之征吉无咎	隂之爲物不能先唱順從者也不能自革革巳乃能從之故曰巳日乃革之也二與五雖有水火殊體之異同處厥中隂陽相應往必合志不憂咎也是以征吉而无咎
象曰巳日革之行有嘉也九三征凶貞厲革言三就有孚	已處火極上卦三爻雖體水性皆從革者也自四至上從命而變不敢有違故曰革言三就其言實誠故曰有孚革言三就有孚而猶征之凶其冝也
象曰革言三就又何之矣九四悔亡有孚改命吉	初九處下卦之下九四處上卦之下故能變也无應悔也與水火相比能變者也是以悔亡處水火之際居㑹變之始能不固吝不疑於下信志改命不失時願是以吉也有孚則見信矣見信以改命則物安而无違故曰悔亡有孚改命吉也處上體之下始宜命也
象曰改命之吉信志也	信志而行
九五大人虎變未占有孚	未占而孚合時心也
象曰大人虎變其文炳也上六君子豹變小人革面	居變之終變道巳成君子處之能成其文小人樂成則變面以順上也
征凶居貞吉	改命創制變道巳成功成則事損事損則无爲故居則得正而吉征則躁擾而凶也
象	_
曰	_
君	_
子	_
豹	_
變	_
其	_
文	_
蔚	_
也	_
小	_
人	_
革	_
面	_
順	_
以	_
從	_
君	_
也	_
