䷲	震下震上
震亨	懼以成則是以亨
震來􁀉􁀉笑言啞啞	震之爲義威至而後乃懼也故曰震來􁀉􁀉恐懼之貌也震者驚駭怠惰以肅懈慢者也故震來􁀉􁀉恐致福也笑言啞啞後有則也
震驚百里不喪匕鬯	威震驚乎百里則足可以不喪匕鬯矣匕所以載鼎實鬯香酒奉宗廟之盛也
彖曰震亨震來􁀉􁀉恐致福也笑言啞啞後有則也震驚百里驚逺而懼邇也	威震驚乎百里則惰者懼於近矣
出可以守宗廟社稷以爲祭主也	明所以堪長子之義也不喪匕鬯則巳出可以守宗廟
象曰洊雷震君子以恐懼脩省初九震來􁀉􁀉後笑言啞啞吉	體夫剛德爲卦之先能以恐懼脩其德也
象曰震來􁀉􁀉恐致福也笑言啞啞後有則也六二震來厲億喪貝躋于九陵勿逐七日得	震之爲義威駭怠懈肅整惰慢者也初幹其任而二乗之震來則危喪其資貨亡其所處矣故曰震來厲億喪貝億辭也貝資貨糧用之屬也犯逆受戮无應而行行无所舎威嚴大行物莫之納无糧而走雖復超越陵險必困于窮匱不過七日故曰勿逐七日得也
象曰震來厲乗剛也六三震蘇蘇震行无眚	不當其位位非所處故懼蘇蘇也而无乗剛之逆故可以懼行而无眚也
象曰震蘇蘇位不當也九四震遂泥	處四隂之中居恐懼之時爲衆隂之主冝勇其身以安於衆若其震也遂困難矣履夫不正不能除恐使物安己德未光也
象曰震遂泥未光也六五震往來厲億无喪有事	往則无應來則乗剛恐而往來不免於危夫處震之時而得尊位斯乃有事之機也而懼往來將喪其事故曰億无喪有事也
象曰震往來厲危行也其事在中大无喪也	大則无喪往來乃危也
上六震索索視矍矍征凶震不于其躬于其鄰无咎㛰媾有言	處震之極極震者也居震之極求中未得故懼而索索視而矍矍无所安親也已處動極而復征焉凶其宜也若恐非己造彼動故懼懼鄰而戒合於備豫故无咎也極懼相疑故雖㛰媾而有言也
象	_
曰	_
震	_
索	_
索	_
中	_
未	_
得	_
也	_
雖	_
凶	_
无	_
咎	_
畏	_
鄰	_
戒	_
也	_
