䷴	艮下巽上
漸女歸吉利貞	漸者漸進之卦也止而巽以斯適進漸進者也以止巽爲進故女歸吉也進而用正故利貞也
彖曰漸之進也	之於進也
女歸吉也進得位往有功也進以正可以正邦也其位剛得中也	以漸進得位也
止而巽動不窮也象曰山上有木漸君子以居賢德善俗	賢德以止巽則居風俗以止巽乃善
初六鴻漸于干小子厲有言无咎	鴻水鳥也適進之義始於下而升者也故以鴻爲喻六爻皆以進而履之爲義焉始進而位乎窮下又无其應若履于干危不可以安也始進而未得其位則困於小子窮於謗言故曰小子厲有言也困於小子讒䛕之言未傷君子之義故曰无咎也
象曰小子之厲義无咎也六二鴻漸于磐飲食衎衎吉	磐山石之安者也進而得位居中而應本无禄養進而得之其爲歡樂願莫先焉
象曰飲食衎衎不素飽也九三鴻漸于陸夫征不復婦孕不育凶利禦宼	陸髙之頂也進而之陸與四相得不能復反者也夫征不復樂於邪配則婦亦不能執貞矣非夫而孕故不育也三本艮體而棄乎羣醜與四相得遂乃不反至使婦孕不育見利忘義貪進忘舊凶之道也異體合好順而相保物莫能間故利禦宼也
象曰夫征不復離羣醜也婦孕不育失其道也利用禦宼順相保也六四鴻漸于木或得其桷无咎	鳥而之木得其宜也或得其桷遇安棲也雖乗于剛志相得也
象曰或得其桷順以巽也九五鴻漸于陵婦三歳不孕終莫之勝吉	陵次陸者也進得中位而隔乎三四不得與其應合故婦三歳不孕也各履正而居中三四不能乆塞其塗者也不過三歳必得所願矣進以正邦三年有成成則道濟故不過三歳也
象曰終莫之勝吉得所願也上九鴻漸于陸其羽可用爲儀吉	進處髙絜不累於位无物可以屈其心而亂其志峨峨清逺儀可貴也故曰其羽可用爲儀吉
象	_
曰	_
其	_
羽	_
可	_
用	_
爲	_
儀	_
吉	_
不	_
可	_
亂	_
也	_
