䷵	兊下震上
歸妹征凶无攸利	妹者少女之稱也兊爲少隂震爲長陽少隂而承長陽說以動嫁妹之象也
彖曰歸妹天地之大義也天地不交而萬物不興歸妹人之終始也	隂陽旣合長少又交天地之大義人倫之終始
說以動所歸妹也	少女而與長男交少女所不樂也而今說以動所歸必妹也雖與長男交嫁而係姊是以說也
征凶位不當也	履於不正說動以進妖邪之道也
无攸利柔乗剛也	以征則有不正之凶以處則有乗剛之逆
象曰澤上有雷歸妹君子以永終知敝	歸妹相終始之道也故以永終知敝
初九歸妹以娣跛能履征吉	少女而與長男爲耦非敵之謂是娣從之義也妹少女之稱也少女之行善莫若娣夫承嗣以君之子雖㓜而不妄行少女以娣雖跛能履斯乃恒乆之義吉而相承之道也以斯而進吉其冝也
象曰歸妹以娣以恒也跛能履吉相承也九二眇能視利幽人之貞	雖失其位而居内處中眇猶能視足以保常也在内履中而能守其常故利幽人之貞也
象曰利幽人之貞未變常也六三歸妹以須反歸以娣	室主猶存而求進焉進未值時故有須也不可以進故反歸待時以娣乃行
象曰歸妹以須未當也九四歸妹愆期遟歸有時	夫以不正无應而適人也必須彼道窮盡无所與交然後乃可以往故愆期遟歸以待時也
象曰愆期之志有待而行也六五帝乙歸妹其君之袂不如其娣之袂良月幾望吉	歸妹之中獨處貴位故謂之帝乙歸妹也袂衣袖所以爲禮容者也其君之袂謂帝乙所寵也即五也爲帝乙所崇飾故謂之其君之袂也配在九二兊少震長以長從少不若以少從長之爲美也故曰不若其娣之袂良也位在乎中以貴而行極隂之盛以斯適配雖不若少往亦必合故曰月幾望吉也
象曰帝乙歸妹不如其娣之袂良也其位在中以貴行也上六女承筐无實士刲羊无血无攸利	羊謂三也處卦之窮仰无所承下又无應爲女而承命則筐虚而莫之與爲士而下命則刲羊而无血刲羊而无血不應所命也進退莫與故曰无攸利也
象	_
曰	_
上	_
六	_
无	_
實	_
承	_
虚	_
筐	_
也	_
