䷶	離下震上
豐亨王假之	大而亨者王之所至
勿憂冝日中	豐之爲義闡弘微細通夫隱滯者也爲天下之主而令微隱者不亨憂未巳也故至豐亨乃得勿憂也用夫豐亨不憂之德冝處天中以徧照者也故曰冝日中也
彖曰豐大也	音闡大之大也
明以動故豐王假之尚大也	大者王之所尚故至之也
勿憂宜日中冝照天下也	以勿憂之德故宜照天下也
日中則􁀈月盈則食天地盈虚與時消息而況於人乎況於鬼神乎	豐之爲用困於􁀈食者也施於未足則尚豐施於巳盈則方溢不可以爲常故具陳消息之道者也
象曰雷電皆至豐君子以折獄致刑	文明以動不失情理也
初九遇其配主雖旬无咎往有尚	處豐之𥘉其配在四以陽適陽以明之動能相光大者也旬均也雖均无咎往有尚也初四俱陽爻故曰均也
象曰雖旬无咎過旬災也	過均則爭交斯叛也
六二豐其蔀日中見斗往得疑疾有孚發若吉	蔀覆曖鄣光明之物也處明動之時不能自豐以光大之德旣處乎内而又以隂居隂所豐在蔀幽而无覩者也故曰豐其蔀日中見斗也日中者明之盛也斗見者闇之極也處盛明而豐其蔀故曰日中見斗不能自發故往得疑疾然履中當位處闇不邪有孚者也若辭也有孚可以發其志不困於闇故獲吉也
象曰有孚發若信以發志也九三豐其沛日中見沬折其右肱无咎	沛幡幔所以禦盛光也沬微昧之明也應在上六志在乎隂雖愈乎以隂處隂亦未足以免於闇也所豐在沛日中見沬之謂也施明則見沬而巳施用則折其右肱故可以自守而巳未足用也
象曰豐其沛不可大事也	明不足也
折其右肱終不可用也	雖有左在不足用也
九四豐其蔀日中見斗遇其夷主吉	以陽居隂豐其蔀也得初以發夷主吉也
象曰豐其蔀位不當也日中見斗幽不明也遇其夷主吉行也六五來章有慶譽吉	以隂之質來適尊陽之位能自光大章顯其德獲慶譽也
象曰六五之吉有慶也上六豐其屋蔀其家闚其戸閴其无人三歳不覿凶	屋藏䕃之物以隂處極而最在外不履於位深自幽隱絶跡深藏者也旣豐其屋又蔀其家屋厚家覆闇之甚也雖闚其户閴其无人弃其所處而自深藏也處於明動尚大之時而深自幽隱以髙其行大道旣濟而猶不見隱不爲賢更爲反道凶其冝也三年豐道之成治道未濟隱猶可也旣濟而隱以治爲亂也
象曰豐其屋天際翔也	翳光最甚者也
闚其户閴其无人自藏也	可以出而不出自藏之謂也非有爲而藏不出戸庭失時致凶況自藏乎凶其冝也
