䷷	艮下離上
旅小亨旅貞吉	不足全夫貞吉之道唯足以爲旅之貞吉故特重曰旅貞吉也
彖曰旅小亨柔得中乎外而順乎剛止而麗乎明是以小亨旅貞吉也	夫物失其生則散柔乗於剛則乖旣乖且散物皆覉旅何由得小亨而貞吉乎夫陽爲物長而隂皆順陽唯六五乗剛而復得中乎外以承于上隂各順陽不爲乖逆止而麗明動不履妄雖不及剛得尊位恢弘大通足以小亨令附旅者不失其正得其所安也
旅之時義大矣哉	旅者大散物皆失其所居之時也咸失其居物願所附豈非知者有爲之時
象曰山上有火旅君子以明愼用刑而不留獄	止以明之刑戮詳也
初六旅瑣瑣斯其所取災	最處下極寄旅不得所安而爲斯賤之役所取致災志窮且困
象曰旅瑣瑣志窮災也六二旅即次懷其資得童僕貞	次者可以安行旅之地也懷來也得位居中體柔奉上以此寄旅必獲次舎懷來資貨得童僕之所正也旅不可以處盛故其美盡於童僕之正也過斯以往則見害矣童僕之正義足而巳
象曰得童僕貞終无尤也九三旅焚其次喪其童僕貞厲	居下體之上與二相得以寄旅之身而爲施下之道與萌侵權主之所疑也故次焚僕喪而身危也
象曰旅焚其次亦以傷矣以旅與下其義喪也九四旅于處得其資斧我心不快	斧所以斫除荆棘以安其舎者也雖處上體之下不先於物然而不得其位不獲平坦之地客乎所處不得其次而得其資斧之地故其心不快也
象曰旅于處未得位也得其資斧心未快也六五射雉一矢亡終以譽命	射雉以一矢而復亡之明雖有雉終不可得矣寄旅而進雖處于文明之中居于貴位此位終不可有也以其能知禍福之萌不安其處以乗其下而上承於上故終以譽而見命也
象曰終以譽命上逮也上九鳥焚其巢旅人先笑後號咷喪牛于易凶	居髙危而以爲宅巢之謂也客而得上位故先笑也以旅而處于上極衆之所嫉也以不親之身而當嫉害之地必凶之道也故曰後號咷牛者稼穡之資以旅處上衆所同嫉故喪牛於易不在於難物莫之與危而不扶喪牛于易故莫之聞莫之聞則傷之者至矣
象	_
曰	_
以	_
旅	_
在	_
上	_
其	_
義	_
焚	_
也	_
喪	_
牛	_
于	_
易	_
終	_
莫	_
之	_
聞	_
也	_
