䷻	兊下坎上
節亨苦節不可貞彖曰節亨剛柔分而剛得中	坎陽而兊隂也陽上而隂下剛柔分也剛柔分而不亂剛得中而爲制主節之義也節之大者莫若剛柔分男女别也
苦節不可貞其道窮也	爲節過苦則物不能堪也物不能堪則不可復正也
說以行險當位以節中正以通	然後乃亨也无說而行險過中而爲節則道窮也
天地節而四時成節以制度不傷財不害民象曰澤上有水節君子以制數度議德行𥘉九不出戸庭无咎	爲節之初將整離散而立制度者也故明於通塞慮於險僞不出戸庭愼密不失然後事濟而无咎也
象曰不出戸庭知通塞也九二不出門庭凶	初已造之至二宜宣其制矣而故匿之失時之極則遂廢矣故不出門庭則凶也
象曰不出門庭凶失時極也六三不節若則嗟若无咎	若辭也以隂處陽以柔乗剛違節之道以至哀嗟自巳所致无所怨咎故曰无咎也
象曰不節之嗟又誰咎也六四安節亨	得位而順不改其節而能亨者也承上以斯得其道也
象曰安節之亨承上道也九五甘節吉往有尚	當位居中爲節之主不失其中不傷財不害民之謂也爲節而不苦非甘而何術斯以往往有尚也
象曰甘節之吉居位中也上六苦節貞凶悔亡	過節之中以至亢極苦節者也以斯施正物所不堪正之凶也以斯脩身行在无妄故得梅亡
象	_
曰	_
苦	_
節	_
貞	_
凶	_
其	_
道	_
窮	_
也	_
