䷾	離下坎上
旣濟亨小利貞初吉終亂彖曰旣濟亨小者亨也	旣濟者以皆濟爲義者也小者不遺乃爲皆濟故舉小者以明旣濟也
利貞剛柔正而位當也	剛柔正而位當則邪不可以行矣故唯正乃利貞也
初吉柔得中也終止則亂其道窮也	柔得中則小者亨也柔不得中則小者未亨小者未亨雖剛得正則爲未旣濟也故旣濟之要在柔得中也以旣濟爲家者道極无進終唯有亂故曰初吉終亂終亂不爲自亂由止故亂故曰終止則亂也
象曰水在火上旣濟君子以思患而豫防之	存不忘亡旣濟不忘未濟也
初九曵其輪濡其尾无咎	最處旣濟之初始濟者也始濟未涉於燥故輪曵而尾濡也雖未造易心无顧戀志弃難者也其於義也无所咎矣
象曰曵其輪義无咎也六二婦喪其茀勿逐七日得	居中履正處文明之盛而應乎五隂之光盛者也然居初三之閒而近不相得上不承三下不比初夫以光盛之隂處於二陽之閒近而不相得能无見侵乎故曰喪其茀也稱婦者以明自有夫而它人侵之也茀首飾也夫以中道執乎貞正而見侵者衆之所助也處旣濟之時不容邪道者也時旣明峻衆又助之竊之者逃竄而莫之歸矣量斯勢也不過七日不須已逐而自得也
象曰七日得以中道也九三髙宗伐鬼方三年克之小人勿用	處旣濟之時居文明之終履得其位是居衰而未能濟者也故伐鬼方三年乃克也君子處之故能興也小人居之遂喪邦也
象曰三年克之憊也六四繻有衣袽終日戒	繻宜曰濡衣袽所以塞舟漏也履得其正而近不與三五相得夫有隙之棄舟而得濟者有衣袽也鄰於不親而得全者終日戒也
象曰終日戒有所疑也九五東鄰殺牛不如西鄰之禴祭實受其福	牛祭之盛者也禴祭之薄者也居旣濟之時而處尊位物皆濟矣將何爲焉其所務者祭祀而巳祭祀之盛莫盛脩德故沼沚之毛蘋繫之菜可羞於鬼神故黍稷非馨明德惟馨是以東鄰殺牛不如西鄰之禴祭實受其福也
象曰東鄰殺牛不如西鄰之時也	在於合時不在於豐也
實受其福吉大來也上六濡其首厲	處旣濟之極旣濟道窮則之於未濟之於未濟則首先犯焉過進不巳則遇於難故濡其首也將没不乆危莫先焉
象	_
曰	_
濡	_
其	_
首	_
厲	_
何	_
可	_
乆	_
也	_
