莊子內篇齊物論第二	夫自是而非彼美巳而惡人物莫不皆然然故是非雖異而彼我均也○論力頓反李如字惡烏路反
南郭子綦隱几而坐仰天而嘘嗒焉似䘮其耦	同天人均彼我故外無與爲歡而嗒焉解體若失其配匹○南郭子綦音其司馬云居南郭困爲號隱於靳反馮也机音紀李本作几嘘音虚吐氣爲嘘向云息也荅本又作嗒同吐荅反又都納反注同解體貌䘮息浪反下同耦本又作偶五口反匹也對也司馬云耦身也身與神爲耦
顔成子游立侍乎前曰何居乎形固可使如槁木而心固可使如死⬤乎	死⬤槁木取其寂寞無情耳夫任自然而忘是非者其體中獨任天眞而巳又何所有哉故止若立枯木動若運槁枝坐若死⬤行若游塵動止之容吾所不能一也其於無心而自得吾所不能一也○顔成子游李云子綦弟子也姓顔名偃謚成字子游何居如字又音⬤司馬云猶故也槁枯老反注同家音寂本亦作寂寞本亦作漠
今之隱几者非昔之隱几者也	子游常見隱几者而未見若子綦也
子綦曰偃不亦善乎而問之也今者吾䘮我汝知之乎	吾䘮我我自忘矣我自忘矣天下有何物足識哉故都忘外內然後超然倶得
女聞人⬤而未聞地⬤女聞地⬤而未聞天⬤夫	籟簫也夫簫管參差宮商異律故音短長高下萬殊之聲聲雖萬殊而所禀之度一也然則優劣無所錯其間矣况之風物異音同是而咸自取焉則天地之⬤見矣○女音汝下皆同本亦作汝⬤力帶反夫音扶參⬤林反差⬤宜反錯七故反見賢遍反
子游曰敢問其方子綦曰夫大塊噫氣其名爲風	大塊者無物也夫噫氣者豈有物哉氣塊然而自噫耳物之生也莫不塊然而自生則塊然之體大矣故遂以大塊爲名○塊苦怪反李苦對反⬤文同云俗由字也徐口回反徐李又胡罪反郭又苦猥反司馬云大朴之貌衆家或作大槐班固同淮南子作大昧解者或以爲無或以爲元氣或以爲混成或以爲天謬也噫乙戒反注同一音䕃
是唯無作作則萬竅怒呺	言風唯無作作則萬竅皆怒動而爲聲也○竅苦弔反呺胡到反徐又許口反又胡到反
而獨不聞之翏翏乎	長風之聲○翏良救反又六収反長風聲也李本作飂音同又力竹反
山林之畏佳	大風之所扇動也○畏於⬤反郭烏罪反崔本作㟪佳醉癸反徐子唯反郭祖罪反李諸⬤反李頥云畏隹山阜貌
大木百圍之竅穴似鼻似口似耳似枅似圈似⬤似洼者似汚者	此畧舉衆竅之所似○竅崔本作竅似鼻似口司馬云言風吹竅穴動作或似人鼻或似人口枅音雞又音肩字作云柱上方求也簡文云欂櫨也似圈起權反郭音權杯圈也徐其阮反言如羊豕之䦨圈也臼其九反似洼烏⬤反李於花反又烏⬤反郭烏蛙反司馬云若洼曲汚音烏司馬云若汚下
