莊子外篇馬蹄第九	音義曰舉事以名篇
馬蹄可以踐霜雪毛可以禦風寒齕草飮水翹足而陸此馬之眞性也	駑⬤名適於身而足○馬釋名云武也王弼註易云在下而行者也蹄音提司馬云馬足甲也禦魚吕反廣雅云敵也崔本作辟齕根發反又胡切反翹祁饒反足崔本作尾陸司馬云陸跳也字書作⬤⬤馬健也駑音奴惡馬也⬤音兾千里善馬也
雖有義臺路寢無所用之	馬之眞性非辭鞌而惡乗但無羡於榮華○義許冝反又如字徐音儀崔本同一本作義臺崔云羲臺猶靈臺也路寢路正也大也崔云路寢正室惡烏路反
及至伯樂曰我善治馬燒之剔之刻之雒之連之以羈馽編之以皁棧馬之死者十二三矣	有意治之則不治矣治之爲善斯不善也○伯樂音洛下同伯樂姓孫名陽善馭馬石氏星經云伯樂天星名主典天馬孫陽善馭故以爲名剔敕整反字林云剃也徐詩赤反向崔本作鬄向音郝雒音洛司馬云燒謂燒鐡以爍之剔謂翦其毛刻謂削其甲雒謂羈雒其頭也羈居宜反廣雅云勒也馽丁邑反徐丁力反絆也李音述本亦作馽非也馽之樹反司馬向崔本並作䋶向云馬氏音竦崔云絆前兩足也編必然反皁才老反櫪也一云槽也崔云馬閑也棧士板反徐在簡反又士諌反編木作似牀日棧以禦温也崔云木棚也治直吏反
飢之渴之馳之驟之整之齊之前有橛飾之患而後有鞭筴之威而馬之死者已過半矣	夫善御者將以盡其能也盡能在於自任而乃走作驅歩求其過能之用故有不堪而多死焉若乃任駑⬤之力適遲疾之分雖則足迹接乎八荒之表而衆馬之性全矣而或者聞任馬之性乃謂放而不乗聞無爲之風遂云行不如臥何其生而不返哉斯失乎莊生之㫖逺矣○驟士救反橛向徐其月反司馬云衘也崔云鑣也飾徐音式司馬云排衘也謂加飾於馬鑣也鞭必然反筴⬤革反杜注左傳云馬檛也檛竹⬤反
陶者曰我善治埴圎者中規方者中矩匠人者我善治木曲者中鉤直者應繩夫埴木之性豈欲中規矩鉤繩哉然且世世稱之曰伯樂善治馬而陶匠善治埴木此亦治天下者之過也	世以任自然而不加巧者爲不善於治也揉曲爲直厲駑習⬤能爲規矩以矯拂其性使死而後巳乃謂之善治也不亦過乎○陶道刀反謂窑也窑音戈消反埴徐時力反崔云土也司馬云埴土可以爲陶器尚書傳云土黏曰埴釋名云埴膱也膱音之食反中丁仲反下皆同⬤應對之應後不音者放此揉汝久反矯居兆反拂房弗反
吾意善治天下者不然	以不治治之乃善治也
彼民有常性織而衣耕而食是謂同德	夫民之德小異而大同故性之不可去者衣食也事之不可廢者耕織也此天下之所同而爲本者也守斯道者無爲之至也○去羗吕反
一而不黨命曰天放	放之而自一耳非黨也故謂之天放○放如字崔本作牧云養也
故至德之世其行塡塡其視顚顚	此自足於內無所求及之貌○塡塡徐音田又徒偃反質重貌崔云重遲也一云詳徐貌淮南作莫莫顚顚丁田反崔云專一也淮南作溟溟
當是時也山無蹊隧澤無舟梁	不求非望之利故止於一家而足○蹊徐音兮李云
