南華眞經卷第五郭象子玄註陸德明音義莊子外篇天地第十二	音義曰以事名篇
天地雖大其化均也	均於不爲而自化也○天地釋名云天顯也高顯在上也又坦也坦然高逺也地底也其體低下載萬物也體統云天地者元氣之所生萬物之祖也易⬤云元氣⬤分清輕上爲天濁重下爲地
萬物雖多其治一也	一以自得爲治○治直吏反註同下官治并註亦同
人卒雖衆其主君也	天下異心無心者主也○卒尊忽反
君原於德而成於天	以德爲原無物不得得者自得故得而不謝所以成天○原原本也
故曰玄古之君天下無爲也天德而已矣	任自然之運動
以道觀言而天下之君正	無爲者自然爲君非邪也○邪似嗟反本又作爲
以道觀分而君臣之義明	各當其分則無爲位上有爲位下也
以道觀能而天下之官治	官各當其所能則治矣
以道汎觀而萬物之應備	無爲也則天下各以其無爲應之
故通於天地者德也	萬物莫不皆得則天地通
行於萬物者道也	道不塞其所由則萬物自得其行矣
上治人者事也	使人人自得其事
能有所藝者技也	技者萬物之末用也○技其綺反註下同
技兼於事事兼於義義兼於德德兼於道道兼於天	夫本末之相兼猶手臂之相包故一身和則百節皆適天道順則本末俱暢
故曰古之畜天下者無欲而天下足無爲而萬物化淵靜而百姓定記曰通於一而萬事畢無心得而⬤神服	一無爲而羣理都舉記書名也云老子所作
夫子曰夫道覆載萬物者也洋洋乎大哉君子不可以不刳心焉	有心則累其自然故當刳而去之○夫子司馬云莊子也一云老子也此兩夫子曰元嘉本皆爲別章崔本亦爾覆芳冨反洋洋音羊又音詳刳口吳反又口侯反崔本作軒云寛恱之貌去起吕反
無爲爲之之謂天	不爲此爲而此爲自爲乃天道
無爲言之之謂德	不爲此言而此言自言乃眞德
愛人利物之謂仁	此任其性命之情也
不同同之之謂大	萬物萬形各止其分不引彼以同我乃成大耳
行不崖異之謂寛	玄同彼我則萬物自容故有餘
有萬不同之謂冨	我無不同故能獨有斯萬
故執德之謂紀	德者人之綱要
德成之謂立	非德而成者不可謂立
循於道之謂備	夫道非偏物也○循音旬或作脩
不以物挫志之謂完	內自得也挫竹卧反
君子明於此十者則韜乎其事心之大也	心大故事無不容也○韜吐刀反廣雅云載也
沛乎其爲萬物逝也	德澤滂沛任萬物之自往也○沛普貝反字林云流也逝崔本逝作啓云開也滂普旁反
若然者藏金於山藏珠於淵	不貴難得之物
不利貨財	乃能忘我况貨財乎
不近貴冨	自來⬤耳心常去之逺也○近附近之近
不樂壽不哀夭	所謂縣解○樂音洛縣解上音玄下音蟹
不榮通不醜窮	忘壽夭於胸中况窮通之間哉
不拘一世之利以爲已私分	皆委之萬物也
不以王天下爲巳處顯	忽然不覺榮之在身○王于况反下王德並同
顯則明	不顯則黙而巳
萬物一府死生同狀	蛻然無所在也蛻始銳反又音帨
夫子曰夫道淵乎其居也漻乎其淸也金石不得無以鳴	聲由寂彰漻李良由反徐力蕭反廣雅下巧反云清貌
故金石有聲不考不鳴	因以喻體道者物感而後應也
萬物孰能定之	應感無方
夫王德之人素逝而恥通於事	任素而往耳非好通於事也好呼報反
立之本原而知通於神	本立而知不逆知音智註同
故其德廣	任素通神而後彌廣
其心之出有物採之	物採之而後出耳非先物而唱也
