莊子外篇天運第十四	音義曰以義名篇天運司馬作天貟
天其運乎	不運而自行也○運爾雅云運徙也廣雅云轉也
地其處乎	不處而自止也
日月其爭於所乎	不爭所而自代謝也
孰主張是孰維綱是	皆自爾
孰居無事推而行是	無則無所能推有則各自有事然則無事而推行是者誰乎哉各自行耳○推如字一音吐回反司馬本作誰
意者其有機緘而不得已邪意者其運轉而不能自止邪	自爾故不可知也○緘古咸反徐古䧟反司馬本作咸云引也
雲者爲⬤乎⬤者爲雲乎	二者倶不能相爲各自爾也○爲于僞反下及注同
孰隆施是孰居無事淫樂而勸是風起北方一西一東有上彷徨孰嘘吸是孰居無事而披拂是敢問何故	設問所以自爾之故○施音弛式氏反樂音洛又音嶽勸司馬本勸作倦云讀曰隨言誰無所作主隨天往來運轉無巳也上時掌反彷薄皇反徨音皇司馬本作旁皇云旁皇颷風也嘘音虚吸許急反披芳皮反拂芳弗反郭扶弗反披拂風貌司馬本作翇
巫咸祒曰來吾語女天有六極五常	夫物事之近或知其故然尋其原以至乎極則無故而自爾也自爾則無所稍問其故也但當順之○巫咸招赤遥反郭音條又音紹李云巫咸殷相也祒寄名也語魚㩀反女音汝後皆同六極司馬云四方上下也
帝王順之則治逆之則凶	夫假學可變而天性不可逆也
九洛之事治成德備監照下土天下載之此謂上皇	順其自爾故也
商大宰蕩問仁於莊子莊子曰虎狼仁也曰何謂也莊子曰父子相親何爲不仁曰請問至仁莊子曰至仁無親	無親者非薄惡之謂也夫人之一體非有親也而首自在上足自處下府藏居內皮毛在外外內上下尊卑貴賤於其體中各任其極而未有親愛於其間也然至仁足矣故五親六族賢愚逺近不失分於天下者理自然也又奚取於有親哉○大音泰下文大息同宰蕩司馬云商未也大宰官也蕩字也藏才浪反
大宰曰蕩聞之無親則不愛不愛則不孝謂至仁不孝可乎莊子曰不然夫至仁尙矣孝固不足以言之	必言之於忘仁忘孝之地然後至矣○蕩一本蕩作盈崔本同或云盈太宰字
此非過孝之言也不及孝之言也	凡名生於不及者故過仁孝之名而渉乎無名之境然後至焉
夫南行者至於郢北靣而不見㝠山是何也則去之逺也	冥山在乎北極而南行以觀之至仁在乎無親而仁愛以言之故郢雖見而愈逺冥山仁孝雖彰而愈非至理也○郢以井反又以政反楚都也在江陵北冥司馬云北海山名逺于萬反
故曰以敬孝易以愛孝難以愛孝易而忘親難忘親易使親忘我難使親忘我易兼忘天下難兼忘天下易使天下兼忘我難	夫至仁者百節皆適則終日不自識也聖人在上非有爲也恣之使各自得而巳耳自得其爲則衆務自適羣生自足天下安得不各自忘我哉各自忘矣主其安在乎斯所謂兼忘也○易以䜴反下皆同
夫德遺堯舜而不爲也	遺堯舜然後堯舜之德全耳若係之在心則非自得也
利澤施於萬世天下莫知也	泯然常適
豈⬤太息而言仁孝乎哉	失於江湖乃思濡沫
夫孝悌仁義忠信貞廉此皆自勉以役其德者也不足多也故曰至貴國爵并焉	并者除弃之謂也夫貴在於身身猶忘之况國爵乎斯貴之至也○并必領反弃除也
至富國財并焉	至富者自足而巳故除天下之財也
