莊子外篇繕性第十六	音義曰以義名篇
繕性於俗俗學以求復其初	巳治性於俗矣而欲以俗學復性命之本所以求者愈非其道也○繕善戰反崔云治也或云善也性性本也
滑欲於俗思以求致其明	巳亂其心於欲而方復役思以求明思之愈精失之愈遠○滑音骨亂也崔云治也思李息吏反注役思同復扶又反下無復雖復同
謂之蔽蒙之民	若夫發⬤者必離俗去欲而後幾焉○離力智反下文同去起吕反
古之治道者以恬養知	恬静而後知不蕩知不蕩而性不失也○治始字又直吏反知音智下以意求之
生而無以知爲也謂之以知養恬	大無以知爲而任其自知則雖知周萬物而恬然自得也
知與恬交相養而和理出其性	知而非爲則無害於恬恬而自爲則無傷於知斯可謂交相養矣二者交相養則和理之分豈出他哉
夫德和也道理也	和故無不得道故無不理
德無不容仁也	無不容者非爲仁也而仁迹行焉
道無不理義也	無不理者非爲義也而義功著焉
義明而物親忠也	若夫義明而不由忠則物愈踈
中純實而反乎情樂也	仁義發中而還任本懷則志得矣志得矣其迹則樂也樂音洛注同
信行容體而順乎文禮也	信行容體而順乎自然之節文者其迹則禮也○行下孟反注同下以行小行注行者行立皆放此
禮樂徧行則天下亂矣	以一體之所履一志之所樂行之天下則一方得而萬方失也○徧音遍
彼正而蒙已德德則不冒冒則物必失其性也	各正性命而自蒙巳德則不以此冒彼也若以此冒彼安得不失其性哉○冒莫報反崔云覆也
古之人在混芒之中與一世而得澹漠焉當是時也隂陽和靜⬤神不擾四時得節萬物不傷羣生不夭人雖有知無所用之	任其自然而巳○混胡本反芒莫剛反崔云混混芒芒未分時也⬤徒暫反
此之謂至一當是時也莫之爲而常自然	物皆自然故至一也
逮德下衰	夫德之所以下衰者由聖人不維世則在上者不能無爲而羡無爲之迹故致斯弊也
及燧人伏戲始爲天下是故順而不一	世已失一或不可解故釋而不推順之而已○燧音遂
德又下衰及神農黃帝始爲天下是故安而不順	安之於其所安而巳
德又下衰及唐虞始爲天下興治化之流淳散朴	聖人無心任世之自成成之淳薄皆非聖也聖能任世之自得耳豈能使世得聖哉故皇王之迹與世俱遷而聖人之道未始不全也○古堯反本亦作澆淳本亦作醇音純
離道以善	善者過於適之稱故有善而道不全○稱尺證反
險德以行	行者違性而行之故行立而德不夷
然後去性而從於心	以心自役則性去也
心與心識	彼我之心競爲先識無復任性也○心與心識如字衆本悉同向本作職云彼我之心競爲先職矣郭注旣與向同則亦當作職也
知而不足以定天下	忘知任性斯乃定也
然後附之以文益之以博文滅質博溺心	文博者心質之飾也○溺乃歷反郭音奴學反
然後民始惑亂無以反其性情而復其初	初謂性命之本
由是觀之世喪道矣道喪世矣世與道交相喪也	夫道以不貴故能存世然世存則貴之貴之道斯喪矣道不能使世不貴而世亦不能不貴於道故交相喪也○喪息浪反下及注皆同
道之人何由興乎世世亦何由興乎道哉	若不貴乃交相興也
道無以興乎世世無以興乎道雖聖人不在山林之中其德隱矣	今所以不隱由其有情以興也何由而興由無貴也
隱故不自隱	若夫自隱而用物則道世交相興矣何隱之有哉
古之所謂隱士者非伏其身而弗見也非閉其言而不出也非藏其知而不發也時命大謬也	莫知反一以息迹而逐迹以求一愈得迹愈失一斯大謬矣雖復起身以明之開言以出之顯知以發之何由而交興哉祗所以交喪也○見音賢遍反祗音支
當時命而大行乎天下	此澹漠之時也
則反一無迹	反任物性而物性自一故無迹
不當時命而大窮乎天下	此不能澹漠之時也
則深根寧極而待	雖有事之世而聖人未始不⬤漠也故深根寧極而待其自爲耳斯道之所以不喪也
此存身之道也	未有身存而世不興者也
古之存身者#SB1_0536-120.png#pagemissing#SB1_0536-121.png#pagemissing喪已於物失性於俗者謂之倒置之民	營外⬤内其置倒也○倒置之民崔云逆其性命而不順也向云以外易内可謂倒置
