莊子外篇至樂第十八	音義曰以義名篇樂音洛
天下有至樂無有哉有可以活身者無有哉	忘歡而後樂足樂足而後身存將以爲有樂邪而至樂無歡將以爲無樂邪而身以存而無憂○樂音洛篇內不出者皆同至極也樂歡也
今奚爲奚據奚避奚處奚就奚去奚樂奚惡	擇此八者莫足以活身唯無擇而任其所遇者乃全耳○惡烏路反
夫天下之所尊者冨貴壽善也所樂者身安厚味美服好色音聲也所下者貧賤夭惡也所苦者身不得安逸口不得厚味形不得美服目不得好色耳不得音聲若不得者則大憂以懼其爲形也亦愚哉	凡此失之無傷於形而得之有損於性今反以不得爲憂故愚
夫冨者苦身疾作多積財而不得盡用其爲形也亦外矣	内其形者知足而巳
夫貴者夜以繼日思慮善否其爲形也亦䟽矣	故親其形者自得於身中而巳
人之生也與憂俱生壽者惛惛乆憂不死何之苦也其爲形也亦遠矣	夫遺生然後能忘憂忘憂而後生可樂生可樂而後形是我有冨是我物貴是我榮也○惛音昏又音門
列士爲天下見善矣未足以活身吾未知善之誠善邪誠不善邪若以爲善矣不足活身以爲不善矣足以活人	善則過當故不周濟
故曰忠諌不聽蹲循勿爭	唯中庸之德爲然○蹲七旬反郭音存又趣允反循音旬又音脣爭爭闘之爭下同
故夫子胥爭之以殘其形不爭名亦不成誠有善無有哉	故當縁督以爲經也
今俗之所爲與其所樂吾又未知樂之果樂邪果不樂邪吾觀夫俗之所樂舉羣趣者誙誙然如將不得巳	舉羣趣其所樂乃不避死也○誙誙亡耕反徐苦耕反又胡挺反李云趣死貌崔云以是爲非以非爲是爲誙誙本又作脛脛
而皆曰樂者吾未之樂也亦未之不樂也	無懷而恣物耳
果有樂無有哉吾以無爲誠樂矣	夫無爲之樂無憂而巳
又俗之所大苦也故曰至樂無樂至譽無譽	俗以鏗鎗爲樂美善爲譽○鏗苦耕反鎗七羊反
天下是非果未可定也雖然無爲可以定是非	我無爲而任天下之是非是非者各自任則定矣
至樂活身唯無爲幾存	百姓足則吾身近乎存也○近附近之近
請嘗試言之天無爲以之清地無爲以之寧	皆自清寧耳非爲之所得
故兩無爲相合萬物皆化	不爲而自合故皆化若有意乎爲之則有時而滯也
芒乎芴乎而無從出乎	皆自出耳未有爲而出之也○芒李音荒又乎晃反下同芴音忽下同
芴乎芒乎而無有象乎	無有爲之象
萬物職職皆從無爲殖	皆自殖耳○萬物職職司馬云職職猶祝祝也李云繁殖貌案爾雅職主也謂名有主而區别
故曰天地無爲也而無不爲也	若有爲則有不齊也
人也孰能得無爲哉	得無爲則無樂而樂至矣
莊子妻死惠子弔之莊子則方箕踞鼓盆而歌惠子曰與人居長子老身死不哭亦足矣又鼓盆而歌不亦甚乎莊子曰不然是其始死也我獨何能無槩然察其始而本無生非徒無生也而本無形非徒無形也而本無氣雜乎芒芴之間變而有氣氣變而有形形變而有生今又變而之死是相與爲春秋冬夏四時行也人且偃然寢於巨室而我噭噭然隨而哭之自以爲不通乎命故止也	未明而槩巳逹而止斯所以誨有情者將令推至理以遣累也○踞音據盆謂瓦⬤也長丁丈反槩古代反司馬云感也又音骨哀亂貌巨室巨大也司馬云以天地爲室也噭古弔反又古堯反令力呈反
支離叔與滑介叔觀於冥伯之丘崐崘之虚黃帝之所休俄而柳生其左肘其意蹷蹷然惡之支離叔曰子惡之乎滑介叔曰亡予何惡生者假借也假之而生生者塵垢也死生爲晝夜且吾與子觀化而化及我我又何惡焉	斯皆先示有情然後尋至理以遣之若云我本無情故能無憂則夫有情者遂自絶於遠曠之域而迷困於憂樂之竟矣○支離叔與滑音骨崔本作潏介音界叔李云支離忘形滑介忘智言二子乃識化也㝠伯之丘李云丘名喻杳冥也崘力門反虚音墟休息也肘竹九反司馬本作胕音跌云胕足上也蹷蹷紀衛反動也惡之烏路反後皆同垢音苟竟音境
莊子之楚見空髑髏髐然有形撽以馬捶因而問之曰夫子貪生失理而爲此乎將子有亡國之事斧⬤之誅而爲此乎將子有不善之行愧遺父母妻子之醜而爲此乎將子有凍餒之患而爲此乎將子之春秋故及此乎於是語卒援髑髏枕而卧夜半髑髏見夢曰子之談者似辯士諸子所言皆生人之累也死則無此矣子欲聞死之⬤乎莊子曰然髑髏曰死無君於上無臣於下亦無四時之事從然以天地爲春秋雖南面王樂不能過也莊子不信曰吾使司命復生子形爲子骨肉肌膚反子父母妻子閭里知識子欲之乎髑髏深矉蹙頞曰吾安能棄南面王樂而復爲人間之勞乎	舊說云莊子樂死惡生斯說謬矣若然何謂齊乎所謂齊者生時安生死時安死生死之情旣齊則無爲當生而憂死耳此莊子之㫖也○髑音獨髏音樓髐苦堯反徐又許堯反李呼交反司馬李云白骨貌有枯形也撽苦弔反又古的反說文作⬤云旁擊也捶拙⬤反又之睡反馬杖也遺唯季反凍丁貢反餒奴罪反援音袁枕針鴆反見賢遍反從七容反從容也李徐子用反縱逸也復音服又扶又反矉音頻蹙本又作顣又作䠞同子六反頞於葛反李云矉蹙者愁貌復扶又反
顔淵東之齊孔子有憂色子貢下席而問曰小子敢問回東之齊夫子有憂色何邪孔子曰善哉女問昔者管子有言丘甚善之曰禇小者不可以懷大綆短者不可以汲深夫若是者以爲命有所成而形有所適也夫不可損益	故當任之而巳○禇猪許反綆格猛反汲索也汲居及反適或作通
吾恐回與齊侯言堯舜黃帝之道而重以燧人神農之言彼將内求於巳而不得不得則惑人惑則死	内求不得將求於外舎内求外非惑如何○皇帝謂三皇五帝也司馬本作黃帝重直用反舎音捨
且女獨不聞邪昔者海鳥止於魯郊魯侯御而觴之于廟奏九韶以爲樂具太牢以爲膳鳥乃昡視憂悲不敢食一臠不敢飮一杯三日而死此以巳養養鳥也非以鳥養養鳥也夫以鳥養養鳥者宜栖之深林遊之壇陸浮之江湖食之鰌䱔隨行列而止委蛇而處彼唯人言之惡聞奚以夫譊譊爲乎咸池九韶之樂張之洞庭之野鳥聞之而飛獸聞之而走魚聞之而下入人卒聞之相與還而觀之魚處水而生人處水而死彼必相與異其好惡故異也故先聖不一其能不同其事	各隨其情○女音汝後同海鳥司馬云國語曰爰居也止魯東門之外三日臧文仲使國人祭之又云魯侯也爰居一名雜縣舉頭高八尺樊光註爾雅云形似明皇邪音訝觴音傷于廟司馬云飮之于廟中也九韶常遥反膳如字昡七遍反司馬本作玄音眩視如字徐市至反臠里轉反壇大旦反司馬本作澶音但云水沙澶也食之音嗣䱔音條又音篠又徒由反一音由行戸剛反委於危反蛇以支反又如字譊乃交反咸池堯樂名樂如字卒寸忽反司馬音子忽反云衆也彼音憊又旋面反好呼報反
