莊子外篇山木第二十	音義曰舉事以名篇
莊子行於山中見大木枝葉盛茂伐木者止其旁而不取也問其故曰無所可用莊子曰此木以不材得終其天年夫子出於山舎於故人之家故人喜命豎子殺鴈而烹之豎子請曰其一能鳴其一不能鳴請奚殺主人曰殺不能鳴者明日弟子問於莊子曰昨日山中之木以不材得終其天年今主人之鴈以不材死先生將何處莊子⬤曰周將處夫材與不材之間似之而非也故未免乎累	設將處此耳以此未免於累竟不處山中釋名云山産也産生物也⬤文云山宣也謂能宣散氣生萬物也大木釋名云木冐也冐地而産也字林云木衆⬤之揔名白虎通云木踊也夫如字夫子謂莊子本或卽作夫子豎市主反烹普彭反煑也
若夫乗道德而浮遊則不然無譽無訾一龍一蛇與時俱化而無肯專爲一上一下以和爲量浮遊乎萬物之祖物物而不物於物則胡可得而累邪此神農黃帝之法則也	故莊子亦處焉〇譽音干訾音紫毀也徐音疵上如字又時掌反量音亮
若夫萬物之情人倫之傳則不然合則離成則毀廉則挫尊則議有爲則虧賢則謀不肖則欺胡可得而必乎哉悲夫弟子志之其唯道德之鄕乎	不可必故待之不可以一方也唯與時俱化者爲能渉變而常通耳○傳直專反司馬云事願可傳行也坐子卧反本亦作挫同郷如字一音許亮反
市南宜僚見魯侯魯侯有憂色市南子曰君有憂色何也魯侯曰吾學先王之道脩先君之業吾敬⬤尊賢親而行之無須⬤離居然不免於患吾是以憂市南子曰君之除患之術淺矣	有其身而矜其國故雖憂懷萬端尊賢尚行而患慮愈深矣〇市南宜僚了蕭反徐力遥反司馬云熊宜僚也居市南因爲號也李云姓熊名宜僚案左傳云市南有熊宜僚楚人也無須⬤離力智反絶句崔本無離字居然崔讀以居字連上句行下孟反
夫豐狐文豹棲於山林伏於巖穴靜也夜行晝居戒也雖飢渴隱約猶且胥䟽於江湖之上而求食焉定也然且不免於罔羅機辟之患是何罪之有哉其皮爲之灾也令魯國獨非君之皮邪吾願君刳形去皮洒心去欲而遊於無人之野	欲令無其身忘其國而任其自化也〇豐司馬云大也胥䟽如字司馬云胥須也䟽菜也李云胥相也謂相望䟽草也辟婢亦反刳音枯廣雅云暑也去皮起吕反云欲去欲音同洒先典反本亦作洗音同欲如字徐音慾令力呈反章未同
南越有邑焉名爲建德之國	⬤之南越取其去魯之逺也
其民愚而朴少私而寡欲知作而不知藏與而不求其報不知義之所適不知禮之所將猖狂妄行乃蹈乎大方	各恣其本歩而人人自蹈其方則萬方得矣不亦大乎
其生可樂其死可葬	言可終始處之〇樂音洛
吾願君去國⬤俗與道相輔而行	所謂去國捐俗謂蕩除其胷中也
君曰彼其道遠而險又有江山我無舟車柰何	眞謂欲使之南越
市南子曰君無形倨	形倨躓礙之謂無形倨音據司馬云無倨傲其形躓之質反又知吏反礙五代反
無留居	留居滯守之謂○無留居司馬云無留安其居
以爲君車	形與物夷心與物化斯⬤物以自載也
君曰彼其道幽逺而無人吾誰與爲鄰吾無糧我無食安得而至焉市南子曰少君之費寡君之欲雖無糧而乃足	所謂知足則無所不足也○我二本作餓
君其渉於江而浮於海望之而不見其崖愈徃而不知其所窮	絶情欲之逺也
送君者皆自崖而反	君欲絶則民各反守其分
君自此遠矣	超然獨立於萬物之上也
故有人者累	有人者有之以爲巳私也
見有於人者憂	見有於人者爲人所役用也
故堯非有人非見有於人也	雖有天下皆⬤之百官委之萬物而不與焉斯非有人也因民任物而不役巳斯非見有於人也〇與音預
吾願去君之累除君之憂而獨與道遊於大莫之國	欲令蕩然無有國之懷〇大莫莫無也
方舟而濟於河有虚舩來觸舟雖有惼心之人不怒有一人在其上則呼張歙之一呼而不聞再呼而不聞於是三呼邪則必以惡聲隨之向也不怒而今也怒向也虚而今也實人能虚巳以遊世其孰能害之	世雖變其於虚巳以免害一也〇方舟司馬云方並也惼必善反爾雅云急呼火故反下同張歙許及反徐許輙反郭踈獵反張開也歙歛也
北宫奢爲衛靈公賦歛以爲鍾爲壇乎郭門之外三月而成上下之縣王子慶忌見而問焉曰子何術之設奢曰一之間無敢設也	泊然抱一耳非敢假設以益事也〇北宫奢李云衛大夫北宫因以爲號奢其名也爲衛于僞反歛力艶反爲壇但丹反李云祭也禱之故爲壇也上下之縣音玄司馬云八音備爲縣而聲高下王慶忌李云王族也慶忌周大夫也怪其簡⬤故問之泊歩各反
奢聞之旣雕旣琢復歸於朴	還用其本性也
侗乎其無識	任其純朴而巳〇侗吐東勑動二反無知皃字林云大皃一音慟
儻乎其怠疑	無所趣也〇儻音敕蕩反
萃乎芒乎其送徃而迎來	無所欣⬤〇萃在醉反芒莫郎反⬤音悅
來者勿禁徃者勿止	任彼也
從其彊梁	順乎衆也〇彊梁多力也
隨其曲傅	無所係也〇曲傅音附司馬謂曲附巳者隨之也本或作傳張戀反
因其自窮	用其不得不爾
故朝夕賦歛而毫毛不挫	當故無損○挫音子卧反
而况有大塗者乎	㤗然無執用天下之自爲斯大通之塗也故曰經之營之不日成之
孔子圍於陳蔡之間七日不火食大公任徃弔之曰子幾死乎曰然子惡死乎曰然	自同厷好惡耳聖人無好惡也○大音㤗任如字李云大公大夫稱任其名幾音祈又音機惡烏路反注及下同好呼報反章内同
任曰予嘗言不死之道東海有鳥焉名曰意怠其爲鳥也翂翂翐翐而似無能引援而飛迫脅而棲	旣⬤大舒緩又心無常係○翂音紛字或作昐翐音秩徐音族字或作昳司馬云翂翂翐翐舒遲皃一云飛不高皃李云羽翼聲迫脅而棲李云不敢獨棲迫脅在衆鳥中⬤足容身而⬤辟害之至也
進不敢爲前退不敢爲後	常從容處中○從七容反
食不敢先嘗必取其緒	其於隨物而巳〇緒次緒也
是故其行列不斥	與羣俱也〇行戸剛反下亂行同斥音尺
而外人卒不得害是以免於患	患害生於役知以奔兢〇卒子恤反終也又七忽反
直木先伐甘井先竭	才之害也
子其意者飾知以驚愚脩身以明汙昭昭乎如揭日月而行故不免也	夫察焉小異則與衆爲迕矣混然大同則無獨異於世矣故夫昭昭者乃冥冥之迹也將⬤言以遺迹故因陳蔡以託患〇知音智汗音烏揭其列其謂二反迕五故反
昔吾聞之大成之人曰自伐者無功功成者墮名成者虧	恃功名以爲巳成者未之嘗全〇墮許規反
孰能去功與名而還與衆人	功自衆成故還之○去起吕反
道流而不明	昧然而自行耳
居得行而不名處	彼皆居然自得此行耳非由名而後處之〇行如字又下孟反注同
純純常常乃比於狂	無心而動故也
削迹⬤⬤不爲功名	功自彼成故⬤不在我而名迹皆去
是故無責於人人亦無責焉	恣情任彼故彼各自當其責也
至人不聞子何喜哉	寂泊無懷乃至人也〇泊歩各反
孔子曰善哉辭其交遊去其弟子逃於大澤衣裘⬤食杼栗	取於棄人間之好也〇衣於旣反⬤戸割反杼食汝反又音序
入獸不亂羣入鳥不亂行	⬤草木之無心故爲鳥獸所不畏
鳥獸不惡而况人乎	盖⬤言以極推至誠之信任乎物而無受害之地也
