莊子外篇知北遊第二十二	音義曰以義名篇
知北遊於玄水之上登隱弅之丘而適遭無爲謂焉知謂無爲謂曰予欲有問乎⬤何思何慮則知道何處何服則安道何從何道則得道三問而無爲謂不荅也非不荅不知荅也知不得問反於白水之南登狐闋之上而睹狂屈焉知以之言也問乎狂屈狂屈曰唉予知之將語⬤中欲言而忘其所欲言知不得問反於帝宮見黃帝而問焉黃帝曰無思無慮始知道無處無服始安道無從無道始得道知問黃帝曰我與⬤知之彼與彼不知也其孰是耶黃帝曰彼無爲謂眞是也狂屈似之我與汝終不近也夫知者不言言者不知故聖人行不言之教	任其自行期不言之教也〇知北遊音智又如字於玄水之上李云玄水水名司馬崔本上作北隱弅符文反又音紛又符紛反李云隱出弅起丘貌白水水名狐闋苦穴反司馬李云狐闋丘名睹丁古反狂屈求勿反徐又其述反司馬向崔本作詘李云狂屈侜張似人而非也以之言司馬云之是也唉哀在反徐烏來反李音熈云應聲語魚據反不近附近之近下同
道不可致	道在自然非可言致者也
德不可至	不失德故稱德稱德而不至也
仁可爲也義可虧也禮相僞也故曰失道而後德失德而後仁失仁而後義失義而後禮禮者道之華而亂之首也	禮有常則故矯效之所由生也
故曰爲道者日損	損華僞也
損之又損之以至於無爲無爲而無不爲也	華去而朴全則雖爲而非爲也
今巳爲物也	物失其所故有爲物
欲復歸根不亦難乎其易也其唯大人乎	其歸根之易者唯大人耳大人體合變化故化物不難〇易以豉反注同
生也死之徒	知變化之道者不以爲易
死也生之始孰知其紀	更相爲始則未知孰死孰生也〇更音庚
人之生氣之聚也聚則爲生散則爲死	俱是聚也俱是散也
若死生爲徒吾又何患	患生於異
故萬物一也是其所美者爲神竒其所惡者爲臭腐臭腐復化爲神竒神竒復化爲臭腐故曰通天下一氣耳	各以所美爲神竒所惡爲臭腐耳然彼之所美我之所惡也我之所美彼或惡之故通共神竒通共臭腐耳死生彼我豈殊哉〇惡烏路反註同復扶又反下同
聖人故貴一知謂黃帝曰吾問無爲謂無爲謂不應我非不我應不知應我也吾問狂屈狂屈中欲告我而不我告非不我告中欲告而忘之也今予問乎⬤⬤知之奚故不近黃帝曰彼其眞是也以其不知也此其似之也以其忘之也予與⬤終不近也以其知之也狂屈聞之以黃帝爲知言	明夫自然者非言知之所得故當昧乎無言之地是以先舉不言之標而後⬤明於黃帝則夫自然之⬤物槩乎可得而見也○標必遥反
天地有大美而不言四時有明法而不議萬物有成理而不說	此孔子之所以云予欲無言〇大美謂覆載之美也
聖人者原天地之美而逹萬物之理是故至人無爲	任其自爲而巳
大聖不作	唯因任也
觀於天地之謂也	觀其形容象其物冝與天地不異
今彼神明至精與彼百化	百化自化而神明不奪
物巳死生方圓莫知其根也	夫死者已自死生者巳自生圓者巳自圓方者巳自方未有爲其根者故莫知
扁然而萬物自古以固存	豈待爲之而後存焉○扁音篇又音幡
六合爲巨未離其内	計六合在無極之中則陋矣○離力智反其内謂不能出自化也
秋豪爲小待之成體	秋毫雖小非無亦無以容其質
天下莫不沈浮終身不故	日新也
隂陽四時運行各得其序	不待爲之
惛然⬤亡而存	昭然⬤存則亡矣○惛音昏又音泯
油然不形而神	挈然有形則不神○油音由謂無所給惜也
