莊子雜篇則陽第二十五	音義曰以人各篇
則陽遊於楚夷節言之於王王未之見夷節歸彭陽見王果曰夫子何不譚我於王王果曰我不⬤公閱休彭陽曰公閱休奚爲者邪曰冬則擉鼈于江夏則休乎山樊有過而問者曰此予宅也	言此者以抑彭陽之進趨〇則陽司馬云名則陽字彭陽也一云姓彭名則陽周初人也夷節楚臣王果司馬云楚賢人譚音談本亦作談李云⬤也郭徒堪反徐徒暗反公閱休隱士也閱音悅擉初角反又敕角反司馬云刺也郭音觸徐下六反一音捉樊音煩李云傍也司馬云隂也廣雅云邉也予宅司馬云以隱居山隂自顯也
夫夷節巳不能而况我乎吾又不⬤夷節夫夷節之爲人也無德而有知不自許以之神其交固顛冥乎冨貴之地	言巳不⬤夷節之好冨貴能交結意盡形名任知以干上也知音智注同顛冥音眠司馬云顛冥猶迷惑也言其交結人主情馳冨貴
非相⬤以德相⬤消也	茍進故德薄而名消
夫凍者假衣於春暍者反冬乎冷風	言巳順四時之施不能赴彭陽之意〇暍音謁字林云傷暑也施始豉反下同
夫楚王之爲人也形尊而嚴其於罪也無赦如虎非夫佞人正德其孰能橈焉故聖人其窮也使家人忘其貧	淡然無欲樂足於所遇不以侈靡爲貴而以道德爲榮故其家人不識貧之可苦○能橈乃孝反又呼毛反王云惟正德以至道服之佞人以才辯奪之故能泥橈之也淡徒暫反
其逹也使王公忘爵禄而化卑	輕爵禄而重道德超然坐忘不覺榮之在身故使王公失其所以爲高〇而化卑居高而以卑爲本也本或作而化卑於人也
其於物也與之爲誤矣	不以爲物自苦
其於人也樂物之通而保巳焉	通彼而不䘮我〇䘮息浪反
故或不言而飮人以和	人各自得斯飲和矣豈待言哉〇飲於鴆反
與人並立而使人化	望其風而靡之
父子之宜彼其乎歸居	使彼父父子子各歸其所
而一間其所施	其所施同天地之德故間靜而不二〇間音閑
其於人心者若是其逺也故曰待公閱休	欲其釋楚王而從閱休將以静泰之風鎮其動心也
聖人逹綢繆	所謂玄通〇綢直周反繆亡侯反綢繆猶纒綿也又云深奥也
周盡一體矣	無内外而皆洞照〇周盡一體所鑒綢繆精麄洞盡故言周盡一體一體天也
而不知其然性也	不知其然而自然者非性如何
復命揺作而以天爲師	揺者自摇作者自作莫不復命而師其天然也〇復命揺作揺動也萬物動作生長各有天然則是復其命也
人則從而命之也	此非赴名而高其迹師性而動其迹自高故人不能下其名也〇命名也
憂乎知而所行⬤無幾時其有止也⬤之何	任知其行則憂患相繼〇知音智幾居豈反時其有止也⬤之何王云憂乎智謂有爲者以形智不至爲憂也不知用智必䘮䘮而更以不智爲憂及其智之所行有弊無濟故其憂患相接無湏⬤停息故曰恒無幾時其有止也不能遺智去憂非可憂如何
生而美者人與之鑑不吿則不知其美於人也	鑑鏡也鑑物無私故人美之今夫鑑者豈知鑑而鑑邪生而可鑑則人謂之鑑耳⬤人不相告則莫知其美於人譬之聖人人與之名○則不知其美於人生便有見物之美而爲無心人與作名言鏡耳故人美之⬤不相告即莫知其美於人
若知之⬤不知之⬤聞之⬤不聞之其可喜也終無巳	夫鑑之可喜由其無情不問知與不知聞與不聞來即鑑之故終無巳⬤鑑由聞知則有時而廢也
人之好之亦無巳性也	⬤性所不好豈能久照〇好呼報反注同
聖人之愛人也人與之名不告則不知其愛人也	聖人無愛⬤鏡耳然而事濟於物故人與之名⬤人不相告則莫知其愛人也
⬤知之⬤不知之⬤聞之⬤不聞之其愛人也終無巳	蕩然以百姓爲芻狗而道合於愛人故能無已⬤愛人由乎聞知則有時而衰也
人之安之亦無巳性也	性之所安故能乆
舊國舊都望之暢然	得舊猶暢然况得性乎○暢然喜恱貌
雖使丘陵草木之緡	緡合也〇緡民忍反徐音昏司馬云盛也
入之者十九猶之暢然况見見聞聞者也	見所甞見聞所嘗聞而猶暢然况體其體用其性也〇十九謂見十識九也見見聞聞見所見聞所聞
以十仞之臺縣衆間者也	衆之所習雖危猶間况聖人之無危○縣音玄間音閑注同元嘉本作閑
冉相氏得其環中以隨成	冉相氏古之聖王也居空以隨物物自成〇冉相息亮反注同
與物無終無始無#SB1_0537-208.png#pagemissing	曰皆殉也所行行備而物我無傷故無壞敗也
湯得其司御門尹登恒爲之傅之	委之百官而不與焉〇門尹登恒向云門尹官名登⬤人名爲于僞反下同傅音付下同與音預
從師而不囿	任其自聚非囿之也縱其自散非解之也
得其隨成爲之司其名	司御之屬亦能隨物之自成也而湯得之所以名⬤於物而功不在巳
之名嬴法得其兩見	名法者巳過之迹而非適足也故曰嬴然無心者⬤治於羣司則其名迹並見於彼〇嬴音盈法得其兩見賢遍反註同得其隨成之道以司其名名實法立故得兩見猶人鑑之相得也治直吏反
仲尼之盡慮爲之傅之	仲尼曰天下何思何慮慮巳盡矣⬤有纎芥之慮豈得寂然不動應感無窮以輔萬物之自然也
容成氏曰除日無歲	今所以有歲而存日者爲有死生故也⬤無死無生則歲日之計除也〇容成老于師也
無内無外	無彼我則無内外也
魏瑩與田侯牟約田侯牟背之魏瑩怒將使人刺之犀首聞而耻之曰君爲萬乗之君也而以匹夫從讎⬤請受甲二十萬爲君攻之虜其人民係其牛馬使其君内⬤發於背然後㧞其國忌也出走然後抶其背折其脊季子聞而耻之曰築十仞之城城者旣十仞矣則又壞之此胥靡之所苦也今兵不起七年矣此王之基也⬤亂人不可聽也華子聞而醜之曰善言伐齊者亂人也善言勿伐者亦亂人也謂伐之與不伐亂人也者又亂人也君曰然則⬤何曰君求其道而巳矣惠子明之而見戴⬤人戴⬤人曰有所謂蝸者君知之乎曰然	蝸至微而有兩角〇魏瑩郭本作瑩音罃磨之瑩今本多作罃乙耕反司馬云魏惠王也與田侯一本作田侯牟司馬云田侯齊威王也名牟桓公子案史記威王名囚不名牟約徐於妙反又如字司馬云約誓在惠王二十六年背音佩刺七賜反犀首魏官名也司馬云⬤今虎牙將軍公孫⬤爲此官元嘉本作齒首乗繩證反爲君于僞反下請爲君同忌也出走忌畏而走或言圍之也元嘉本忌作亡抶敕一反三蒼云擊也郭云秩又豬栗反折之舌反季子魏臣壞音怪華子亦魏臣也惠子惠施也見賢遍反下同戴⬤人梁國賢人惠施薦之於魏王蝸音⬤郭音戈李云蝸蟲有兩角俗謂之蝸牛三蒼云小牛螺也云俗各黃犢
有國於蝸之左角者曰觸氏有國於蝸之右角者曰蠻氏時相與爭地而戰伏尸數萬逐北旬有五日而後反	誠知所爭者⬤此之細也則天下無爭矣〇數色主反北如字又音佩軍走曰北
君曰噫其虚言與曰臣請爲君實之君以意在四方上下有窮乎君曰無窮曰知遊心於無窮而反在通逹之國	人迹所及爲通逹謂今四海之内也噫於其反與音餘
⬤存⬤亡乎君曰然	今自以四海爲大然計在無窮之中⬤有⬤無也
曰通逹之中有魏於魏中有梁於梁中有王王與蠻氏有辯乎君曰無辯	王與蠻氏俱有限之物耳有限則不問大小俱不得與無窮者計也雖復天地共在無窮之中皆蔑如也况魏中之梁梁中之王而足爭哉〇復扶又反
客出而君惝然⬤有亡也	自悼所爭者細〇惝音敞字林云惘也又吐蕩反
客出惠子見君曰客大人也聖人不足以當之惠子曰夫吹管也猶有嗃也吹劒首者吷而巳矣堯舜人之所譽也道堯舜於戴⬤人之前譬猶一吷也	曽不足聞〇筦音管本亦作管嗃許交反管聲也玉篇呼洛反又呼教反廣雅云鳴也劒首司馬云謂劒環頭小孔也吷音血又呼恱反司馬云吷然如風過譽音餘
孔子之楚舎於蟻丘之漿其鄰有夫妻臣妾登極者子路曰是稯稯何爲者邪仲尼曰是聖人僕也是自埋於民	與民同〇蟻丘魚綺反李云蟻丘山名漿李云賣漿家司馬云謂逆旅舎以菰蔣草覆之也登極司馬云極屋楝也升之以觀也一云極平頭屋也稯音揔字亦作揔李云聚貌又作稷一本作稷初力反聖人僕謂懷聖德而隱僕⬤也司馬本僕作樸謂聖人坏樸
自藏於畔	進不榮華退不枯槁〇藏於畔王云修田農之業是隱藏於壠畔
其聲銷	損其名也〇銷音消司馬云小也損本亦作損
其志無窮	規是生也
其口雖言其心未嘗言	所言者皆世言
方且與世違而心不屑與之俱	心與世異○不屑屑絜也不絜世也本或作肯
是陸沈者也	人中隱者譬無水而沈也〇陸沈司馬云當顯而反隱如無水而沈也
是其市南宜僚邪子路請徃召之孔子曰巳矣彼知丘之著於巳也	著明也
知丘之適楚也以丘爲必使楚王之召巳也彼且以丘爲佞人也夫若然者其於佞人也羞聞其言而况親見其身乎而何以爲存	不如舎之以從其志
子路徃視之其室虚矣	果逃去也
長梧封人問子牢曰君爲政焉勿鹵莽治民焉勿滅裂	鹵莽滅裂輕脫末略不盡其分○長梧地名封人守封疆之人子牢司馬云即琴牢孔子弟子鹵音魯莽莫古反又如字滅裂猶短草也李云謂不熟也司馬云鹵莽猶麄粗也謂淺耕稀種也滅裂斷其草也
昔予爲禾耕而鹵莽之則其實亦鹵莽而報予芸而滅裂之其實亦滅裂而報予予來年變齊深其耕而熟耰之	功盡其分無所不至〇芸音云除草也亦齊才細反司馬如字云變更也謂變更所法也齊同也耰音憂司馬云鋤也廣雅云推也字林云摩田器也
其禾繁以滋予終年厭飱莊子聞之曰今人之治其形理其心多有似封人之所謂遁其天離其性滅其情亡其神以衆爲	夫遁離滅亡以衆爲之所致也⬤各致其極則何患也〇飱音孫本又作飱離力智反下同衆爲如字王云凡事所可爲者也遯離滅亡皆猶衆爲衆爲所謂鹵莽也司馬本作爲僞
故鹵莽其性者欲惡之孽爲性萑葦	萑葦害禾稷欲惡傷正性〇惡烏洛反注並同孽魚列反萑音丸葦⬤葦干⬤反蘆也
蒹葭始萌以扶吾形	形扶踈則神氣傷〇蒹古恬反廉也葭音加亦蘆也
尋擢吾性	以欲惡引性不止於當
並潰漏發不擇所出漂疽疥癕内⬤溲膏是也	此鹵莽之報也故治性者安可以不齊其至分〇潰回内反漏發李云謂精氣散泄上潰下漏不擇所出也漂本亦作瘭徐敷妙反又匹招反一音必招反疽七餘反瘭疽謂病瘡膿出也疥音界溲本或作瘦所求反〇司馬云謂虚勞人尿上生肥白沫也皆爲利欲感動失其正氣不如深耕熟耰之有實齊才細反又如字
栢矩學於老聃曰請之天下遊老聃曰巳矣天下猶是也又請之老聃曰汝將何始曰始於齊至齊見辜人焉推而強之解朝服而幕之號天而哭之曰子乎子乎天下有大菑子獨先離之曰莫爲盗莫爲殺人	殺人大菑謂自此以下事大菑旣有則雖戒以莫爲其可得已乎〇栢矩有道之人辜罪也李云謂應死人也元嘉本作幸人強其良反字亦作彊朝古遥反莫音幕司馬云覆也號戸刀反菑音哉離著也
榮辱立然後覩所病	各自得則無榮辱得失紛紜故榮辱立榮辱立則夸其所謂辱而⬤其所謂榮矣奔馳乎夸跂之間非病如何
貨財聚然後覩所爭	⬤以知足爲冨將何爭乎
今立人之所病聚人之所爭窮困人之身使無休時欲無至此得乎	上有所好則下不能安其本分〇好呼報反
古之君人者以得爲在民以失爲在巳	君莫之失則民自得矣
以正爲在民以枉爲在已	君莫之枉則民自正
故一形有失其形者退而自責	夫物之形性何爲而失哉皆由人君撓之以至斯患耳故自責
今則不然匿爲物而愚不識	反其性匿也用其性顯也故爲物所顯則皆識匿女力反愚一本作遇不識反物性而強令識之
大爲難而罪不敢	爲物所易則皆敢〇大爲難而罪不敢王云凡所施爲者皆用物之所能則莫不易而敢矣而故大爲艱難令出不能物有不敢者則因罪之易以豉反
重爲任而罰不勝	輕其所任則皆勝〇勝音
#SB1_0537-222.png#pagemissing萬物有乎生而莫見其根有乎出而莫見其門	無根無門忽爾自然故莫見也唯無其生亡其出者爲能覩其門而惻其根也
人皆尊其知之所知而莫知恃其知之所不知而後知可不謂大疑乎	我所不知物有知之者矣故用物之知則無所不知獨任我知知其寡矣今不恃物以知而自尊其知則物不告我非大疑如何
巳乎巳乎且無所逃	不能用彼則⬤身無地
