南華真經卷第九郭象子玄註陸德明音義莊子雜篇外物第二十六	音義曰以義名篇
外物不可必故龍逢誅比干戮箕子狂惡來死桀紂亡	善惡之所致俱不可必也○外物王云夫忘懷於我者固無對於天下然後外物無所用必焉⬤乃有所執爲者諒亦無時而妙矣
人主莫不欲其臣之忠而忠未必信故伍貟流于江萇弘死于蜀藏其血三年而化爲碧	精誠之至○化爲碧吕氏春秋藏其血三年化爲碧玉
人親莫不欲其子之孝而孝未必愛故孝巳憂而曾參悲	是以至人無心而應物唯變所適〇孝巳李云殷高宗之太子曾參李云曾參至孝爲父所憎嘗見絶糧而後蘇
木與木相摩則然金與火相守則流隂陽錯行則天地大絯於是乎有雷有霆水中有火乃焚大槐	所謂錯行○該音駭又音該又胡待反水中有火乃焚大槐司馬云水中有火謂電也焚謂霹靂時燒大⬤也
有甚憂兩䧟而無所逃	茍不能忘形則隨形所遭而䧟於憂樂左右無冝也○兩䧟司馬云兩謂心與瞻也䧟破也畏雷霆甚憂心膽破䧟也樂音洛
螴蜳不得成	矜之愈重則所在爲難莫知所守故不得成〇螴郭音陳又楮允反徐敕盡反蜳郭音惇又柱允反徐敕轉反李餘准反司馬云螴蜳讀曰冲融言怖畏之氣冲融兩溢不安定也
心⬤縣於天地之間	所希⬤者高而闊也〇縣音玄
慰暋沈屯	非清夷平暢也〇慰暋武巾反李音昬又音泯慰鬰也暋悶也沈屯張倫反司馬云沈深也屯難也
利害相摩生火甚多	内⬤故也
衆人焚和	衆人而遺利則和⬤利害存懷則其和焚也
月固不勝火	大而闇則多累小而明則知分
於是乎有僓然而道盡	唯僓然無矜遺形自得道乃盡也〇僓音頽又乎懷反郭云順也
莊周家貧故徃貸粟於監河侯監河侯曰諾我將得邑金將貸子三百金可乎莊周忿然作色曰周昨來有中道而呼者周顧視車轍中有鮒魚焉周問之曰鮒魚來子何爲者邪對曰我東海之波臣也君豈有斗升之水而活我哉周曰諾哉且南遊吳越之王激西江之水而迎子可乎鮒魚忿然作色曰吾失我常與我無所處吾得斗升之水然活耳君乃言此曾不如早索我於枯魚之肆	此言當理無小茍其不當雖大何益〇貸音特或一音他得反⬤河侯古衘反⬤⬤作魏文侯將貸他代反呼火故反鮒音附廣雅云鰿也鰿音迹波臣司馬云謂波蕩之臣激古狄反索所白反枯魚李云猶乾魚也
任公子爲大鉤巨緇五十犗以爲餌蹲乎㑹稽投竿東海旦旦而釣期年不得魚巳而大魚食之牽巨鉤䤾没而下騖揚而奮鬐白波⬤山海水震蕩聲侔⬤神憚赫千里任公子得⬤魚離而腊之自制河以東蒼梧巳北莫不厭⬤魚者巳而後世輇才諷⬤之徒皆驚而相告也夫揭竿累趣灌瀆守鯢鮒其於得大魚難矣飾小⬤以干縣令其於大逹亦逺矣是以未嘗聞任氏之風俗其不可與經於世亦逺矣	此言志趣不同故經世之宜小大各有所適也〇任如字下同李云任國名鉤本作釣巨緇司馬云大黒綸也搳郭占邁反云犍牛也徐音界⬤文云騬也司馬云犠牛也騬音繩犍紀言反餌音二蹲音存㑹古外反稽古⬤反㑹稽山名今爲郡也期年本亦作朞同音基言必乆其事後乃能感也錎音䧟字林猶䧟字也鶩音務一本作驚鬐徐求夷反李音須憚徒旦反赫火百反千里言千里皆懼⬤魚司馬云大魚名⬤海神也或云若魚猶言此魚腊音昔制河諸設反依字應作浙漢書音義音逝河亦江也北人名水皆曰河浙江今在餘杭郡後漢以爲吳㑹分界司馬云浙江今在㑹稽錢塘輇七全反又硯專反又音權李云輇量人也本或作軨軨小也本又或作輕諷力鳯反揭其列其謁二反竿累劣彼反謂次足不得並足也本亦作累司馬云力追反云綸也趣本又作趨同七須反灌瀆司馬云漑瀆之瀆鯢五兮反鮒音附又音蒲本又作蒲李云鯢鮒皆小魚也
儒以詩禮發家大儒臚傳曰東方作矣事之何⬤小儒曰未解裙⬤口中有珠詩固有之曰青青之麥生於陵陂生不布施死何含珠爲接其⬤壓其顪儒以金椎控其頥徐别其頰無傷口中珠	詩禮者先王之陳迹也苟非其人道不虚行故夫儒者乃有用之爲姦則迹不足恃也○臚力於反一音盧蘇林注漢書云上傳語告下曰臚臚猶行也傳治戀反又丈蓴反向云從上語下曰臚傳一音張戀反遽也東方作矣司馬云謂日出也⬤而朱反青青之麥司馬云此逸詩刺死人也陂彼宜反施始豉反壓本亦作擪同乃協反郭於琰反又敕頰反字林云擪一指按也顪本亦作歲許穢反司馬云頥下毛也椎直追反控⬤江反別彼列反
老萊子之弟子出薪遇仲尼反以告曰有人於彼脩上而趍下	長上而促下也○老萊子楚人也出薪出採薪也趍下音促李云下短也
末僂而後耳	耳却近後而上僂○末僂李云末上謂頭前也又謂背膂也後耳司馬云耳却後近附近之近
視⬤營四海	視之儡然似營他人事者○視⬤營四海夫勞形役智以應世務失其自然者也故堯有亢龍之喻舜有卷僂之談周公⬤之走狼仲尼比之逸狗豈不或信哉儡律悲反舊魚⬤反又魚威反
不知其誰氏之子老萊子曰是丘也召而來仲尼至曰丘去汝躬矜與汝容知斯爲君子矣	謂仲尼能遺形去知故以爲君子○去起吕反注同而本又作女躬矜爲身矜修善行容知音智謂節智爲容好
仲尼揖而退	受其言也
蹙然改容而問曰業可得進乎	設問之令老萊明其不可進○蹙子六反業可得進乎問可行仁義於世乎令力成反
老萊子曰夫不忍一世之傷而鷔萬世之患	一世爲之則其迹萬世爲患故不可輕也○鷔本亦作敖同五報反下同下或作驁
抑固窶邪亡其略弗及邪	直任之則民性不簍而皆自有略無弗及之事也○窶其矩反
惠以歡爲驁終身之醜	惠之而歡者無惠則醜矣然惠不可長故一惠終身醜也
中民之行進焉耳	言其易進則不可妄惠之〇行下孟反易以豉反
相引以名相結以隱	隱括進之謂也〇相結以隱李云隱病患也雖相引以名聲是相結以病患
與其譽堯而非桀不如兩忘而閉其所譽	閉者閉塞〇譽堯音餘閉一本文註並作門
反無非傷也動無非邪也	順之則全靜之則正〇反無非傷反逆於理動無非邪似嗟反動矜於是也
聖人躊躇以興事以每成功	事不逺本故其功毎成〇躊音疇躇直居反以興事以每成功毎者每有成功也躊躇者從容也從容興事雖有成功聖人不存猶致敝迹流毒百世况動矜善行而載之不已乎逺于萬反
柰何哉其載焉終矜爾	矜不可載故遺而弗有也
宋元君夜半而夢人⬤髪闚阿門曰予自宰路之淵予爲清江使河伯之所漁者余且得予元君⬤使人占之曰此神⬤也君曰漁者有余且乎左右曰有君曰令余且㑹朝明日余且朝君曰漁何得對曰且之網得白⬤焉箕圓五尺君曰獻若之⬤⬤至君再欲殺之再欲活之心疑卜之曰殺⬤以卜吉乃刳⬤七十二鑚而無遺筴仲尼曰神⬤能見夢於元君而不能避余且之網知能七十二鑚而無遺筴不能避刳腸之患如是則知有所困神有所不及也	神知之不足恃也如是夫唯静然居其所能而不營於外者爲全○宋元君李云元公也案元公名佐平公之子阿門司馬云阿屋曲簷也宰路李云淵名⬤所居爲如字又于僞反使所吏反漁音魚余音預且子餘反姓余名且也覺古孝反令力成反朝直遥反下同刳口⬤反鑚左端反又左亂反筴初革反見賢遍反知音智下及注同知有所困一本作知有所不周
雖有至知萬人謀之	不用其知而用衆謀〇知音智下註皆同
魚不畏網而畏鵜鶘	網無情故得魚○鵜徒⬤反鶘鵜鶘水鳥也一名海河
去小知而大知明	小知自私大知任物○去起吕反下註同
去善而自善矣	去善則善無所慕善無所慕則善者不矯而自善也○矯居表反
嬰兒生無石師而能言與能言者處也	汎然無習而自能者非⬤而學彼也〇石師石者匠名也謂無人爲師匠教之者也一本作所師又作碩師
惠子謂莊子曰子言無用莊子曰知無用而始可與言用矣夫地非不廣且大也人之所用容足耳然則厠足而墊之致黃泉人尚有用乎惠子曰無用莊子曰然則無用之爲用也亦明矣	聖應其内當事而發巳言其外以暢事情情暢則事通外明則内用相湏之理然也○厠音側又音測墊丁念反司馬崔云下也本又作塹七念反掘也致至也本又作至
莊子曰人有能遊且得不遊乎人而不能遊且得遊乎	性之所能不得不爲也性所不能不得強爲故聖人唯莫之制則同焉皆得而不知所以得也〇強其丈反
夫流遁之志决絶之行噫其非至知厚德之任與	非至厚則莫能任其志行而信其殊能也〇行下孟反註同興音餘
覆墜而不反火馳而不顧	人之所好不避是非死生以之〇墜直⬤反好呼報反
