莊子雜篇寓言第二十七	音義曰以義名篇
寓言十九	⬤之他人則十言而九見信○寓言十九寓⬤也以人不信巳故託之他人十言而九見信也
重言十七	世之所重則十言而七見信〇重言謂爲人所重者之言也
巵言日出和以天倪	夫巵滿則傾空則仰非持故也况之於言因物隨變唯彼之從故曰日出日出謂日新也日新則盡其自然之分自然之分盡則和也〇巵言字又作巵音支字略云巵圓酒器也李起宜反王云夫巵器滿即傾空則仰隨物而變非執一守故者也施之於言而隨人從變巳無常主者也司馬云謂支離無首尾言也倪音崖徐音詣
寓言十九藉外論之	言出於巳俗多不受故借外耳肩吾連叔之⬤皆所借也〇藉李云因也
親父不爲其子媒親父譽之不⬤非其父者也	父之譽子誠多不信然時有信者輒以常嫌見疑故借外論也〇譽之音餘注同
非吾罪也人之罪也	巳雖信而懐常疑者猶不受⬤之彼人則信之人之聽有斯累也
與巳同則應不與巳同則反	互相非也
同於已爲是之異於巳爲非之	三異同處而二異訟其所取是必於不訟者俱異耳而獨信其所是非借外如何
重言十七所以已言也是爲⬤艾	以其⬤艾故俗共重之雖使言不借外猶十信其七〇⬤艾五盖反
年先矣而無經緯本末以期年⬤者是非先也	年在物先耳其餘本末無以待人則非所以先也期待也
人而無以先人無人道也人而無人道是之謂陳人	直是陳乆之人耳而俗便共信之此俗之所以爲安故而習常
巵言日出和以天倪因以曼⬤所以窮年	夫自然有分而是非無主無主則曼⬤矣誰能定之哉故曠然無懐因而任之所以各終其天年〇曼衍以戰反
不言則齊齊與言不齊言與齊不齊也	付之與物而就用其言則彼此是非居然自齊⬤不能因彼而立言以齊之則我與萬物復不齊耳〇復不扶又反下同
故曰無言	言彼所言故雖有言而我竟不言也
言無言終身言未甞不言	雖出吾口皆彼言耳
終身不言未嘗不言	據出我口
有自也而可有自也而不可有自也而然有自也而不然惡乎然然於然惡乎不然不然於不然惡乎可可於可惡乎不可不可於不可	自由也由彼我之情偏故有可不可〇惡乎音烏下同
物固有所然物固有所可	各自然各自可
無物不然無物不可	綂而言之則無可無不可無可無不可而至也
非巵言日出和以天倪孰得其乆	夫唯言隨物制而任其天然之分者能無天落
萬物皆種也以不同形相禪	雖變化相代原其氣則一〇種章勇反
始卒⬤環	於今爲始者於昨已復爲卒也
莫得其倫	理自爾故莫得
是謂天均天均者天倪也	夫均齊者豈妄哉皆天然之分
莊子謂惠子曰孔子行年六十而六十化	與時俱也
始時所是卒而非之	時變則俗情亦變乗物以遊心者豈異於俗哉
未知今之所謂是之非五十九非也	變者不停是不可常
惠子曰孔子勤志服知也	謂孔子勤志服膺而後知非能任其自化也此明惠子不及聖人之韻逺矣
莊子曰孔子謝之矣而其未之甞言	謝變化之自爾非知力之所爲故隨時任物而不造言也
孔子云夫受才乎大本復靈以生	⬤役其才知而不復其本靈則生亡矣〇知音智
鳴而當律言而當法	鳴者律之所生言者法之所出而法律者衆之所爲聖人就用之耳故無不當而未之甞言未之甞爲也
利義陳乎前而好惡是非直服人之口而巳矣	服用也我無言也我之所言直用人之口耳好惡是非利義之陳未始出吾口也〇好呼報反註同惡烏露反注同
使人乃以心服而不敢蘁立定天下之定	口所以宣心故用衆人之口則衆人之心用矣我順衆心則衆心信矣誰敢逆立哉吾因天下之自定而定之又何爲乎〇蘁音悟又五各反逆也
已乎巳乎吾且不得及彼乎	因而乗之故無不及
曾子再仕而心再化曰吾及親仕三釡而心樂後仕三千鍾不洎吾心悲	洎及也〇三釡小爾雅云六斗四升曰釡樂音洛下注同洎其器反
弟子問于仲尼曰若參者可謂無所縣其罪乎	縣係也謂參仕以爲親無係禄之罪也〇參所金反縣其音玄下同縣係也心再化於禄所存者親也雖係禄而無係於罪也爲于僞反
曰旣巳縣矣	係於禄以養也〇養羊尚反下同
夫無所縣者可以有哀乎	夫養親以適不問其具⬤能無係則不以貴賤經懐而平和怡暢盡色養之冝矣
彼視三釡三千鍾如觀雀蚊虻相過乎前也	彼謂無係也夫無係者視榮禄⬤蚊虻鳥雀之在前而過去耳豈有哀樂於其間哉○觀本亦作鸛同古亂反蚊音文虻孟庚反司馬云觀雀飛疾與蚊相過忽然不覺也王云鸛蚊取大小相縣以喻三釡三千鍾之多少元嘉本作如鸛蚊無虻字
顔成子游謂東郭子綦曰自吾聞子之言一年而野	外權利也〇綦音其
二年而從	不自專也
三年而通	通彼我也
四年而物	與物同也
五年而來	自得也
六年而⬤入	外形骸也
七年而天成	無所復爲〇復扶又反
八年而不知死不知生	所遇皆適而安
九年而大妙	妙善也善惡同故無徃而不⬤此言乆聞道知天⬤之自然將忽然自忘則穢累日去以至於盡耳〇⬤力帶反
生有爲死也	生而有爲則䘮其生○䘮息浪反
勸公以其死也有自也	自由也由有爲故死由私其生故有爲今所以勸公者以其死之由私耳
而生陽也無自也	夫生之陽遂以其絶迹無爲而忽然獨爾非由有也
而果然乎惡乎其所適惡乎其所不適	然而果然故無適無不適而後皆適皆適而至也○惡音烏下同
天有歷數地有人據吾惡乎求之	皆巳自足
莫知其所終⬤之何其無命也	理必自終不由於知非命如何
莫知其所始⬤之何其有命也	不知其所以然而然謂之命似⬤有意也故又遣命之名以明其自爾而後命理全也
有以相應也⬤之何其無⬤邪	理必有應若有神靈以致也
無以相應也若之何其有⬤邪	理自相應相應不由於故也則雖相應而無靈也
衆罔兩問於景曰⬤向也俯而今也仰向也括而今也⬤髮向也坐而今也起向也行而今也止何也景曰捜捜也奚稍問也	動運自爾無所稍問〇景音影又如字本或作影括古活反司馬云謂括髮也⬤皮⬤反捜本又作⬤同素口反又素刀反又音蕭向云動貌
予有而不知其所以	自爾故不知所以
予蜩甲也蛇蛻也似之而非也	影似形而非形〇蜩甲音條司馬云條甲蟬蛻皮也蛻音⬤又吐卧反又始銳反
火與日吾屯也隂與夜吾代也彼吾所以有待邪而况乎以有待者乎	推而極之則今之所謂有待者率至於無待而獨化之理彰矣〇屯徒門反聚也
彼來則我與之來彼徃則我與之徃彼強陽則我與之強陽強陽者又何以有問乎	直自強陽運動相隨徃來耳無意不可問也
陽子居南之沛老聃西遊於秦邀於郊至於梁而遇老子老子中道仰天而歎曰始以汝爲可教今不可也陽子居不荅至舎進盥漱巾櫛脫屨戸外⬤行而前曰向者弟子欲請夫子夫子行不間是以不敢今間矣請問其故老子曰而睢睢盱盱而誰與居	睢睢盱盱跋扈之貌人將畏難而䟽逺○陽子居姓陽名戎字子居沛音貝邀古尭反要也遇也王篇云求也抄也遮也盥音管小爾雅云喿也西也漱所又反櫛莊乙反閒音閑下同一音如字睢郭呼維反徐許圭反盱香于反又許吳反又音虚廣雅云睢睢盱盱元氣也而汝也言汝與元氣合德去其矜驕誰復能同此心解異郭義跋歩末反難乃旦反逺于邉反
大白⬤辱盛德⬤不足陽子居蹵然變容曰敬聞命矣其徃也舎者迎將其家公執席妻執巾櫛舎者避席煬者避竈	尊形自異故憚而避之也〇蹵子六反家公李云主人公也云讀舎者迎將其家爲句煬羊尚反反又音羊向反炊也
其反也舎者與之爭席矣	去其夸矜故也去起吕反
