莊子雜篇盗跖第二十九	音義曰以人名篇
孔子與柳下季爲友柳下季之弟名曰盗跖盗跖從卒九千人橫行天下侵⬤諸侯穴室樞戶驅人牛馬取人婦女貪得忘親不顧父母兄弟不祭先祖所過之邑大國守城小國入保萬民苦之	○孔子與柳下季爲友柳下惠姓展名獲字季禽一云字子禽居柳下而施德惠一云惠謚也一云柳下邑名案左傳云展禽是魯僖公時人至孔子生八十餘年⬤至子路之死百五六十歲不得爲友是⬤言也盗跖之石反李竒註漢書云跖秦之大盗也從才用反卒尊忽反下同樞戶尺未反徐苦于反司馬云破人戸樞而取物也入保鄭注禮記曰小城曰保
孔子謂柳下季曰夫爲人父者必能詔其子爲人兄者必能教其弟⬤父不能詔其子兄不能教其弟則無貴父子兄弟之親矣今先生世之才士也弟爲盗跖爲天下害而弗能教也丘竊爲先生羞之丘請爲先生徃⬤之柳下季曰先生言爲人父者必能詔其子爲人兄者必能教其弟若子不聽父之詔弟不受兄之教雖今先生之辯將柰之何哉且跖之爲人也心如涌泉意如飄風強足以拒敵辯足以飾非順其心則喜逆其心則怒易辱人以言先生必無徃孔子不聽顔回爲馭子貢爲右徃見盗跖盗跖乃方休卒徒大山之陽膾人肝而餔之	詔如字教也竊爲干僞反下請爲爲我竊爲使爲皆同說始銳反飄婢遥反徐扶遥反易以豉反大山音太膾古外反餔布吳反徐甫吳反字林云日申時食也
孔子下車而前見謁者曰魯人孔丘聞將軍高義敬再拜謁者謁者入通盗跖聞之大怒目如明星髪上指冠曰此夫魯國之巧僞人孔丘非邪爲我告之爾作言造語妄稱文武	○上時掌反夫音符又如字
冠枝木之冠帶死牛之脅	〇冠古亂反枝木之冠如字司馬云冠多華飾如木之枝繁帶死牛之脅許刼反司馬云取牛皮爲大革帶
多辭繆說不耕而食不織而衣揺脣鼔舌擅生是非以迷天下之主使天下學士不反其本妄作孝弟而儌倖於封侯冨貴者也	〇繆音謬弟音弟本亦作悌儌古堯反
子之罪大極重疾走歸不然我將以子肝益晝餔之膳孔子復通曰丘得幸於季願望履幕下	〇復扶又反下同願望履幕下司馬本幕作綦云言視不敢望跖靣望履結而還也
謁者復通盗跖曰使來前孔子趨而進避席反走再拜盗跖盗跖大怒兩展其足案劒瞋目聲如乳虎曰丘來前⬤所言順吾意則生逆吾心則死	〇反走小却行也瞋赤眞反徐赤夷反廣雅云張也乳如⬤反
孔子曰丘聞之凡天下有三德生而長大美好無⬤少長貴賤見而皆⬤之此上德也知維天地能辯諸物此中德也勇悍果敢聚衆率兵此下德也凡人有此一德者足以南靣稱⬤矣今將軍兼此三者身長八尺二寸靣目有光脣如激丹齒如齊貝音中黃鍾而名曰盗跖丘竊爲將軍耻不取焉	〇少詩照反長丁丈反⬤音恱下同知音智悍戸旦反激丹古歷反司馬云明也齊貝一本作具中丁仲反
將軍有意聽臣臣請南使吳越北使齊魯東使宋衛西使⬤楚使爲將軍造大城數百里立數十萬戸之邑尊將軍爲諸侯與天下更始罷兵休卒收養昆弟共祭先祖此聖人才士之行而天下之願也	〇使所吏反下三字同數所主反下同罷如字徐扶彼反共音㳟行下孟反下同
盗跖大怒曰丘來前夫可規以利而可諌以言者皆愚陋恒民之謂耳今長大美好人見而說之者此吾父母之遺德也丘雖不吾譽吾獨不自知邪且吾聞之好靣譽人者亦好背而毀之今丘告我以大城衆民是欲規我以利而恒民畜我也安可長乆也城之大者莫大乎天下矣堯舜有天下子孫無置錐之地湯武立爲天子而後世絶滅非以其利大故邪	○恒民一本作順民後亦爾譽音餘下同好呼報反下同背音佩下同
