南華眞經卷第十郭象子玄註陸德明音義莊子雜篇⬤劔第三十	音義曰以事名篇
昔趙文王喜劔劔士夾門而客三千餘人日夜相擊於前死傷者歳百餘人好之不厭如是三年國衰諸侯謀之	〇趙文王司馬云惠文王也名何武靈王子後莊子三百五十年洞紀云周赧王十七年趙惠文王之元年一云案長歷推惠文王與莊子相值恐彪之言誤喜許紀反下同夾郭李音協又古治反好呼報反下同厭於塩反又於⬤反
太子悝患之募左右曰孰能⬤王之意止劔士者賜之千金左右曰莊子當能	○悝苦回反太子名募音慕又音務⬤如字解也又音恱
太子乃使人以千金奉莊子莊子弗受與使者俱往見太子曰太子何以敎周賜周千金太子曰聞夫子明聖謹奉千金以幣從者夫子弗受悝尚何敢言	〇使所吏反幣從才用反一本作以幣從軍
莊子曰聞太子所欲用周者欲絶王之喜好也使臣上⬤大王而逆王意下不當太子則身刑而死周尚安所事金乎使臣上⬤大王下當太子趙國何求而不得也太子曰然吾王所見唯劔士也莊子曰諾周善爲劔太子曰然吾王所見劔士皆蓬頭突⬤垂冠曼胡之纓短後之衣瞋目而語難王乃⬤之今夫子必儒服而見王事必大逆	〇⬤如字又始銳反下同蓬歩公反本或作鑝司馬蓬頭謂著兠鍪也有毛故如蓬⬤必刄反司馬本作賔云賔讀爲⬤垂冠將欲闘故冠低傾也曼胡莫干反司馬云曼胡之纓謂麄纓無文理也短後之衣爲便於事也瞋赤夷赤眞二反語難如字艱難也勇士憤氣積於心胷言不流利也又乃旦反旣怒而語爲人所畏難司馬云⬤相擊也乃⬤音恱下大⬤同
莊子曰請治劔服治劔服三日乃見太子太子乃與見王王脫白刄待之莊子入殿門不趨見王不拜	〇與見賢遍反下劒見同又如字脫一本作⬤同士活反
王曰子欲何以敎寡人使太子先曰臣聞大王喜劒故以劔見王王曰子之劔何能禁制曰臣之劔十歩一人千里不留行王大⬤之曰天下無敵矣	〇千里不留行司馬云十歩與一人相擊輙殺之故千里不留於行也
莊子曰夫爲劒者示之以虚開之以利後之以發先之以至願得試之王曰夫子休就舎待命令設戯請夫子王乃校劒士七日死傷者六十餘人得五六人使奉劒於殿下乃召莊子王曰今日試使士敦劒	〇校司馬云考校取其勝者也校本或作敎敦如字司馬云敦斷也試使用劒相擊斷截也一音丁回反
莊子曰望之乆矣王曰夫子所御杖長短何如曰臣之所奉皆可	杖直亮反所奉司馬本作所奏
然臣有三劒唯王所用請先言而後試王曰願聞三劒曰有天子劒有諸侯劒有庻人劒王曰天子之劒何如曰天子之劒以燕谿石城爲鋒齊岱爲鍔	〇燕音煙燕谿地名在燕國石城在塞外鍔五各反司馬云劒刃也一云劒稜也
⬤魏爲脊周宋爲鐔	〇鐔音淫三蒼云徒感反劒口也徐徒南反又徒各反謂劒鐶也司馬云劒珥也
韓魏爲夾	〇爲夾古協反司馬云把也一本作鋏同一云鐔從稜向背鋏從稜向刃也
包以四夷裹以四時	〇褁音果
繞以渤海帶以常山制以五行論以刑德開以隂陽持以春夏行以秋冬	〇行以秋冬隨天道以行止也
此劔直之無前舉之無上案之無下運之無旁上決浮雲下絶地紀此劔一用匡諸侯天下服矣此天子之劔也文王芒然自失	〇芒莫剛反
曰諸侯之劔何如曰諸侯之劔以知勇士爲鋒以清廉士爲鍔以賢良士爲脊以忠勝士爲鐔以豪傑士爲夾此劔直之亦無前舉之亦無上案之亦無下運之亦無旁上法圓天以順三光下法方地以順四時中知民意以安四郷此劔一用如雷霆之震也四封之内無不賔服而聽從君命者矣此諸侯之劔也王曰庻人之劔何如曰庻人之劔蓬頭突⬤垂冠曼胡之纓短後之衣瞋目而語難相擊於前上斬頸領下決肝肺此庻人之劔無異於闘雞一旦命巳絶矣無所用於國事今大王有天子之位而好庶人之劒臣⬤爲大王薄之	〇肺芳廢反爲干僞反
王乃牽而上殿宰人上食王三環之	〇上時掌反下同三環如字又音患繞也聞義而愧繞饌三周不能坐食
莊子曰大王安坐定氣劒事已畢奏矣於是文王不出宫三月劒士皆服斃其處也	〇斃婢世反司馬云忿不見禮皆自殺也
