莊子雜篇漁父第三十一	音義曰以人名篇
孔子遊乎緇帷之林休坐乎杏壇之上弟子讀書孔子弦歌鼓琴奏曲未半	〇緇帷司馬云黒林名也本或作惟杏壇司馬云澤中高處也李云壇名
有漁父者下船而來須眉交白⬤髮榆⬤行原以上距陸而止左手據⬤右手持頥以聽曲終	〇有漁父者音甫取魚父也一云是范蠡元嘉本作有漁者父則如字須眉本亦作鬚眉交如字李云俱也一本作皎榆音遥又音俞又楮由反謂垂手衣内而行也李音投投揮也又士田反⬤面世反李音芮上時掌反距李云距至也
而招子貢子路二人俱對客指孔子曰彼何爲者也子路對曰魯之君子也客問其族子路對曰族孔氏客曰孔氏者何治也子路未應子貢對曰孔氏者性服忠信身行仁義飾禮樂選人倫上以忠於世主下以化於齊民將以利天下此孔氏之所治也	〇飾如子本又作⬤音敕化齊民李云齊等也許慎云齊等之民也如淳云齊民猶平民元嘉本作化於齊民後向如無於字
又問曰有土之君與子貢曰非也侯王之佐與子貢曰非也客乃⬤而還行言曰仁則仁矣恐不免其身苦心勞形以危其貞嗚呼逺哉其分於道也	〇與音餘下同危或作爲分如字本又作介音界司馬云離也
子貢還報孔子孔子推琴而起曰其聖人與乃下求之至於澤畔方將杖挐而引其船顧見孔子還郷而立孔子反走再拜而進	〇杖直亮反挐女房反司馬云橈也音饒郷香亮反或作嚮同
客曰子將何求孔子曰曩者先生有緒言而去丘不肖未知所謂⬤待於下風幸聞咳唾之音以卒相丘也	〇緒言猶先言也待或作待咳苦代反唾吐卧反相息亮反
客曰嘻甚矣子之好學也孔子再拜而起曰丘少而脩學以至于今六十九歲矣無所得聞至敎敢不虚心	〇嘻香其反好呼報反下同少詩召反下同
客曰同⬤相從同聲相應固天之理也吾請釋吾之所有而經子之所以	〇經營也司馬云經理也
子之所以者人事也天子諸侯大夫庶人此四者自正治之美也四者離位而亂莫大焉官治其職人憂其事乃無所陵	〇治直吏反下官事不治同
故田荒室露衣食不足徴賦不屬妻妾不和長少無序庶人之憂也	〇屬音烛長丁丈反後過皆同
能不勝任官事不治行不清白羣下荒怠功美不有爵禄不持大夫之憂也	〇勝音升行下孟反
廷無忠臣國家昬亂國技不巧貢職不美春秋後倫不順天子諸侯之憂也	〇枝其試反職或作賦春秋後倫朝覲不及等比也
隂陽不和寒暑不時以傷庶物諸侯暴亂擅相攘伐以賤民人禮樂不節財用窮匱人倫不飭百姓淫亂天子有司之憂也	飭音敕
今子旣上無君侯有司之⬤而下無大臣職事之官而擅飾禮樂選人倫以化齊民不泰多事乎	泰本又作大音同徐敕佐反後同
且人有八疵事有四患不可不察也非其事而事之謂之摠	疵祀知反摠李云謂⬤也
莫之顧而進之謂之佞希意道言謂之諂	道音導
不擇是非而言謂之䛕好言人之惡謂之讒析交離親謂之賊稱譽詐僞以敗惡人謂之慝	譽音餘敗蒲邁反惡人烏路反下同慝他得反
不擇善否兩容頰適偷拔其所欲謂之險	否悲美反惡也又方九反兩容頰適善惡皆容顔皃調適也頰或顔字
此八疵者外以亂人内以傷身君子不友明君不臣所謂四患者好經大事變更易常以挂功名謂之叨	挂音卦别也又音圭叨吐刀反
專知擅事侵人自用謂之貪見過不更聞諌愈甚謂之狠	狠胡墾反
人同於巳則可不同於巳雖善不善謂之矜此四患也能去八疵無行四患而始可敎巳孔子愀然而歎再拜而起曰丘再逐於魯削迹於衛伐⬤於宋圍於陳蔡丘不知所失而離此四謗者何也	去起吕反愀在力反又七小反
