莊子雜篇列御寇第三十二	音義曰以人名篇或無别字
列御寇之齊中道而反遇伯昬瞀人伯昬瞀人曰奚方而反	〇瞀音茂又音務奚方李云方道也
曰吾驚焉曰惡乎驚	○吾驚焉李云見人感巳即違道故驚也惡音烏
曰吾嘗食於十⬤	賣漿之家〇⬤子祥反本亦作漿司馬云⬤讀曰漿十家並賣漿也
而五⬤先饋	言其敬巳〇五⬤先饋饋遺也謂十家中五家先見遺王云皆先饋進於巳
伯昏瞀人曰⬤是則汝何爲驚巳曰夫内誠不解	外自矜飾〇解音解司馬音懈
形諜成光	舉動便僻而成光儀也〇形諜徒協反說文云間也成光司馬云形諜於⬤成光華也僻婢亦反
以外鎮人心	其内實不足以服物
使人輕乎貴老	⬤鎮物由乎内實則使人貴老之情篤也○貴老謂重禦冦過於老人
而⬤其所患	言以美形動物則所患亂生也○⬤子⬤反亂也
夫⬤人特爲食⬤之貨多餘之贏其爲利也薄其爲權也輕而猶若食	權輕利薄可無求於人〇食音嗣贏音盈
而况於萬乗之主乎身勞於國而知盡於事彼將任我以事而效我以功吾是以驚伯昬瞀人曰善哉觀乎汝處巳人將保汝矣	苟不遺形則所在見保保者聚守之謂也〇乗繩證反效如字本又作校古孝反保汝司馬云保附也
無幾何而徃則戸外之屨滿矣伯昬瞀人北面而立敦杖蹙之乎頥立有間不言而出賔者以告列子列子提屨跣而走曁乎門曰先生旣來曾不發藥乎曰已矣吾固告汝曰人將保汝果保汝矣非汝能使人保汝而汝不能使人無保汝也	任平而化則無感無求無感無求乃不相保〇幾居豈反敦音頓司馬云豎也蹙子六反賔者本亦作儐同必刃反謂通客之人跣先典反曁其噐反發如字司馬本作廢公置也
而焉用之感豫出異也	先物施惠惠不因彼豫出則異也〇焉於䖍反
必且有感揺而本才又無謂也	必將有感則與本性動也〇搖而本才一本才作性又無謂也動揺本才以致求者又非道德之謂也
與汝遊者又莫汝告也彼所小言盡人毒也	細巧入人爲小言〇小言言不入道故曰小言人毒以其多患故曰人毒
莫覺莫悟何相孰也巧者勞而知者憂無能者無所求食而遨遊汎若不繫之舟虚而遨遊者也	夫無其能者唯聖人耳過此以下至於昆蟲未有自忘其能而任衆人者也〇莫覺莫悟何相孰也彼不敢告汝汝又不自覺何其相孰哉王云小言爲毒曾無告語也孰誰也謂誰相親愛者既無告語此不相親愛之至也知音智食而一本作飽食而遨本又作敖五刀反下同汎孚劒反
鄭人緩也呻吟裘氏之地	呻吟吟詠之謂〇緩司馬云緩名也呻音申謂吟詠學問之聲也崔云呻誦也本或作呻吟裘地名崔云裘儒服也之地崔本作之地蛇云地蛇者山田荼種也
祗三年而緩爲儒	祗適也〇祗音支李云適也言適三年而成也司馬云巨移反謂神祗祐之也
河潤九里澤及三族使其弟墨儒墨相與辯其父⬤翟	翟緩弟名〇河潤九里河從乾位來乾陽數九也使其弟墨謂使緩弟翟成墨也
十年而緩自殺其父夢之曰使而子爲墨者予也闔胡嘗視其良旣爲秋栢之實矣	緩怨其父之助弟故感激自殺死而見夢謂巳旣能自化爲儒又化弟令墨弟由巳化而不能順巳巳以良師而便怨死精誠之至故爲秋栢之實〇闔胡甞視其良闔語⬤也胡何也良者良人謂緩也言何不試視緩墓上巳化爲秋栢之實良或作浪音浪⬤也見賢遍反令力呈反
夫造物者之報人也不報其人而報其人之天	自此巳下莊子辝也夫積習之功爲報報其性不報其爲也然則學習之功成性而巳豈爲之哉
彼故使彼	彼有彼性故使習彼
夫人以巳爲有以異於人以賤其親	言緩自美其儒謂巳能有積學之功不知其性之自然也夫有功以賤物者不避其親也無其身以平性者貴賤不失其倫也
齊人之井飮者相捽也故曰今之世皆緩也	夫穿井所以通泉吟詠所以通性也無泉亦無所穿無性則無所詠而世皆忘其泉性之自然徒識穿詠之末功因欲矜而有之不亦妄乎〇相捽于骨反言穿井之人爲巳有造泉之功而捽飮者不知泉之天然也喻緩不知翟天然之墨而忿之捽一音子晦反
自是有德者以不知也而况有道者乎	觀緩之謬以爲學父故能任其自爾而知故無僞乎其間也〇知音智注同父本或作乆
古者謂之遁天之刑	仍自然之能以爲巳功者逃天者也故刑戮及之○仍而證反本又作認同
聖人安其所安不安其所不安	夫聖人無安無不安順百姓之心也
衆人安其所不安不安其所安	所安相與異故所以爲衆人也
莊子曰知道易勿言難知而不言所以之天也知而言之所以之人也古之人天而不人	知雖落天地未甞開言以引物也應其至分而巳〇易以豉反知雖音智應如字當也
朱泙漫學屠龍於支離益單千金之家三年技成而無所用其巧	事在於適無貴於逺功〇泙李音平郭敷音反徐敷耕反漫朱旦反又未干反司馬云朱平漫支离益皆人姓名屠音徒單音丹盡也千金之家如字本亦作賈又作賈皆音嫁三絶句崔云用千金者三也又本作三年則上句至家絶技其綺反
聖人以必不必故無兵	理雖必然猶不必之斯至順矣兵其安有
衆人以不必必之故多兵	理雖未必抑而必之各必其所見則乖逆生
順於兵故行有求	物各順徃則足足則無求〇順於兵順或作慎
兵恃之則亡	不得巳而用之以恬惔爲上者未之亡也〇恬徒謙反惔徒暫反本亦作淡
小夫之知不離苞苴竿牘	苞苴以遺竿牘以問遺問之具小知所殉〇知音智註及下爲知同離力智反苞苴子餘反司馬云苞苴有苞裹也竿音干牘音獨司馬云謂竹簡爲書以相問遺脩意氣也遺唯李反下同
敝精神乎蹇淺	昬於小務所得者淺〇敝郭婢世反一音必世反
而欲兼濟道物太一形虚⬤是者迷惑于宇宙形累不知太初	小夫之知而欲兼濟導物經虚渉逺志大神敝形爲之累則迷惑而失致也〇導音道註同
彼至人者歸精神乎無始而甘冥乎無何有之鄉水流乎無形發泄乎太清	泊然無爲而任其天行也〇冥如字本亦作又音眠泄息列反徐以世反泊歩各反
悲哉乎汝爲知在豪毛	爲知所得者細〇悲哉乎一本作悲哉悲哉
而不知大寧	任性大寧而至
宋人有曹商者爲宋王使秦其徃也得車數乗王⬤之益車百乗反於宋見莊子曰夫處窮閭阨巷困窘織屨槁項黃馘者商之所短也一悟萬乘之主而從車百乗者商之所長也莊子曰秦王有病召醫破癕潰痤者得車一乗䑛痔者得車五乗所治愈下得車愈多子豈治其痔邪何得車之多也子行矣	夫事下然後功高功高然後禄重故高逺活淡者遺榮也〇爲于僞反宋王司馬云偃王也使所吏反數所主反乗繩證反下同說音恱扼於解反窘與愪反又巨韻反搞苦老反又祛矯反本亦作矯居表反項李云頸項羸痩皃司馬云頭槁立也黃馘古獲反徐况壁反爾雅云獲也司馬云謂靣黃熟也秦王司馬云惠王也痤徂禾反䑛字又作⬤食⬤反痔治紀反愈李亦作俞同
魯哀公問乎顔闔曰吾以仲尼爲貞幹國其有瘳乎曰殆哉汲乎仲尼	汲危也夫至人以民靜爲安今一爲貞幹則遺高迹於萬世令飾競於仁義而雕畫其毛彩百姓旣危至人亦無以爲安〇瘳敕由反汲魚及反又五脂反危也令力呈反下同
方且飾羽而畫	凡言方且皆謂後世從事飾畫非任真也
從事華辭以支爲㫖	將令後世之從事者無實而意趣橫出也
忍性以視民而不知不信	後世人君將慕仲尼之遐軌而遂忍性自矯僞以臨民上下相習遂不自知也○視音示下同
受乎心宰乎神夫何足以上民	今以上民則後世百姓非直外形從之而巳乃以心神受而用之不能復自得於體中也○復扶又反
彼宜女與	彼百姓也女哀公也彼與女各自有所宜相效則失真此即今之見驗〇與音餘又如字下順與同見賢遍反
予頥與	效彼非所以養巳也
誤而可矣	正不可也
今使民離實學僞非所以視民也爲後世慮不⬤休之	明不謂當時也〇離力智反
難治也	治之則僞故聖人不治也
施於人而不忘非天布也	布而識之非芻狗萬物也施如豉反下注同識如字又申志反
商賈不齒	况士君子乎〇賈音古
雖以士齒之神者弗齒	要能施惠故於事不得不齒以其不忘故心神忽之此百姓之大情也
爲外刑者金與木也	金謂刀鋸斧⬤木謂捶楚桎梏〇鋸音據⬤音越捶之蘂反桎之實反梏古毒反
爲内刑者動與過也	静而當則内外無刑
宵人之離外刑者金木訙之	不由明垣之⬤者謂之宵人〇宵人王云非明正之徒謂之宵夜之人也訙本又作訊音信問也
離内刑者隂陽食之	動而過分則性氣傷於内金木訊於外也
夫免乎外内之刑者唯眞人能之	自非其人未有能止其分者故必外内受刑但不問⬤耳
孔子曰凡人心險於山川難於知天天猶有春秋冬夏旦暮之期人者厚貌深情故有貌愿而益有長⬤不肖有順懁而逹者有堅而縵有緩而釬	言人情貌之反有如此者〇愿音願廣雅云謹慤也長丁丈反不肖外似長者内不似也有順王作愼懁音儇又許㳂反徐音絹三蒼云腹急也王云堅辨也外慎堅辨嘗務質訥縵武坐反又武諌反李云内堅實外如縵也釬胡旦反又音干急也一云情皃相反
故其就義若渴者其去義若⬤	但爲難知耳未爲殊無迹
故君子逺使之而觀其忠近使之而觀其敬煩使之而觀其能卒然問焉而觀其知急與之期而觀其信委之以財而觀其仁告之以危而觀其節醉之以酒而觀其則雜之以處而觀其色九徴至不肖人得矣	君子易觀不肖難明然視其所以觀其所由察其所安捜之有塗亦可知也〇卒寸忽反知音智側不正也一云謂醉者喜傾側冠也王云側謂凡爲不正也側或作則易以豉反捜所求反
正考父一命而傴再命而僂三命而俯循牆而走孰敢不⬤	言人不敢以不⬤之事侮之〇正考父音甫宋湣公之玄孫弗父何之曾孫傴紅矩反僂力矩反三命公士一命大夫再命卿三命
