春秋經傳集解莊公第三	莊公名同桓公子母姜謚法勝敵克亂曰壯
杜氏盡三十二年經元年春王正月○三月夫人孫于齊	夫人荘公母也魯人責之故出奔内諱奔謂之孫猶孫讓而去孫本亦作遜音同注及傳同
〇夏單伯送王姬	無傳單伯天子卿也單采地伯爵也王將嫁女于齊旣命魯爲主故單伯送女不稱使也王姬不稱字以王爲尊且别於内女也天子嫁女於諸侯使同姓諸侯主之不親昏尊卑不敵單音善采七代切别彼列切
○秋築王姬之館于外	公在諒闇慮齊侯當親迎不忍便以禮接於廟又不敢逆王命故築舍於外諒音梁又音亮迎魚敬切
〇冬十月乙亥陳侯林卒	無傳未同盟而赴以名
〇王使榮叔來錫桓公命	無傳榮叔周大夫榮氏叔字錫賜也追命桓公襃稱其徳若昭七年王追命衛襄之比比必利切
○王姬歸于齊	無傳不書逆公不與接
〇齊師遷紀郱鄑郚	無傳齊欲滅紀故徙其三邑之民而取其地郱在東莞臨朐縣東南郚在朱虚縣東南北海都昌縣西有訾城郱蒲丁切鄑子斯切郚音吾朐其俱切訾子簛切
傳元年春不稱即位文姜出故也	文姜與桓俱行而桓爲齊所殺故不敢還莊公父弑母出故不忍行即位之禮據文姜未還故傳稱文姜出也姜於是感公意而還不書不告廟殺音試又如字
〇三月夫人孫于齊不稱姜氏絕不爲親禮也	姜氏齊姓於文姜之義冝與齊絶而復奔齊故於其奔去姜氏以示義復扶又切去起吕切
○秋築王姬之館于外爲外禮也	齊彊魯弱又委罪於彭生魯不能讎齊然喪制未闋故異其禮得禮之變闋苦穴切
經二年春王二月葬陳莊公	無傳魯往會之故書例在昭六年
〇夏公子慶父帥師伐於餘丘	無傳於餘丘國名也荘公時年十五則慶父莊公庶兄
○秋七月齊王姬卒	無傳魯爲之主比之内女
〇冬十有二月夫人姜氏會齊侯于禚	夫人有不以禮故還皆不書不告廟也禚齊地禚諸若切
○乙酉宋公馮卒	無傳再與桓同盟馮皮冰切
傳二年冬夫人姜氏會齊侯于禚書姦也	文姜前與公俱如齊後懼而出奔至此始與齊好會會非夫人之事顯然書之傳曰書姦姦在夫人文姜此年出會其義皆同好呼報切
經三年春王正月溺會齊師伐衛	溺魯大夫疾其專命而行故去氏溺乃狄切去起吕切
〇夏四月葬宋莊公	無傳
〇五月葬桓王〇秋紀季以酅入于齊	季紀侯弟酅紀邑在齊國東安平縣齊欲滅紀故季以邑入齊爲附庸先祀不廢社稷有奉故書字貴之酅戸圭切本又非攜
〇冬公次于滑	滑鄭地在陳留襄邑縣西北傳例曰凡師過信爲次兵未有所加所次則書之旣書兵所加則不書其所次以事爲冝非虚次滑乎八切又于八切
傳三年春溺會齊師伐衛疾之也	傳重盟上例重直用切
〇夏五月葬桓王緩也	以相十五年三月崩七年乃葬故曰緩
〇秋紀季以酅入于有紀於是乎始判	判分也言分爲附庸始於此
〇冬公次于滑將會鄭伯謀紀故也鄭伯辭以難	厲公在櫟故難乃且切櫟音歷或音書灼切
凡師一宿爲舍再宿爲信過信爲次	爲經書次例也舍宿不書輕也言凡師通君臣
經四年春王二月夫人姜氏享齊侯于祝丘	無傳享食也兩君相見之禮非夫人所用直書以見其失祝丘魯地食音嗣又如字本或作會見賢遍切
