春秋經傳集解僖下第七杜氏盡三十三年經二十有七年春杞子來朝〇夏六月庚寅齊侯昭卒	十九年與魯大夫盟于齊
○秋八月乙未葬齊孝公	無傳三月而葬速
○乙巳公子遂帥師入杞	弗地曰入八月無乙巳乙巳九月六日
〇冬楚人陳侯蔡侯鄭伯許男圍宋	傳言楚子使子玉去宋經書人者恥不得志以微者告猶序諸侯之上楚主兵故
十有二月甲戌公㑹諸侯盟于宋	無傳諸侯伐宋公與楚有好而往㑹之非後期宋方見圍無嫌於與盟故直以宋地好呼報切與音預
傳二十七年春杞桓公來朝用夷禮故曰子	𣏌先代之後而追於東夷風俗雜壞言語衣服有時而夷故杞子卒傳言其夷也仐稱朝者始於朝禮終而不全異於介葛盧故唯貶其爵
公卑𣏌𣏌不共也	杞用夷禮故賤之共音恭本亦作恭下注同
○夏齊孝公卒有齊怨	前年齊再伐魯
不廢喪紀禮也	弔贈之數不有廢
〇秋入杞責禮也	責不共也責禮本或作責無禮者非
○楚子將圍宋使子文治兵於睽	子文時不爲令尹故云使治兵習號令也睽楚邑睽苦圭切又音圭
終朝而畢不戮一人	終朝自旦及食時也子文欲委重於子玉故略其事朝如字注同戮音六
子玉復治兵於蔿	子玉爲令尹故蔿楚邑復扶又切蔿于委切
終日而畢鞭七人貫三人耳國老皆賀子文子文飲之酒	賀子玉堪其事貫音官又古亂切飲於鴆切
蔿賈尚幼後至不賀	蔿賈伯嬴孫叔敖之父幼少也嬴音盈少詩照切下同
子文問之對曰不知所賀子之傳政於子玉曰以靖國也靖諸内而敗諸外所獲幾何子玉之敗子之舉也舉以敗國將何賀焉子玉剛而無禮不可以治民過三百乗其不能以入矣苟入而賀何後之有	三百乗二萬二千五百人傳音直專切幾居豈切乗䋲證切下同
冬楚子及諸侯圍宋宋公孫固如晉告急	公孫固宋莊公孫
先軫曰報施救患取威定霸於是乎在矣	先軫晉下軍之佐原軫也報宋贈馬之施軫之忍切施式氏切注同
狐偃曰楚始得曹而新昏於衛若伐曹衛楚必救之則齊宋免矣	前年楚使申叔侯戍穀以偪齊
於是乎蒐于被廬	晉常以春蒐禮改政令敬其始也𬒳廬晉地蒐所求切被皮義切廬力居切
作三軍	閔元年晉獻公作二軍今復大國之禮
謀元帥	中軍帥帥所類切注同
趙衰曰郤縠可臣亟聞其言矣說禮樂而敦詩書詩書義之府也禮樂德之則也德義利之本也夏書曰賦納以言明試以功車服以庸	尚書虞夏書也賦納以言觀其志也明試以功考其事也車服以庸報其勞也賦猶取也庸功也縠本又作榖同胡木切亟欺兾切數也說音恱
君其試之乃使郤縠將中軍郤溱佐之使狐偃將上軍讓於狐毛而佐之	狐毛偃之兄將子匠切下將上將下皆同溱側巾切
命趙衰爲卿讓於欒枝先軫	欒枝貞子也欒賔之孫欒魯官切
使欒枝將下軍先軫佐之荀林父御戎魏犨爲右	荀林父中行桓子行戸剛切
〇晉侯始入而敎其民二年欲用之	二十四年入
子犯曰民未知義未安其居	無義則苟生
於是乎出定襄王	二十五年定襄王以示事君之義
入務利民民懷生矣將用之子犯曰民未知信未宣其用	宣明也未明於見用之信
於是乎伐原以示之信	伐原在二十五年
民易資者不求豐焉	不詐以求多
明徴其辭	重言信
公曰可矣乎子犯曰民未知禮未生其共於是乎大蒐以示之禮	蒐順少長明貴賤長丁丈切
作執秩以正其官	執秩主爵秩之官秩直乙切
民聽不惑而後用之出榖戍釋宋圍	楚子使申叔去榖子玉去宋
一戰而霸文之敎也	謂明年戰城濮
經二十有八年春晉侯侵曹晉侯伐衛	再舉晉侯者曹衛兩來告
公子買戍衛不卒戍刺之	公子買魯大夫子叢也内殺大夫皆書刺言用周禮三刺之法示不枉濫也公實畏晉殺子叢而誣叢以廢戍之罪恐不爲逺近所信故顯書其罪刺七賜切叢似東切枉紆往切
楚人救衛三月丙午晉侯入曹執曹伯卑宋人	卑與也執諸侯當以歸京師晉欲怒楚使戰故以與宋所謂譎而不正卑必利切注同譎古穴切
