春秋經傳集解宣下第十一杜氏盡十八年經十有二年春葬陳靈公	無傳賊討國復二十二月然後得葬
〇楚子圍鄭	前年盟辰陵而又儌事晉故徼古堯切
〇夏六月乙卯晉荀林父帥師及楚子戰于邲晉師敗績	晉上軍成陳故書戰邲鄭地邲扶必切一音弼東音直覲切
○秋七月○冬十有二月戊寅楚子滅蕭	蕭宋附庸國十二月無戊寅戊寅十一月九日
〇晉人宋人衛人曹人同盟于清丘	晉衛背盟故大夫稱人宋華椒承羣僞之言以誤其國宋雖有守信之善而椒猶不免譏清丘衛地今在濮陽縣東南背蒲對切下注同
〇宋師伐陳衛人救陳	背清丘之盟
傳十二年春楚子圍鄭旬有七日鄭人卜行成不吉卜臨于大宫	臨哭也大宫鄭祖廟臨力鴆切注下同大音泰注同
且巷出車吉	出車於巷示將見遷不得安居
國人大臨守陴者皆哭	陴城上僻倪皆哭所以告楚窮也陴婢支切徐扶移切僻普計切倪五計切
楚子退師鄭人脩城進復圍之三月克之	哀其窮哭故爲退師而猶不服故復圍之九十日復扶又切注同爲于僞切
入自皇門至于逵路	塗方九軌曰逵逵求龜切爾雅云九達謂之逵說文作馗云九達道似龜背故謂之馗逵或馗字
鄭伯肉袒牽羊以逆	肉祖牽羊示服爲臣僕袒徒旱切
曰孤不天	不爲天所祐祐音又
不能事君使君懷怒以及敝邑孤之罪也敢不唯命是聽其俘諸江南以實海濵亦唯命其翦以賜諸侯使臣妾之亦唯命	翦削也俘芳夫切囚也濵音賔翦子淺切
若惠顧前好	楚鄭世有盟誓之好好呼報切注同
徼福於厲宣桓武不泯其社稷	周厲王宣王鄭之所自出也鄭桓公武公始封之賢君也願楚要福于此四君使社稷不滅泯猶滅也厲宣鄭桓公友周厲王之子宣王之母弟桓武鄭武公名滑突桓公之子泯彌忍切徐亡軫切要於遙切
使改事君夷於九縣	楚滅九國以爲縣願得比之九縣莊十四年滅息十六年滅鄧僖五年滅弦十二年滅黄二十六年滅䕫文四年滅江五年滅六滅蓼十六年滅庸傳稱楚武王克權使鬭緍尹之又稱文王縣申息凡十一國不知何以言九
