春秋經傳集解襄元第十四	陸云襄公名午成公子母定以謚法因事有功曰襄辟土有德曰襄
杜氏盡九年經元年春正正月公即位	無傳於是公年四歳
〇仲孫蔑㑹晉欒黶宋華元衛寗殖曹人莒人邾人滕人薛人圍宋彭城	魯與謀於虚朾而書㑹者禀命霸主非匹敵故與音預
〇夏晉韓厥帥師伐鄭○仲孫蔑㑹齊崔杼曹人邾人𣏌人次于鄫	鄫鄭地在陳留襄邑縣東南書次兵不加鄭次鄫以待晉師鄫才陵切
〇秋楚公子壬夫帥師侵宋○九月辛酉天王崩	無傳辛酉九月十五日
○邾子來朝〇冬衛侯使公孫剽來聘	剽子叔黒背子剽匹妙切字林匹召切
○晉侯使荀罃來聘	冬者十月初也王崩赴未至皆未聞喪故各得行朝聘之禮而傳善之
傳元年春已亥圍宋彭城	下有二月則此已亥爲正月正月無已亥日誤
非宋地追書也	成十八年楚取彭城以封魚石故曰非宋地夫子治春秋追書繫之宋
於是爲宋討魚石故稱宋且不登叛人也	登成也不與其專邑叛君故使彭城還繫宋爲于僞切
謂之宋志	稱宋亦以成宋志
彭城降晉晉人以宋五大夫在彭城者歸寘諸瓠丘	彭城降不書賤略之瓠丘晉地河東東垣縣東南有壷丘五大夫魚石向爲人鱗朱向帶魚府降戸江切寘之䜴切瓠徐侯呉切一音戸故切垣音袁
齊人不㑹彭城晉人以爲討二月齊大子光爲質於晉	光齊靈公大子質音致
○夏五月晉韓厥荀偃帥諸侯之師伐鄭入其郛	荀偃不書非元帥郛芳夫切帥所類切
敗其徒兵於洧上	徒兵歩兵洧水出密縣東南至長平入潁洧于軌切
於是東諸侯之師次于鄫以待晉師	齊魯曹邾𣏌
晉師自鄭以鄫之師侵楚焦夷及陳	於是孟獻子自鄫先歸不與侵陳楚故不書焦如字徐在堯切與音預
晉侯衛侯次于戚以爲之援	爲韓厥援
○秋楚子辛救鄭侵宋吕留	吕留二縣今屬彭城郡
鄭子然侵宋取犬丘	譙國鄼縣東北有犬丘城迂迴疑鄼才河切又子旦切迂音于
〇九月邾子來朝禮也	邾宣公
○冬衛子叔晉如武子來聘禮也凡諸侯即位小國朝之	小事大
大國聘焉	大字小
以繼好結信謀事補闕禮之大者也	闕猶過也禮以安國家利民人爲大好呼報切
經二年春王正月葬簡王	無傳五月而葬速
○鄭師伐宋	書伐從告
○夏五月庚寅夫人姜氏薨○六月庚辰鄭伯睔卒	禾與襄同盟而赴以名庚辰七月九日書六月經誤睔古困切徐又胡忖切
○晉師宋師衛寗殖侵鄭	宋雖非卿師重故叙衛上殖市力切
○秋七月仲孫蔑㑹晉荀罃宋華元衛孫林父曹人邾人于戚○已丑葬我小君齊姜	齊謚也三月而葬速齊如字或音側皆切非
○叔孫豹如宋	豹於此始自齊還爲卿
○冬仲孫蔑㑹晉荀罃齊崔杼宋華元衛孫林父曹人邾人滕人薛人小邾人于戚遂城虎牢	以偪鄭
○楚殺其大夫公子申傳二年春鄭師侵宋楚令也	以彭城故
○齊侯伐萊萊人使正輿子賂夙沙衛以索馬牛皆百匹	夙沙衛齊寺人索簡擇好者萊音來輿音餘本亦作與索所白切
齊師乃還君子是以知齊靈公之爲靈也	謚法亂而不損曰靈言謚應其行應應對之應行下孟切
○夏齊姜薨初穆姜使擇美檟	檟梓之屬檟古雅切木名
以自爲櫬與頌琴	櫬棺也頌琴琴名猶言雅琴皆欲以送終櫬初覲切
季文子取以葬君子曰非禮也禮無所逆婦養姑者也虧姑以成婦逆莫大焉	穆姜成公母齊姜成公婦養余亮切
詩曰其惟哲人告之話言順德之行	詩大雅哲知也話善也言知者行事無不順話戸快切知音智下同
季孫於是爲不哲矣	言逆德陸云一本作不爲哲矣
且姜氏君之妣也	襄公適母哉曰君之妣妣必履切適丁歷切本又作嫡
詩曰爲酒爲醴烝卑祖妣以洽百禮降福孔偕	詩周頌烝進也卑與也偕徧也言敬事祖妣則鬼神降福季孫葬姜氏不以禮是不敬祖妣烝之承切卑必利切洽戸夾切偕音皆徧音遍
齊侯使諸姜宗婦來送葬	宗婦同姓大夫之婦婦人越疆送葬非禮疆居良切
召萊子萊子不㑹故晏弱城東陽以偪之	爲六年滅萊傳東陽齊竟上邑竟音境
○鄭成公疾子駟請息肩於晉	欲辟楚役以負擔喻擔都暫切
公曰楚君以鄭故親集矢於其目	謂鄢陵戰晉射楚王目射食亦切
非異人任寡人也	言楚子任比患不爲他人蓋在已陸云非異人任絶句任音壬一讀至人字絶句爲于僞切
若背之是棄力與言其誰暱我	言盟誓之言背音佩棄力服本作棄功暱本作昵女乙切徐乃吉切
免寡人唯二三子秋七月庚辰鄭伯睔卒於是子罕當國	攝君事
子駟爲政	爲政卿
子國爲司馬晉師侵鄭	晉伐喪非禮
諸大夫欲從晉子駟曰官命未改	成公未葬嗣君未免喪故言未改不欲違先君意
㑹于戚謀鄭故也	鄭乆叛晉謀討之
孟獻子曰請城虎牢以偪鄭	虎牢舊鄭邑今屬晉
知武子曰善鄫之㑹吾子聞崔子之言今不來矣	元年孟獻子與齊崔杼女于鄫崔杼有不服晉之言獻子以告知武子
滕薛小邾之不至皆齊故也	三國齊之屬
寡君之憂不唯鄭	言復憂齊叛復扶又切下同
罃將復於寡君而請於齊	以城事白晉君而請齊㑹之欲以觀齊志
得請而告吾子之功也	得請謂齊人應命告諸侯㑹築虎牢
若不得請事將在齊	將伐齊
吾子之請諸侯之福也	城虎牢足以服鄭息征伐
豈唯寡君頼之	傳言荀罃能用善謀
○穆叔聘于宋通嗣君也○冬復㑹于戚齊崔武子及滕薛小邾之大夫皆㑹知武子之言故也	武子言事將在齊齊人懼帥小國而㑹之
遂城虎牢鄭人乃成	如孟獻子之謀
○楚公子申爲右司馬多受小國之賂以偪子重子辛	偪奪其權勢
楚人殺之故書曰楚殺其大夫公子中	言所以致國討之子
經三年春楚公子嬰齊帥師伐呉○公如晉○夏四月壬戍公及晉侯盟于長樗	晉侯出其國都與公盟于外樗勑居切
○公至自晉	無傳不以長樗至本非㑹
○六月公㑹單子晉侯宋公衛侯鄭伯莒子邾子齊丗子光已未同盟于雞澤	雞澤在廣平曲梁縣西南周靈王新即位使王官伯出與諸侯盟以安王室故無譏單音善
○陳侯使袁僑如㑹	陳疾楚政而來屬晉本非召㑹而自來故言如㑹僑其驕切
○戊寅叔孫豹及諸侯之大夫及陳袁僑盟	諸侯旣盟袁僑乃至故使大夫別與之盟言諸侯之大夫則在雞澤之諸侯也殊袁僑者明諸侯大夫所以盟盟袁僑也據傳盟在秋長歷推戊寅七月十三日經誤
○秋公至自㑹	無傳
○冬晉荀罃帥師伐許傳三年春楚子重伐呉爲簡之師	簡選練
克鳩兹至于衡山	鳩兹呉邑在丹陽無湖縣東今臯夷也衡山在呉興烏程縣南
使鄧廖帥組甲三百被練三千	組甲被練皆戰備也組甲漆甲成組文被練練𫀆廖力彫切組音祖被皮義切徐扶僞切
以侵呉呉人要而擊之獲鄧廖其能免者組甲八十被練三百而巳子重歸旣飲至三日呉人伐楚取駕駕良邑也鄧廖亦楚之良也君子謂子重於是役也所獲不如所亡	當時君子要於遥切
楚人以是咎子重子重病之遂遇心疾而卒	憂恚故成心疾咎其九切恚一瑞切
○公如晉始朝也	公即位而朝
○夏盟于長樗孟獻子相公稽首	相儀也稽首首至地相息亮切
知武子曰天子在而君辱稽首寡君懼矣	稽首事天子之禮
孟獻子曰以敝邑介在東表密邇仇讎	仇讎謂齊楚與晉爭介音界爭爭鬬之爭
寡君將君是望敢不稽首	傳言獻子能固事盟主
○晉爲鄭服故且欲脩呉好	鄭服在前年爲于僞切好呼報切
將合諸侯使士匄告于齊曰寡君使匄以歳之不易不虞之不戒寡君願與一二兄弟相見	不易多難也虞度也戒備也列國之君相謂兄弟易以䜴切難乃旦切度待洛切
以謀不恊請君臨之使匄乞盟齊侯欲勿許而難爲不恊乃盟於耏外	與士匄盟耏水名耏音而
○祁奚請老	老致仕
晉侯問嗣焉	嗣續其職者
稱解狐其讎也將立之而卒	解狐卒解音蟹
又問焉對曰午也可	午祁奚子
於是羊舌職死矣晉侯曰孰可以代之對曰赤也可	赤職之子伯華
於是使祁午爲中軍尉羊舌赤佐之	各代其父
君子謂祁奚於是能舉善矣稱其讎不爲謟立其子不爲比舉其偏不爲黨	謟媚也偏屬也謟他檢切比毗志切
商書曰無偏無黨王道蕩蕩	商書洪範也蕩蕩平正無私
其祁奚之謂矣解狐得舉	未得位故曰得舉
祁午得位伯華得官建一官而三物成	一官軍尉物事也
能舉善也夫唯善故能舉其類詩云惟其有之是以似之祁奚有焉	詩小雅言唯有德之人能舉似巳者也夫音扶絶句一讀以夫爲下句首
○六月公㑹單頃公及諸侯已未同盟于雞澤	單頃公王卿士頃音傾
晉侯使荀㑹逆呉子于淮上呉子不至	道逺多難
○楚子辛爲令尹侵欲於小國陳成公使袁僑如㑹求成	患楚侵欲袁僑濤塗四岀孫
晉侯使和組父告于諸侯	告陳服
秋叔孫豹及諸侯之大夫及陳袁僑盟陳請服也	其君不來使大夫盟之匹敵之冝
○晉侯之弟揚干亂行於曲梁	行陳次行戸郎切陳直覲切
魏絳戮其僕	僕御也
晉侯怒謂羊舌赤曰合諸侯以爲榮也揚干爲戮何辱如之必殺魏絳無失也對曰絳無貳志事君不辟難有罪不逃刑其將來辭何辱命焉言終魏絳授僕人書	僕人晉侯御僕
將伏劒士魴張老止之公讀其書曰日君乏使使臣斯司馬	斯此也
臣聞師衆以順爲武	順莫敢違
軍事有死無犯爲敬	守官行法雖死不敢有違
君合諸侯臣敢不敬君師不武執事不敬罪莫大焉臣懼其死以及揚干無所逃罪	懼自犯不武不敬之罪
不能致訓至於用鉞	用鉞斬揚干之僕鉞音越
臣之罪重敢有不從以怒君心	言不敢不從戮
請歸死於司寇	致尸於司寇使戮之
公跣而出曰寡人之言親愛也吾子之討軍禮也寡人有弟弗能敎訓使干大命寡人之過也子無重寡人之過	聽絳死爲重過跣先典切重直用切注同
敢以爲請	請使無死
晉侯以魏絳爲能以刑佐民矣反役與之禮食使佐新軍	羣臣旅㑹今欲顯絳故特爲設禮食食音嗣又如字爲于僞切
