春秋經傳集解襄三第十六杜氏盡二十二年經十有六年春王正月葬晉悼公	踰月而葬速也
○三月公㑹晉侯宋公衛侯鄭伯曹伯莒子邾子薛伯𣏌伯小邾子于溴梁	不書髙厚逃歸故也溴水出河内軹縣東南至温入河溴古閴切徐公壁切軹之氏切韋昭音枳
〇戊寅大夫盟	諸大夫夲欲盟髙厚髙厚逃歸故遂自共盟雞澤㑹重序諸侯今此間無異事即上諸侯大夫可知重直用切
〇晉人執莒子邾子以歸	邾莒二國數侵魯又無道於其民故稱人以執不以歸京師非禮也數所角切
〇齊侯伐我北鄙	無傳齊貳晉故
〇夏公至自會	無傳
〇五月甲子地震	無傳
〇叔老㑹鄭伯晉荀偃衛寗殖宋人伐許	荀偃主兵當序鄭上方示叔老可以㑹鄭伯故荀偃在下
〇秋齊侯伐我北鄙圍成	成音郕
〇大雩	無傳書過
〇冬叔孫豹如晉傳十六年春葬晉悼公平公即位	平公悼公子彪彪彼虯切
羊舌肸爲傅	肸叔向也代士渥濁肸許乙切向許丈切
張君臣爲中軍司馬	張老子代其父
祁奚韓襄欒盈士鞅爲公族大夫	祁奚去中軍尉爲公族大夫去劇職就間官韓襄無忌子閒音閑
虞丘書爲乗馬御	代程鄭乗繩證切
改服脩官烝于曲沃	旣葬改喪服脩官選賢能曲沃晉祖廟烝冬祭也諸侯五月而葬旣葬卒哭作主然後烝甞於廟今晉踰月葬作主而烝祭傳言晉將有溴梁之㑹故速葬烝之承切
警守而下㑹于溴梁	順河東行故曰下警居領切守手又切
命歸侵田	諸侯相侵取之田
以我故執邾宣公莒犂比公	犂比莒子號也十二年十四年莒人侵魯前年邾人伐魯晉將爲魯討之悼公卒不克㑹故平公終其事犂徐力私切又力兮切比音毗爲于僞切下文爲夷同
且曰通齊楚之使	邾莒在齊楚往來道中故并以此責之經書執在大夫盟下旣盟而後告使所吏切下同
晉侯與諸侯宴于温使諸大夫舞曰歌詩必類	歌古詩當使各從義類
齊髙厚之詩不類	齊有二心故
荀偃怒且曰諸侯有異志矣使諸大夫盟髙厚髙厚逃歸	齊爲大國髙厚若此知小國必當有從者
於是叔孫豹晉荀偃宋向戍衛寗殖鄭公孫蠆小邾之大夫盟曰同討不庭	自曹以下大夫不書故傳舉小邾以包之向舒亮切戍音恤蠆執邁切
○許男請遷于晉	許欲叛楚
諸侯遂遷許許大夫不可晉人歸諸侯	唯以其師討許之不肯遷
鄭子蟜聞將伐許遂相鄭伯以從諸侯之師	鄭與許有宿怨故其君親行蟜居表切相息亮切
穆叔從公	從公歸從才用切又如字
齊子帥師會晉荀偃書曰㑹鄭伯爲夷故也	夷平也春秋於魯事所記不與外事同者客主之言所以爲文固當異也魯卿每㑹公侯春秋無譏故於此示例不先書主兵之荀偃而書後至之鄭伯時皆諸侯大夫義取皆平得㑹鄭伯
夏六月次于棫林庚寅伐許次于函氏	棫林函氏皆許地棫爲逼切徐于目切函音咸
晉荀偃欒黶帥師伐楚以報宋揚梁之役	晉師獨進楊梁役在十二年黶於斬切
楚公子格帥師及晉師戰于湛阪	襄城昆陽縣北有湛水東入汝格古百切湛市林切徐又丈林切又直斬切阪音反徐又扶板切
楚師敗績晉師遂侵方城之外	不書不告
復伐許而還	許未遷故復扶又切
〇秋齊侯圍成	成魯孟氏邑貳晉故伐魯
